Hatchery Sockeye,Unknown Sockeye,Wild Coho,Unknown Coho
167,171,003,242
168,172,087,245
170,173,087,248
171,174,087,249
172,176,087,250
172,176,247,250
172,177,249,250
172,177,250,250
173,177,252,252
173,178,254,252
173,178,255,252
173,178,256,252
173,178,256,252
174,178,257,252
174,178,259,252
174,178,259,253
175,178,259,253
175,178,261,253
175,179,262,253
175,179,263,254
175,179,263,254
175,179,263,254
175,179,263,254
175,179,264,255
176,180,264,256
176,180,264,256
176,181,265,257
176,181,266,257
176,181,267,257
176,183,267,257
176,183,267,257
176,183,267,257
176,184,267,257
176,184,268,257
176,184,268,257
176,184,268,258
176,184,268,258
176,184,269,258
177,184,269,258
177,184,269,258
177,184,269,258
177,184,270,258
177,184,270,258
177,184,270,258
177,184,271,258
177,185,271,258
177,185,271,258
177,185,272,259
177,185,272,259
177,185,272,259
177,185,272,259
177,185,272,259
177,185,272,259
177,185,272,259
177,185,272,259
177,185,272,259
178,185,272,259
178,185,272,259
178,185,272,260
178,185,272,260
178,185,272,260
178,185,272,260
178,185,273,260
178,185,273,260
178,185,273,260
178,185,273,261
178,186,273,261
179,186,273,261
179,186,273,261
179,186,273,261
179,186,273,261
179,186,273,261
179,186,273,261
179,186,273,261
179,186,274,262
179,186,274,262
179,186,275,262
179,186,275,262
179,186,275,262
179,186,275,262
179,186,276,262
179,187,277,263
179,187,277,263
179,187,277,263
179,187,277,263
179,187,277,263
179,187,277,263
179,187,277,264
179,189,277,264
179,189,277,264
179,189,277,264
179,189,277,264
179,189,277,264
179,189,278,264
179,189,278,264
179,189,278,264
179,189,278,264
179,189,279,264
180,190,279,264
180,190,279,264
180,190,279,264
180,190,279,264
180,190,279,264
180,190,279,264
180,190,279,265
180,190,280,265
180,190,280,265
180,190,280,265
180,190,280,265
180,190,281,265
180,190,281,265
180,190,281,265
180,191,282,266
180,191,282,266
180,191,282,266
180,191,282,266
180,191,283,266
180,191,283,266
180,191,284,266
180,191,284,266
180,191,285,266
180,191,285,266
180,191,285,266
180,191,285,266
180,191,285,267
180,191,285,267
180,191,286,267
180,191,286,267
180,191,286,267
181,191,286,267
181,191,286,268
181,191,286,268
181,191,287,268
181,192,287,268
181,192,287,268
181,192,287,268
181,192,287,268
181,192,287,268
181,192,288,268
181,192,288,269
181,192,288,269
181,192,289,269
181,192,289,269
181,192,289,269
181,192,289,270
181,192,289,270
181,192,289,270
181,192,289,270
181,192,289,270
182,192,289,271
182,192,289,271
182,192,289,271
182,192,289,271
182,192,289,271
182,192,289,271
182,192,289,272
182,192,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,289,272
182,193,290,272
182,193,290,272
182,193,290,273
182,193,290,273
182,193,290,273
182,193,290,273
182,193,290,273
182,193,290,274
182,193,290,274
182,193,290,274
182,193,290,274
182,194,291,274
182,194,291,275
182,194,291,275
182,194,291,275
182,194,291,275
182,195,291,275
182,195,291,275
182,195,291,275
182,195,291,275
182,195,291,275
182,195,291,275
182,195,291,275
182,195,292,275
182,195,292,275
183,195,292,275
183,195,292,275
183,195,292,275
183,195,292,276
183,195,292,276
183,195,292,276
183,196,292,276
183,196,292,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,293,276
183,196,294,276
183,196,294,276
183,196,294,276
183,197,294,276
183,197,294,277
183,197,295,277
183,197,295,277
183,197,295,277
183,197,295,277
183,197,295,277
183,197,295,277
183,197,295,278
183,197,295,278
183,197,296,278
183,197,296,278
183,197,296,278
183,198,296,278
183,198,296,278
183,198,296,278
183,198,297,278
183,198,297,278
183,198,297,278
183,198,297,278
183,198,297,278
183,198,297,278
183,198,298,279
183,198,298,279
184,198,298,279
184,198,299,279
184,198,299,279
184,198,299,280
184,198,299,280
184,198,299,280
184,199,299,280
184,199,299,281
184,199,299,281
184,199,299,281
184,199,299,281
184,199,300,281
184,199,300,281
184,199,300,281
184,199,300,281
184,199,300,282
184,199,300,282
184,199,300,282
184,199,300,282
184,199,300,282
184,199,300,282
184,199,301,282
184,200,301,282
184,200,301,282
184,200,301,282
184,200,301,282
184,200,301,283
184,200,302,283
184,200,302,283
184,201,302,284
184,201,302,284
184,201,302,284
184,201,302,284
184,201,302,284
184,202,302,284
184,202,302,285
184,202,302,285
184,202,302,285
184,202,302,285
184,202,302,285
184,202,302,285
184,202,302,285
184,202,302,285
184,202,303,286
184,202,303,286
184,202,303,286
185,202,303,286
185,202,304,286
185,202,304,286
185,203,304,286
185,203,304,286
185,203,304,286
185,203,304,286
185,203,304,287
185,203,305,287
185,203,305,287
185,203,305,287
185,203,305,287
185,203,305,287
185,203,305,287
185,204,305,287
185,204,305,288
185,204,305,288
185,204,305,288
185,204,305,288
185,204,306,288
185,204,306,289
185,204,306,289
186,204,306,289
186,204,306,289
186,204,306,289
186,204,306,289
186,204,306,290
186,204,306,290
186,204,306,290
186,204,306,290
186,204,306,290
186,204,306,290
186,205,306,290
186,205,306,291
186,205,307,291
186,205,307,291
186,205,307,291
186,205,307,291
186,205,307,291
186,205,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,206,307,291
186,207,307,291
186,207,307,291
186,207,307,291
186,207,307,291
186,207,307,292
186,207,307,292
186,207,308,292
186,207,308,292
186,207,308,292
186,207,308,292
186,207,308,292
186,208,308,292
186,208,308,292
186,208,308,292
186,208,309,292
186,208,309,292
186,208,309,292
186,208,310,292
186,208,310,293
186,209,310,293
186,209,310,293
186,209,310,293
186,210,310,293
186,211,310,293
186,211,310,293
186,211,310,293
186,211,310,293
187,212,311,293
187,212,311,293
187,212,311,293
187,213,311,293
187,213,311,293
187,213,311,294
187,213,312,294
187,213,312,294
187,214,312,294
187,214,312,294
187,214,312,295
187,214,312,295
187,214,312,296
187,215,312,296
187,215,312,296
187,215,312,296
187,217,312,296
187,217,312,296
187,218,312,296
187,218,312,297
187,219,312,297
187,219,312,297
187,220,312,297
187,220,312,297
187,220,313,297
187,220,313,297
187,221,313,297
187,222,313,297
187,225,313,297
187,225,313,297
187,227,313,298
187,232,313,298
187,234,313,298
187,239,313,298
187,244,313,298
187,248,313,298
187,248,313,298
187,251,313,298
187,253,313,298
187,264,313,299
187,,313,299
187,,314,299
187,,314,299
187,,314,299
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,300
187,,314,301
187,,314,301
187,,314,301
187,,315,301
187,,315,301
187,,315,302
187,,315,302
187,,315,302
187,,315,302
187,,315,302
187,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,315,302
188,,316,302
188,,316,302
188,,316,302
188,,316,302
188,,316,302
188,,317,302
188,,317,302
188,,317,302
188,,318,302
188,,318,302
188,,318,302
188,,318,302
188,,319,302
188,,319,302
188,,319,302
188,,319,302
188,,319,302
188,,320,302
188,,320,303
188,,320,303
188,,320,303
188,,320,305
188,,320,305
188,,320,305
188,,320,306
188,,320,306
188,,320,306
188,,320,306
188,,321,306
188,,321,307
188,,321,307
188,,321,308
188,,321,308
188,,321,308
188,,322,309
188,,322,310
188,,322,310
188,,322,311
188,,322,311
188,,322,315
188,,323,315
188,,323,322
188,,323,322
188,,323,322
188,,324,324
188,,324,324
188,,324,325
188,,324,325
189,,325,325
189,,325,326
189,,325,330
