Hatchery Summer Steelhead,Hatchery Winter Steelhead,Hatchery Type N Coho
245,001,002
245,001,002
245,001,002
245,001,002
249,001,002
264,001,002
269,001,002
269,001,002
269,001,002
269,001,002
269,001,002
269,001,002
269,001,006
269,001,006
269,001,006
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,001,007
269,002,007
269,002,007
273,002,007
273,002,007
273,002,007
273,002,007
273,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
283,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
286,002,007
290,002,007
290,002,007
290,002,007
290,002,007
290,002,007
290,002,007
290,002,007
290,002,007
290,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
293,002,007
294,002,007
294,002,007
294,002,007
294,002,007
294,002,007
294,002,007
294,002,014
294,002,014
294,002,014
294,002,014
294,002,014
294,002,014
294,002,294
294,003,294
294,003,294
294,003,294
294,003,294
294,003,301
294,003,301
294,003,301
294,003,301
294,003,301
294,003,301
294,004,301
294,004,301
294,004,301
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,311
294,004,314
294,004,314
294,004,316
294,004,316
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,318
294,004,320
294,004,321
295,004,321
295,004,321
295,004,321
295,004,321
295,004,321
295,004,321
295,004,321
295,004,321
295,004,321
301,004,321
301,004,321
301,004,321
301,004,321
301,004,321
301,004,321
301,004,321
301,004,321
301,004,321
301,005,321
301,005,321
