Hatchery Fall Chinook,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Winter-Late Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho,Wild Chum
293,035,028,009,283,001,283,001,298
293,037,028,014,283,001,283,001,299
293,037,028,014,283,001,283,001,300
293,042,028,014,283,001,283,001,300
293,048,028,014,283,001,283,001,300
293,052,028,014,283,001,284,001,304
293,053,028,014,283,001,284,001,304
294,054,028,014,283,001,284,001,304
294,055,029,017,286,001,284,001,304
294,055,029,017,286,001,284,001,304
294,056,029,017,286,001,284,001,304
294,056,029,019,286,001,284,001,304
294,057,029,022,286,001,284,001,304
294,060,029,024,286,001,284,001,304
294,060,029,024,286,001,284,001,304
294,060,029,028,286,001,284,001,304
294,060,029,028,286,001,284,001,305
294,060,031,028,286,001,284,001,305
294,060,031,028,286,001,284,001,305
294,060,031,028,286,001,284,001,305
294,060,031,028,286,001,284,001,307
294,060,034,028,286,001,284,001,307
294,060,034,028,286,001,284,001,307
294,060,034,028,286,001,284,001,307
294,060,034,028,286,001,284,001,307
294,060,034,028,286,001,284,001,307
294,060,034,028,286,001,284,001,307
294,060,034,028,291,001,284,001,307
294,060,034,028,291,001,284,001,308
294,060,038,028,291,001,284,001,308
294,060,038,028,291,001,284,001,308
294,060,038,028,291,001,284,001,308
294,060,038,028,291,001,284,001,308
294,060,039,028,291,001,284,001,308
294,060,039,028,291,001,284,001,308
294,060,039,028,291,001,284,001,308
294,060,039,028,291,001,284,001,308
294,065,039,028,291,001,284,001,309
294,065,039,029,291,001,284,001,309
294,065,039,029,291,001,284,001,309
294,065,039,029,291,001,284,001,309
294,065,039,029,291,001,284,001,309
294,065,039,031,291,001,284,001,309
294,065,039,031,291,001,284,001,309
294,065,039,032,291,001,284,001,309
294,065,039,032,291,001,284,001,309
294,066,039,037,291,001,286,001,309
294,066,040,037,291,001,286,001,309
294,066,040,038,291,001,286,001,309
294,066,040,038,291,001,286,001,309
294,066,040,038,291,001,286,001,309
294,066,040,038,291,001,286,001,309
294,066,040,038,291,001,286,001,309
294,067,040,038,292,001,286,001,309
294,067,040,038,292,001,286,001,309
294,067,044,038,292,001,286,001,310
294,067,044,038,292,001,286,001,310
294,067,044,038,292,001,286,001,310
294,067,044,039,292,001,286,001,310
294,067,044,039,293,001,286,001,310
294,067,044,039,293,001,286,001,310
294,067,044,041,293,001,286,001,310
294,067,044,041,293,001,286,001,310
294,067,047,041,293,001,286,001,310
294,067,047,043,293,001,286,001,310
294,067,047,043,293,001,286,001,310
294,067,047,043,293,001,286,001,310
294,067,047,044,293,001,286,001,310
294,068,047,044,293,001,291,001,310
294,068,047,045,293,001,291,001,310
294,068,047,047,293,001,291,001,310
294,068,047,047,293,001,291,001,310
294,068,047,047,293,001,291,001,310
294,068,047,047,293,001,291,001,310
294,068,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,310
294,069,047,047,293,001,291,001,311
294,069,047,047,293,001,291,001,311
294,069,047,047,293,001,291,001,311
294,069,047,047,293,001,291,001,311
294,069,048,047,293,001,291,001,311
294,069,048,048,293,001,291,001,311
294,069,048,048,293,001,291,001,311
294,069,048,048,293,001,291,001,311
294,069,048,049,293,001,291,001,311
294,069,048,049,293,001,291,001,311
294,069,048,049,293,001,291,001,311
294,069,048,049,293,001,291,001,312
294,069,048,049,294,001,291,001,312
294,069,048,049,294,001,291,001,312
294,070,048,049,294,001,291,001,312
294,070,048,049,294,001,291,001,312
294,070,048,049,294,001,291,001,312
294,070,048,049,294,001,291,001,312
294,070,048,049,294,002,291,001,312
294,070,048,049,294,002,291,001,312
294,070,048,049,294,002,291,001,312
294,072,048,049,294,002,292,001,312
294,072,048,049,294,002,292,001,312
294,072,049,049,294,002,292,001,312
294,072,049,049,294,002,292,001,312
295,072,049,049,294,002,292,001,312
295,073,049,049,294,002,292,001,312
295,073,049,049,294,002,292,001,312
295,073,049,049,294,002,292,001,312
295,074,049,049,294,002,292,001,313
295,074,049,049,294,002,292,001,313
295,075,049,049,294,002,292,001,313
295,075,049,049,294,002,292,001,313
295,075,049,049,294,002,292,001,313
295,075,049,049,294,002,292,001,313
295,075,049,049,294,002,292,001,313
295,076,049,049,294,002,292,002,313
295,076,049,049,294,002,292,002,313
295,076,049,049,295,002,292,002,313
295,078,049,049,295,002,292,002,313
295,078,049,050,295,002,292,002,313
295,078,049,050,295,002,293,002,313
295,079,049,050,295,002,293,002,313
295,079,049,051,295,002,293,002,313
297,079,049,051,295,002,293,002,313
297,080,049,051,295,002,293,002,313
