Wild Spring Chinook,Hatchery Spring Chinook
163,161
166,163
168,163
168,165
168,166
168,166
168,166
168,166
168,166
168,167
168,167
168,168
169,168
169,168
170,168
170,168
170,168
170,168
170,168
171,168
171,168
172,168
172,169
172,170
172,170
172,170
172,170
173,170
173,171
173,171
173,171
173,172
173,172
173,172
173,172
174,172
174,173
174,173
174,173
174,173
174,173
174,174
174,174
174,174
174,174
174,174
174,174
174,174
174,174
174,174
174,174
174,174
174,174
174,174
175,174
176,175
176,175
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,176
176,178
176,178
176,178
176,178
176,178
176,178
177,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,178
178,179
178,179
178,179
178,179
178,179
178,179
178,179
179,180
179,180
179,180
179,180
179,180
179,180
179,180
179,180
179,180
179,180
179,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,180
180,181
180,181
180,181
180,181
180,181
180,181
180,181
180,181
180,181
180,182
181,182
181,182
181,182
181,182
181,182
181,182
181,182
181,182
181,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,182
182,183
182,183
182,183
182,183
182,183
182,183
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
182,184
183,184
183,184
183,184
183,184
183,184
183,184
183,184
183,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,184
184,186
184,186
185,186
185,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,186
186,187
186,187
186,187
186,187
186,187
186,187
187,187
187,187
187,187
187,187
187,187
187,187
187,187
187,187
187,187
187,187
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
187,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,188
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,189
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,190
188,191
188,191
188,191
188,191
188,191
188,191
188,191
188,192
188,192
188,192
188,193
188,193
188,193
188,193
189,193
189,193
189,193
189,193
189,193
189,193
189,193
189,193
189,193
189,194
189,194
189,194
189,194
189,194
189,194
189,194
189,194
189,194
189,194
189,194
189,194
189,194
190,194
190,194
190,194
190,194
190,194
190,194
190,194
190,194
190,194
190,194
190,194
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
190,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
191,195
192,195
192,196
192,196
192,196
192,196
192,196
192,196
192,196
192,196
192,196
193,196
193,196
193,196
193,196
193,196
193,196
193,196
193,196
193,196
194,196
194,196
194,196
194,196
194,196
194,196
194,196
194,196
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
194,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,197
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
195,198
196,198
196,198
196,198
196,198
196,198
196,198
196,198
196,198
196,198
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
196,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,199
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
197,200
