Wild Summer Steelhead,Hatchery Summer Steelhead
057,053
057,053
057,054
057,054
057,054
057,054
057,055
057,055
057,055
057,056
057,056
057,056
057,056
057,056
057,056
060,056
060,056
060,056
060,056
060,056
064,056
064,056
064,056
064,056
064,056
064,056
064,056
064,056
064,056
064,056
065,056
065,056
065,056
065,056
065,056
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,057
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,058
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,059
065,060
065,060
065,060
065,060
065,060
065,061
066,061
066,061
066,061
066,061
066,061
066,061
066,062
066,062
066,062
066,062
066,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,062
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,063
068,064
068,064
068,064
068,064
068,064
068,064
068,064
068,064
068,064
068,064
068,064
068,065
068,065
068,065
068,065
068,065
068,065
068,065
068,065
068,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
070,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
071,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
072,065
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
073,066
074,066
074,066
074,066
074,066
074,067
074,067
074,067
074,067
074,067
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,068
074,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
075,069
076,069
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
076,070
077,070
077,070
077,070
077,070
077,070
077,070
077,070
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,071
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
077,072
078,072
078,072
078,072
078,072
078,072
078,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
079,072
080,072
080,072
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
080,073
081,073
081,073
081,073
081,073
081,073
081,073
081,073
081,073
081,073
081,073
081,073
081,073
082,073
082,073
082,073
082,073
082,074
082,074
082,074
082,074
082,074
083,074
083,074
083,074
083,074
083,074
083,074
083,074
083,074
083,074
083,074
083,074
083,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
084,074
085,074
085,074
085,074
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
085,075
086,075
086,075
086,075
086,075
086,075
086,075
086,075
086,075
086,075
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,076
086,077
086,077
086,077
086,077
086,077
086,077
087,077
087,077
087,077
087,077
087,077
087,077
087,077
087,077
087,077
087,077
088,077
088,077
088,077
088,077
088,077
088,077
089,077
089,077
089,077
089,077
089,077
089,077
089,077
089,077
089,077
089,077
089,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
090,077
091,077
091,077
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,078
091,079
091,079
091,079
091,079
091,079
091,079
091,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,079
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
092,080
093,080
093,080
093,080
093,080
093,080
093,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
095,080
096,080
096,080
096,080
096,080
096,080
096,080
096,080
096,081
096,081
097,081
097,081
097,081
097,081
097,081
097,081
098,081
098,081
098,081
098,081
098,081
098,081
098,081
098,081
098,081
098,081
098,081
098,082
098,082
098,082
098,082
098,082
098,082
098,082
098,082
098,082
098,082
098,082
098,082
099,082
099,082
099,082
100,082
100,082
100,082
100,082
100,082
100,082
100,082
100,082
100,082
100,082
101,082
101,082
101,082
101,082
101,082
101,082
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
101,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,083
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
102,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
103,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
104,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,084
105,085
105,085
105,085
105,085
105,085
106,085
106,085
106,085
106,085
106,085
106,085
106,085
106,085
107,085
107,085
107,085
107,085
107,085
107,085
107,085
107,085
108,085
108,085
108,085
109,085
109,085
109,085
109,085
109,085
109,085
109,085
109,085
109,085
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
109,086
110,086
110,086
110,086
110,086
110,086
110,086
110,086
110,086
110,086
111,086
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
111,087
112,087
112,087
112,087
112,087
112,087
112,087
113,087
113,087
113,087
113,087
113,087
113,087
113,087
113,087
113,087
114,087
114,087
114,088
115,088
115,088
115,088
116,088
116,088
117,088
117,088
117,088
117,088
117,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,088
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,089
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,090
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,091
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,092
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,093
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,094
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,095
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,096
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,097
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,098
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,099
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,100
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,102
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,104
,104
,104
,104
,104
,104
,104
,104
,104
,104
,104
,104
,104
,104
