Wild Spring Chinook,Wild Fall Chinook,Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Summer Steelhead,Hatchery Winter Steelhead,Hatchery Winter-Late Steelhead,Wild Sockeye,Unknown Sockeye,Wild Type N Coho,Hatchery Type N Coho,Wild Chum,Wild Pink
067,019,081,007,143,001,002,004,001,011,174,154,002,002,185,210
067,226,085,007,143,001,003,004,001,012,174,154,002,002,185,210
074,228,088,007,143,001,003,004,001,015,174,154,002,002,185,210
081,229,088,019,143,002,004,006,002,019,174,154,002,002,185,210
082,230,088,228,143,002,004,006,002,019,174,154,002,002,185,210
085,231,088,231,143,002,004,019,002,022,174,154,002,002,185,210
086,232,089,232,143,002,005,112,002,023,174,154,002,002,185,210
087,233,090,233,143,002,005,115,002,025,174,154,002,002,185,210
088,233,090,234,143,002,006,117,002,026,174,154,002,002,185,210
088,234,091,235,143,002,007,118,002,027,175,154,002,002,185,210
088,235,092,236,143,002,008,119,002,031,175,154,002,003,190,210
089,235,092,237,143,002,008,120,002,032,175,154,002,003,190,210
092,236,094,238,143,002,008,121,002,033,175,154,002,003,190,210
093,236,095,239,143,002,009,122,002,034,175,154,002,003,190,210
094,237,095,239,143,002,009,123,002,035,175,154,003,003,190,210
094,237,095,240,143,002,010,123,002,036,175,154,003,004,190,210
094,237,095,240,143,002,010,123,002,037,175,154,003,004,190,210
094,238,096,240,145,002,011,124,002,039,175,154,003,004,190,210
094,238,096,241,145,002,011,125,002,040,176,154,003,004,191,210
094,238,096,241,145,002,011,125,002,041,176,154,003,004,191,210
094,238,097,241,145,002,011,126,002,042,176,154,003,004,191,210
094,238,097,242,145,002,011,126,002,043,176,154,003,004,191,210
094,239,097,242,145,002,012,127,002,044,176,154,003,004,191,210
095,239,097,242,145,002,012,127,002,045,177,154,003,004,191,210
095,239,098,243,145,002,012,128,002,045,177,154,003,004,191,210
096,239,098,243,145,002,013,129,002,047,177,154,003,004,191,210
096,239,098,243,145,002,013,130,002,047,177,154,003,004,191,210
096,239,098,243,145,002,013,130,002,048,177,154,003,004,191,210
096,240,098,244,145,002,013,130,002,049,177,154,003,004,191,210
096,240,099,244,145,002,014,130,002,050,177,154,004,004,191,210
097,240,099,244,145,002,014,131,002,050,177,154,004,004,191,210
097,240,099,245,145,002,014,131,002,051,177,154,004,004,191,210
097,240,100,245,145,002,015,131,002,051,180,154,004,004,191,210
097,240,100,245,145,002,015,131,002,052,180,154,004,004,191,210
098,240,100,246,145,002,015,132,002,053,180,154,004,004,191,210
098,241,101,246,145,002,015,132,002,053,180,154,004,004,191,210
099,241,101,246,145,002,016,132,002,053,180,154,004,004,191,210
100,241,102,246,145,002,016,132,002,054,180,154,004,004,192,210
100,241,102,246,145,002,017,133,002,055,180,154,004,004,192,210
100,241,102,246,145,002,017,133,002,055,180,154,004,004,192,210
101,241,102,246,145,002,017,133,002,055,180,154,004,004,192,210
102,242,102,246,145,002,018,133,002,055,180,154,004,004,192,210
102,242,102,246,145,002,018,134,002,055,180,154,004,004,192,210
102,242,102,246,145,002,019,134,002,056,180,154,004,004,192,210
102,242,102,246,145,002,019,134,002,056,180,154,004,004,192,210
102,242,103,246,145,002,019,135,002,056,180,154,004,004,192,210
102,242,103,246,145,002,019,135,002,056,180,154,004,004,192,210
102,242,103,246,145,002,019,136,002,057,180,154,004,004,192,210
102,242,103,247,145,002,019,136,002,057,180,154,004,004,192,210
103,243,103,247,145,003,020,137,002,057,180,154,004,004,192,210
103,243,103,247,163,003,020,137,002,058,180,154,004,004,192,231
103,243,104,247,163,003,020,137,002,058,180,154,004,004,192,231
104,243,104,247,163,003,021,138,003,058,180,154,004,004,192,231
104,243,104,247,163,003,021,138,003,059,181,154,004,004,192,231
104,243,104,247,163,003,021,138,003,059,181,154,004,004,192,234
104,243,104,247,163,003,021,138,003,059,181,154,004,004,192,234
104,243,105,247,163,003,021,138,003,059,181,154,004,004,192,234
104,244,105,247,163,003,022,139,003,060,181,154,004,004,193,234
104,244,105,248,163,003,022,139,003,060,181,154,004,004,193,235
104,244,105,248,163,003,022,139,003,060,181,154,004,004,193,235
104,244,106,248,163,003,022,139,003,061,181,154,004,004,193,235
104,244,106,248,163,003,022,140,003,061,181,154,004,004,193,235
105,244,106,248,163,003,022,140,003,061,181,154,004,004,193,242
105,245,106,248,163,003,022,140,003,062,182,154,004,004,194,242
105,245,106,248,163,003,023,140,003,062,182,154,004,004,194,242
105,245,106,248,163,003,023,141,003,062,182,154,004,004,194,242
105,245,106,248,163,003,023,141,003,062,182,154,004,004,194,245
106,245,106,248,163,003,023,141,003,062,182,154,004,004,194,245
106,245,107,248,163,003,023,142,003,062,182,154,004,004,194,245
106,245,107,248,163,003,024,142,003,063,182,154,004,005,194,245
106,246,107,249,163,003,024,142,003,063,182,154,004,005,194,245
107,246,107,249,163,003,024,143,003,063,182,154,004,005,194,245
107,246,107,249,163,003,024,143,003,063,182,154,004,005,194,245
107,246,107,249,163,003,024,143,003,063,182,154,004,005,194,245
107,246,107,249,163,003,025,144,003,063,182,154,004,005,196,245
108,246,107,249,163,003,025,144,003,063,182,154,004,005,196,245
108,246,107,249,163,003,025,144,003,064,182,154,004,005,196,245
109,246,107,249,163,003,025,144,003,064,182,154,004,005,196,245
109,246,108,249,163,003,025,145,003,064,182,154,004,005,196,245
109,246,108,249,163,003,025,145,003,064,184,154,004,005,196,245
109,246,108,249,163,003,025,145,003,064,184,154,004,005,196,245
109,246,108,250,163,003,025,145,003,065,184,154,004,005,197,245
109,246,108,250,163,003,026,146,003,065,184,154,004,005,197,245
109,246,109,250,163,004,026,146,003,065,184,154,004,005,197,245
109,246,109,250,163,004,026,146,003,066,185,154,005,005,197,245
109,246,109,250,163,004,027,146,003,066,185,154,005,005,197,245
110,246,109,250,163,004,027,147,004,066,185,154,005,005,197,245
110,246,109,250,163,004,027,148,004,066,185,154,005,005,198,245
110,247,109,250,163,004,027,148,004,066,187,154,005,006,198,245
110,247,109,250,163,004,027,148,004,066,187,154,005,006,198,245
110,247,109,250,163,004,028,148,004,067,187,154,005,006,198,245
110,247,109,250,163,004,028,148,004,067,187,154,005,006,198,245
110,247,109,250,163,004,028,149,004,067,187,154,005,006,198,245
110,247,109,250,163,004,028,149,004,067,187,154,005,006,198,245
110,247,109,250,163,004,029,149,004,067,187,154,005,006,198,245
110,247,109,250,163,004,029,150,004,067,187,154,005,006,198,245
110,247,109,251,163,004,029,150,004,067,187,154,005,006,198,245
110,247,109,251,163,004,029,150,004,067,187,154,005,006,198,245
110,247,110,251,163,004,030,150,004,068,187,154,005,006,198,245
110,247,110,251,163,004,030,150,004,068,187,154,005,006,198,245
110,247,110,251,176,004,030,151,004,068,187,167,005,006,198,245
110,247,110,251,176,004,030,151,004,068,187,167,005,006,198,245
110,247,110,251,176,004,030,151,004,068,187,167,005,006,198,245
110,247,110,251,176,004,030,151,004,068,187,167,005,006,198,245
111,247,110,251,176,004,030,152,004,068,187,167,005,007,198,245
111,248,110,251,176,004,030,152,004,068,187,167,005,007,198,245
111,248,110,251,176,004,031,152,004,069,187,182,005,007,198,245
111,248,110,251,176,004,031,152,004,069,187,182,005,007,199,245
111,248,110,251,176,004,031,152,004,069,187,182,005,007,199,245
111,248,110,251,176,004,031,152,004,069,189,182,005,007,199,245
111,248,110,251,176,004,032,152,005,069,189,182,006,007,199,245
111,248,110,252,176,004,032,152,005,069,189,182,006,007,199,245
112,248,110,252,176,004,032,152,005,069,189,182,006,007,199,245
112,248,110,252,176,004,032,152,005,070,189,183,006,007,200,245
112,248,110,252,176,004,032,153,005,070,189,183,006,007,200,245
112,248,110,252,176,004,033,153,005,070,189,183,006,007,200,245
112,248,110,252,176,004,033,153,005,070,189,183,006,007,200,248
113,248,110,252,176,005,034,153,005,070,189,183,006,008,200,248
113,248,110,252,176,005,034,153,005,070,189,183,006,008,200,248
113,248,111,252,176,005,034,154,005,070,189,183,006,008,200,248
113,248,111,252,176,005,034,154,005,071,190,193,006,008,200,248
113,248,111,252,176,005,035,154,005,071,190,193,006,008,201,248
113,248,111,252,176,005,035,154,005,071,190,193,006,008,201,248
113,248,111,252,176,005,035,154,005,071,190,193,006,008,201,248
114,248,111,252,176,005,035,154,005,071,190,193,006,008,201,248
114,249,111,252,178,005,036,154,005,071,190,193,006,008,201,248
114,249,111,252,178,005,036,154,005,071,190,193,006,008,201,248
114,249,111,252,178,005,036,154,005,071,190,194,006,009,201,248
114,249,111,253,178,005,037,154,005,071,190,194,006,009,201,248
114,249,111,253,178,005,037,154,005,071,190,194,006,009,203,248
114,249,111,253,178,005,037,155,005,071,190,194,006,009,203,248
114,249,112,253,178,005,037,155,005,071,190,194,006,009,203,248
115,249,112,253,178,005,037,155,005,071,190,194,007,009,203,248
115,249,112,253,178,005,037,155,005,072,190,194,007,009,203,248
115,249,112,253,178,005,037,155,005,072,191,194,007,009,203,248
115,249,112,253,178,005,038,155,005,072,191,194,007,010,203,248
115,249,112,253,178,005,038,155,005,072,191,194,007,010,203,248
115,249,112,253,178,005,038,155,005,072,191,194,007,010,203,248
116,249,112,253,178,005,038,155,005,072,191,194,007,010,203,248
116,249,112,253,178,005,038,155,005,072,192,194,007,011,203,248
116,250,113,253,178,005,038,155,005,072,192,195,007,011,203,248
116,250,113,253,178,005,039,155,005,072,192,195,007,011,203,248
116,250,113,253,178,005,039,156,005,072,192,195,007,011,203,248
116,250,113,253,178,005,039,156,005,072,192,195,007,011,203,248
116,250,113,253,178,005,039,156,005,072,192,195,007,011,203,248
116,250,113,253,178,005,039,156,005,073,192,195,007,011,203,248
116,250,113,253,178,005,039,156,005,073,192,195,007,011,203,248
117,250,113,253,178,005,039,156,005,073,192,199,007,011,203,248
117,250,113,253,178,005,039,157,005,073,192,199,007,011,203,248
117,250,113,253,178,005,039,157,005,073,192,199,008,012,205,248
117,250,113,254,178,005,039,157,005,073,192,199,008,012,205,248
117,250,113,254,178,006,039,157,006,073,192,199,008,012,205,248
117,250,114,254,178,006,040,157,006,073,192,199,008,012,205,248
117,250,114,254,178,006,040,158,006,073,192,199,008,012,205,248
117,250,114,254,178,006,040,158,006,073,192,199,008,013,205,248
117,250,114,254,178,006,040,158,006,073,192,199,008,013,205,248
117,250,114,254,178,006,040,158,006,074,192,199,008,013,205,248
117,250,114,254,178,006,040,158,006,074,192,199,008,013,205,248
117,250,114,254,178,006,041,158,006,074,192,199,008,013,205,248
117,251,114,254,178,006,041,158,006,074,192,199,008,013,205,248
117,251,114,254,178,006,041,158,006,074,192,199,008,014,205,248
117,251,114,254,178,006,041,158,006,075,192,199,008,014,205,248
118,251,114,254,178,006,042,158,006,075,193,199,008,014,205,248
118,251,114,254,178,006,042,158,006,075,193,199,008,014,205,248
118,251,114,254,178,006,042,158,006,075,193,199,008,015,205,248
118,251,114,254,178,006,042,159,006,075,193,199,009,015,205,248
118,251,114,254,178,006,042,159,006,075,193,199,009,015,205,250
