Wild Spring Chinook,Wild Summer Chinook,Hatchery Spring Chinook,Hatchery Summer Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Sockeye,Hatchery Sockeye,Wild Type S Coho,Hatchery Type S Coho
142,171,132,175,083,088,176,174,258,258
143,171,137,175,107,089,176,176,258,265
144,171,138,175,108,174,177,177,262,266
144,174,138,175,114,175,177,177,262,267
145,174,138,175,116,182,177,190,262,267
145,174,139,175,118,185,183,190,262,268
145,175,140,175,119,188,183,190,264,268
146,175,140,175,121,189,183,190,265,269
147,175,140,175,122,192,183,190,266,269
150,175,141,175,122,192,184,190,268,270
151,175,141,175,123,192,185,190,269,270
151,175,141,175,125,192,185,190,271,271
151,175,141,176,126,192,185,190,272,271
151,175,141,178,126,193,186,191,272,271
151,176,142,182,128,194,186,191,272,271
151,176,142,182,131,196,186,191,272,271
151,176,142,182,181,196,186,191,272,272
151,176,143,182,182,196,187,191,273,272
151,176,143,182,183,196,187,191,273,272
151,176,144,182,184,197,187,191,274,272
152,176,144,182,186,197,187,191,276,272
152,176,144,182,187,197,187,192,276,272
152,177,144,182,187,197,187,192,276,272
152,177,144,182,187,198,187,192,276,272
152,177,144,182,188,198,187,192,276,273
153,177,144,182,188,199,187,193,276,273
153,177,144,182,188,199,187,193,276,273
154,177,144,183,189,199,187,193,276,273
154,177,144,183,190,200,187,193,276,273
155,177,144,183,190,200,187,193,276,273
155,177,144,183,190,201,187,193,276,273
155,177,144,183,190,201,187,193,276,273
155,177,144,183,191,203,187,193,276,273
156,177,145,183,191,205,187,193,276,274
156,177,145,183,191,206,188,193,276,274
157,177,145,184,191,206,188,193,276,274
157,177,145,187,192,206,188,193,276,274
157,177,145,187,192,207,188,193,276,274
158,178,145,188,192,207,188,193,276,274
158,178,145,188,192,208,188,193,276,275
158,178,145,188,193,209,188,193,276,275
158,178,145,188,193,209,188,193,276,275
158,178,145,188,194,209,188,193,276,275
158,178,145,188,194,210,188,193,276,275
158,178,145,188,194,210,188,193,276,275
158,178,145,188,195,210,188,193,276,275
158,178,145,188,195,210,188,195,276,276
158,178,145,188,196,211,188,195,276,276
158,179,146,188,196,211,188,195,276,276
158,180,146,188,196,212,188,195,276,277
159,180,146,188,196,212,188,195,276,277
159,181,146,188,196,212,188,195,276,277
159,181,146,188,197,212,188,195,276,277
159,181,146,188,197,213,188,195,276,277
159,182,146,188,197,213,188,196,276,277
159,183,146,188,197,213,188,196,276,277
159,183,146,188,197,213,189,196,276,277
159,183,146,188,197,215,189,196,276,277
160,183,148,189,197,216,189,196,276,278
160,183,149,189,197,216,189,196,276,278
160,183,149,189,198,216,189,196,276,278
160,183,149,189,198,217,189,196,276,278
160,183,151,189,198,217,190,196,276,278
160,183,151,189,198,218,190,196,277,278
160,183,151,189,198,218,190,196,277,278
160,183,151,189,198,218,190,196,277,278
160,183,151,189,198,218,190,196,277,278
160,183,151,189,199,219,190,196,277,278
160,183,151,189,199,219,190,196,277,278
160,183,151,189,199,219,190,196,277,278
161,183,151,189,200,219,190,196,277,278
161,183,151,190,200,220,190,196,277,279
161,183,151,190,200,220,190,196,277,279
161,184,151,191,200,220,190,196,277,279
161,184,151,191,200,220,190,196,277,279
161,184,151,192,200,220,190,196,277,279
161,184,152,192,200,220,190,196,277,280
161,184,152,192,200,221,190,196,277,280
161,184,152,192,201,221,191,196,277,280
162,184,152,192,201,221,191,196,277,280
162,184,153,193,201,221,191,196,277,280
162,184,153,193,202,222,191,196,277,280
162,184,153,193,202,222,191,196,277,280
162,184,154,194,202,223,191,196,277,280
162,184,154,194,202,223,191,196,277,280
162,184,154,194,203,223,191,196,277,280
162,184,154,194,203,224,191,196,277,280
162,184,154,195,203,224,191,196,277,280
163,184,154,195,203,224,191,196,277,281
163,184,155,195,203,224,191,196,277,281
163,184,155,195,203,224,191,196,277,281
163,184,155,195,203,224,191,196,277,281
163,184,155,195,203,224,191,197,277,281
163,184,155,195,203,225,191,197,277,281
163,184,155,195,203,226,191,197,277,281
163,184,156,195,203,226,191,197,277,281
164,184,156,195,203,226,191,197,278,281
164,184,156,195,204,226,191,197,278,281
164,184,157,195,204,226,192,197,278,281
164,184,157,195,204,227,192,197,278,281
164,184,157,195,204,227,192,197,278,282
164,184,157,195,204,228,192,197,278,282
164,184,158,195,204,228,192,198,278,282
164,184,158,195,204,228,192,198,278,282
164,184,158,195,205,228,192,198,278,282
164,184,158,195,205,228,192,198,278,282
164,184,158,195,205,228,192,198,278,282
164,184,158,196,205,229,192,198,278,282
164,184,158,196,205,229,192,198,278,283
164,185,158,196,206,229,192,198,278,283
165,185,158,196,206,229,192,198,278,283
165,186,158,196,206,229,192,198,278,283
165,186,158,196,206,230,192,198,278,283
165,186,158,196,206,230,192,198,278,283
165,186,158,196,206,230,192,198,278,283
165,186,158,196,207,230,192,198,278,283
165,186,158,196,207,231,192,198,278,283
165,186,158,196,207,231,192,198,278,283
165,186,158,196,207,231,192,198,279,283
165,186,159,196,207,231,192,198,279,283
165,186,159,196,208,231,192,198,281,283
165,186,159,197,208,231,192,198,281,283
165,187,159,197,208,232,192,198,281,283
165,187,159,197,208,232,193,198,281,283
165,187,159,197,208,232,193,198,281,283
165,187,159,197,208,233,193,199,282,283
165,187,160,197,208,233,193,199,282,283
165,187,160,197,208,233,193,199,282,284
165,187,160,197,208,234,193,199,283,284
165,187,160,198,209,234,193,199,283,284
165,187,160,198,209,234,193,199,284,284
165,187,160,198,209,234,193,199,284,285
165,187,160,198,209,234,193,199,284,285
165,187,160,198,209,234,193,199,284,285
165,187,160,198,209,234,193,199,285,285
165,187,160,198,209,235,193,200,285,286
165,188,160,198,209,235,193,200,285,286
165,188,160,198,209,235,193,200,285,286
165,188,160,198,210,235,193,200,286,286
165,188,160,198,210,235,193,200,286,286
165,188,160,198,210,235,193,200,286,286
165,188,161,198,210,236,193,201,287,286
165,188,161,198,210,236,193,201,288,286
165,188,161,198,210,236,193,201,288,286
165,188,161,198,210,236,193,201,288,286
165,188,161,198,210,236,193,201,289,286
165,188,161,198,210,236,193,201,290,286
165,188,161,198,210,236,193,201,291,286
165,188,161,198,211,237,193,201,291,286
165,189,161,198,211,237,193,201,292,286
165,189,161,198,211,237,193,201,292,286
165,189,161,198,211,237,193,201,292,287
165,189,161,198,211,237,193,201,293,287
165,189,161,198,211,237,193,201,293,287
165,189,161,198,211,238,193,201,294,287
165,189,161,198,211,238,193,201,294,287
165,189,161,198,211,238,193,201,294,287
165,189,161,198,212,239,193,201,295,287
165,189,161,198,212,239,193,201,295,287
165,189,161,198,212,239,193,202,295,287
165,189,161,198,212,239,193,202,295,287
165,190,162,198,212,239,193,202,295,287
165,190,162,198,212,239,193,202,296,287
165,190,162,198,212,240,193,202,296,287
165,190,162,198,212,240,193,202,297,287
165,190,162,198,212,240,194,202,297,287
165,190,162,198,213,240,194,202,297,287
165,190,162,198,213,240,194,202,297,287
165,190,162,198,213,240,194,202,298,287
165,190,162,198,213,241,194,202,298,288
165,190,162,198,213,241,194,202,299,288
165,190,162,198,213,241,194,202,299,288
165,190,162,198,213,241,194,202,300,288
165,190,162,198,214,241,194,202,300,288
165,190,162,198,214,241,194,202,301,288
165,190,162,198,214,242,194,202,302,288
165,190,162,198,214,242,194,202,302,288
165,190,162,198,214,242,194,202,303,288
165,190,162,198,214,242,194,202,303,288
165,190,162,198,214,242,194,202,303,288
166,190,162,198,215,243,194,202,304,288
166,190,162,198,215,243,194,202,305,288
166,190,162,198,215,243,194,202,305,288
166,190,162,198,215,243,194,202,305,288
166,190,162,198,216,243,194,203,305,288
166,190,162,198,216,243,194,203,305,288
166,191,162,199,216,243,194,203,305,288
166,191,162,199,216,243,194,203,306,288
166,191,162,199,216,243,194,203,306,288
166,191,162,199,216,244,194,203,307,288
166,191,162,199,216,244,194,203,307,289
166,191,162,199,216,245,194,203,307,289
166,191,163,199,217,245,194,203,308,289
166,191,163,199,217,245,195,203,308,289
166,191,163,199,217,245,195,203,308,289
167,191,163,200,218,245,195,203,309,289
167,191,163,200,218,245,195,203,309,289
167,191,163,200,218,246,195,204,310,289
167,191,163,200,218,246,195,204,312,289
167,191,163,200,218,246,195,204,313,289
167,191,163,200,218,247,195,204,,289
167,191,163,200,218,247,195,204,,289
167,191,163,200,218,247,195,204,,289
167,191,163,200,218,247,195,204,,290
167,191,163,201,219,247,195,204,,290
167,191,163,201,219,247,195,204,,290
167,191,163,201,219,247,195,204,,290
167,191,164,201,219,248,195,204,,290
167,191,164,201,219,248,195,204,,290
167,191,164,201,219,248,195,204,,290
167,191,164,201,219,249,195,204,,290
167,191,164,201,219,250,195,204,,290
167,191,164,202,219,250,195,204,,290
167,191,164,202,219,250,195,204,,290
167,191,164,202,219,250,195,204,,290
167,191,164,202,219,251,195,205,,290
167,191,164,202,219,251,195,205,,290
167,191,164,202,219,251,195,205,,290
167,191,164,202,220,251,195,205,,290
167,191,164,202,220,251,195,205,,290
168,191,164,202,220,251,195,205,,290
168,191,164,202,220,251,195,205,,290
168,191,164,202,220,251,195,205,,290
168,191,164,202,221,252,195,205,,290
168,191,164,202,221,252,195,205,,290
168,191,164,202,221,252,195,206,,290
168,191,164,202,221,252,195,206,,290
168,191,164,202,222,252,195,206,,290
168,191,164,202,222,252,195,206,,290
168,191,164,202,222,252,195,206,,290
168,192,164,202,223,252,195,206,,290
168,192,164,202,223,252,195,206,,290
168,192,164,202,224,252,195,206,,290
169,192,164,202,224,252,195,206,,290
169,192,164,202,224,252,195,206,,290
169,192,164,202,224,252,195,206,,290
169,192,164,202,224,253,196,206,,290
169,192,164,202,224,253,196,206,,290
169,192,164,203,224,253,196,206,,290
169,192,164,203,224,253,196,206,,290
169,192,164,203,224,253,196,206,,290
169,192,164,203,224,253,196,206,,290
169,192,164,203,225,253,196,206,,290
169,192,165,204,225,253,196,206,,291
169,192,165,204,225,254,196,206,,291
169,192,165,204,225,254,196,206,,291
169,192,165,204,225,254,196,206,,291
169,192,165,204,225,254,196,206,,291
169,192,165,204,225,254,196,206,,291
169,192,165,204,225,254,196,206,,291
169,192,165,204,226,254,196,206,,291
169,192,165,204,226,254,196,206,,292
169,192,165,204,226,254,196,206,,292
169,192,165,204,226,254,196,206,,292
169,192,165,204,226,254,196,206,,292
169,192,165,204,227,255,196,207,,292
169,192,165,204,227,255,196,207,,292
169,192,165,205,227,255,196,207,,292
169,192,165,205,227,255,196,207,,292
170,192,165,205,227,255,196,207,,292
170,193,165,205,227,255,196,207,,292
170,193,165,205,227,256,196,207,,292
170,193,165,205,228,256,196,207,,292
