Hatchery Fall Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Wild Chum
174,002,008,280,014
181,002,281,280,291
188,002,281,280,292
188,002,282,280,292
189,004,282,280,294
190,004,282,280,295
190,004,282,280,295
191,005,282,280,295
191,005,282,280,296
191,005,282,280,296
191,005,282,281,296
193,005,282,281,297
193,005,282,281,297
193,005,282,281,297
193,005,282,281,297
193,005,286,282,297
193,005,286,282,297
194,005,286,282,297
195,005,286,282,298
195,005,286,282,298
195,005,286,282,298
196,005,286,282,298
197,005,286,282,298
197,005,286,282,298
197,005,286,282,298
197,006,286,282,298
197,006,286,285,298
197,006,289,286,299
197,006,289,286,299
198,006,289,286,299
198,006,289,286,299
198,006,289,286,299
198,006,289,286,299
198,006,292,286,299
199,006,292,287,299
199,006,292,287,299
199,006,292,287,299
200,006,292,287,300
200,006,292,287,300
200,006,292,287,300
200,006,292,287,300
200,006,296,289,300
200,006,296,289,300
200,006,296,289,300
201,006,296,289,300
201,006,296,289,300
202,006,296,289,300
202,006,296,289,300
202,006,296,292,300
202,006,296,292,301
203,006,296,292,301
203,006,296,292,301
203,006,296,292,301
203,006,296,292,301
204,006,296,292,301
204,008,296,292,302
204,008,296,292,302
204,008,296,292,302
204,008,296,292,302
204,008,297,292,303
204,008,297,292,303
204,008,303,292,303
204,008,303,292,303
204,008,303,292,303
205,008,303,292,303
205,008,303,292,303
205,008,303,292,303
205,008,303,293,304
205,008,303,293,304
206,008,303,293,304
206,008,303,293,304
206,008,303,295,304
206,008,303,296,305
206,008,303,296,305
206,008,303,296,305
206,008,304,296,305
207,008,304,296,305
207,008,305,296,306
207,014,305,296,306
207,014,305,296,306
208,014,305,296,306
208,014,306,296,306
208,014,306,296,306
208,014,306,296,306
209,014,306,296,306
209,014,306,296,306
209,014,307,296,307
209,014,307,296,307
210,014,307,296,307
210,014,307,296,307
210,014,309,296,307
210,014,309,296,307
210,014,310,296,307
210,014,310,297,307
210,014,310,297,307
211,014,310,297,307
211,014,310,297,307
211,014,310,297,307
211,016,310,297,307
211,016,310,297,307
211,016,310,297,307
212,016,310,297,307
212,016,310,297,308
212,016,310,297,308
212,016,310,297,309
212,016,310,297,309
212,016,310,297,309
212,016,310,297,309
212,016,311,297,309
212,016,311,297,309
212,016,311,297,309
212,016,311,297,309
212,016,312,297,309
212,016,312,297,309
212,016,312,297,309
213,016,312,297,309
213,016,322,297,309
213,016,322,297,309
213,016,322,297,309
213,016,322,297,309
213,016,323,298,309
213,016,323,298,309
214,016,323,299,309
214,016,323,299,309
214,016,324,303,309
214,016,324,303,309
214,016,324,303,309
215,016,324,303,309
215,016,324,303,309
215,017,324,303,309
215,017,324,303,309
216,017,324,303,309
216,017,324,303,309
216,017,325,303,309
216,017,325,303,309
216,017,325,303,309
217,017,325,303,309
217,017,325,304,309
217,017,326,304,309
217,017,326,304,309
217,017,326,304,309
217,019,326,304,309
217,019,326,304,309
217,019,326,304,310
218,019,326,304,310
218,019,326,304,310
218,019,326,304,310
218,019,326,304,310
218,022,326,304,310
219,022,326,304,310
219,022,326,304,310
219,022,326,304,311
219,022,326,304,311
219,022,327,304,311
220,022,327,304,311
221,022,327,304,311
221,022,327,304,312
221,024,328,304,312
222,024,328,304,312
222,024,328,304,312
222,024,328,304,312
223,024,328,304,312
223,024,328,304,312
223,024,328,304,312
223,024,328,304,312
223,024,328,304,312
223,024,328,304,312
223,024,328,304,312
223,024,328,304,312
224,024,328,304,312
224,024,328,304,312
224,024,328,304,312
224,024,329,304,312
224,024,329,304,313
224,024,329,304,313
224,024,329,304,313
224,024,329,304,313
225,024,329,304,313
225,024,329,304,313
225,024,329,304,313
225,024,329,304,313
225,024,329,304,313
226,024,329,304,313
226,024,329,304,313
226,024,329,304,313
226,024,329,304,314
226,024,329,304,314
226,024,329,304,314
226,024,329,304,314
226,024,329,304,315
226,024,329,304,315
226,024,329,304,315
227,024,329,304,315
227,024,329,304,315
227,024,329,304,315
227,024,329,304,316
227,024,329,304,316
227,024,329,304,316
227,024,329,304,316
227,024,329,305,316
228,024,329,305,316
228,027,329,305,316
229,027,329,305,316
229,027,329,305,317
229,027,329,305,317
229,027,330,305,317
230,027,330,305,317
230,027,331,306,318
230,027,331,306,318
230,027,331,307,318
230,027,331,309,319
230,027,331,310,319
231,027,331,310,319
231,027,331,310,319
231,030,331,310,319
231,030,331,310,319
231,030,331,310,319
231,030,331,310,319
231,030,331,310,319
231,030,331,310,319
232,030,331,310,319
232,030,331,310,319
232,030,331,310,320
232,030,331,310,320
232,030,331,310,320
232,030,331,310,320
232,030,331,310,320
232,032,331,310,320
232,032,331,311,320
233,032,331,311,320
233,032,331,311,321
233,032,331,311,321
233,032,331,311,321
233,032,331,311,322
233,032,331,311,322
233,032,331,311,322
233,032,332,311,322
233,032,332,311,322
233,032,332,311,322
234,032,332,311,322
234,032,333,311,322
234,032,333,311,322
234,032,334,311,323
234,032,334,311,323
234,032,334,311,323
234,032,334,311,323
234,038,334,311,323
234,038,334,311,323
234,038,334,311,323
234,038,334,311,323
234,038,334,312,323
234,038,334,312,323
234,038,334,312,323
234,038,334,312,323
234,038,334,312,323
235,045,334,312,323
235,045,334,312,323
235,045,334,312,323
235,045,334,312,323
235,051,334,312,323
235,051,334,312,323
235,051,334,312,323
236,051,334,312,323
236,056,336,312,323
236,056,336,312,323
236,056,336,312,323
236,056,336,312,323
236,056,336,312,323
237,056,336,312,323
237,058,336,312,323
237,058,336,312,323
237,058,336,312,323
237,061,336,312,323
237,061,336,312,323
238,061,336,312,323
238,061,336,312,323
238,061,336,312,323
238,069,336,312,323
238,069,336,312,323
238,069,336,313,323
238,069,336,313,323
238,069,336,313,323
238,069,336,313,323
238,069,336,313,323
238,069,336,313,323
238,069,336,313,324
238,069,336,313,324
238,069,336,313,324
239,069,336,313,324
239,069,336,313,324
239,069,336,313,324
239,069,336,313,325
239,069,336,313,325
239,069,336,313,325
239,069,336,313,325
239,069,336,313,325
239,069,336,313,326
240,069,336,313,326
240,326,336,313,326
240,326,336,313,326
240,326,336,313,327
240,326,336,313,328
240,326,336,313,328
240,326,336,313,328
240,326,336,313,328
240,326,336,313,328
240,326,336,313,329
240,326,336,314,329
240,326,336,314,329
240,326,336,314,329
240,326,336,314,329
240,326,336,314,329
240,326,336,314,329
240,326,337,314,329
240,326,337,314,329
240,326,337,314,329
240,326,337,314,329
240,326,337,314,329
240,326,337,314,329
240,326,337,315,329
240,326,337,315,329
240,326,338,315,329
241,326,338,315,329
241,337,338,315,329
241,337,338,315,329
241,337,338,315,329
241,337,338,315,329
242,337,338,315,329
242,337,338,315,329
242,337,338,315,329
242,337,338,315,329
242,337,338,315,329
242,337,338,315,329
242,337,338,316,330
242,337,338,316,330
242,337,338,316,330
242,337,338,316,330
242,337,338,316,330
242,337,339,316,330
242,337,339,316,330
242,337,339,316,331
242,337,339,316,331
242,337,339,316,332
242,337,339,316,335
242,337,339,316,335
242,337,339,316,335
242,337,339,316,335
242,337,339,316,337
242,339,339,316,337
243,339,341,317,337
243,339,341,317,337
243,339,342,317,337
243,339,342,317,337
243,339,342,317,337
243,339,342,317,337
243,339,342,317,337
244,339,342,317,337
244,339,342,317,337
244,339,342,317,337
244,342,342,318,337
244,342,342,318,337
244,342,342,319,337
244,342,342,319,337
244,342,342,320,337
244,342,342,321,337
244,342,342,322,337
244,342,342,322,337
244,342,342,323,337
244,342,344,323,337
244,342,344,323,337
244,342,344,323,337
245,342,344,324,337
245,342,345,324,337
245,342,345,324,337
245,342,345,324,337
245,342,345,324,337
246,342,345,324,337
246,342,345,324,337
246,342,345,324,337
246,342,345,324,337
246,342,345,324,337
246,342,345,324,337
246,342,345,324,342
246,342,345,324,342
246,342,345,325,342
246,342,345,325,342
246,342,345,325,342
246,342,353,325,342
246,342,353,325,342
246,342,353,325,342
246,342,353,325,342
246,342,353,325,342
246,342,353,325,342
247,342,353,325,342
247,342,353,326,342
247,342,353,326,342
247,342,353,326,342
247,342,353,326,342
247,342,353,326,342
247,342,353,326,342
247,342,357,326,353
247,342,357,326,
247,342,357,326,
248,342,357,326,
248,342,357,326,
248,342,,326,
248,342,,326,
248,342,,326,
248,342,,326,
248,351,,326,
248,351,,327,
248,351,,327,
248,351,,327,
248,351,,327,
248,351,,327,
248,351,,328,
248,351,,328,
248,351,,328,
248,351,,328,
248,351,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
249,353,,328,
250,353,,328,
250,353,,328,
250,353,,328,
250,353,,328,
250,353,,328,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,329,
250,353,,330,
250,353,,330,
251,353,,330,
251,353,,336,
251,353,,336,
251,353,,337,
251,353,,337,
251,353,,337,
251,353,,337,
251,353,,337,
251,353,,338,
251,353,,338,
251,353,,338,
251,353,,338,
251,353,,338,
251,357,,338,
251,357,,338,
251,357,,338,
251,357,,339,
251,357,,339,
251,357,,339,
251,357,,341,
251,357,,342,
252,357,,342,
252,357,,342,
252,357,,342,
252,357,,342,
252,357,,342,
252,357,,342,
252,357,,344,
252,357,,344,
252,357,,344,
252,357,,344,
252,357,,345,
252,357,,345,
252,357,,345,
252,357,,345,
252,358,,345,
252,358,,345,
252,358,,345,
252,358,,345,
252,358,,345,
252,358,,345,
252,358,,345,
252,358,,346,
252,358,,346,
252,358,,347,
252,358,,347,
252,,,347,
252,,,347,
252,,,347,
252,,,347,
252,,,347,
252,,,347,
252,,,347,
252,,,347,
252,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
253,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
254,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
255,,,347,
256,,,347,
256,,,347,
256,,,347,
256,,,347,
256,,,347,
256,,,347,
256,,,349,
256,,,351,
256,,,353,
256,,,353,
256,,,354,
256,,,354,
256,,,357,
256,,,358,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
256,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
257,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
258,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
259,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
260,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
261,,,,
