Wild Fall Chinook,Hatchery Fall Chinook,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Winter Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho,Hatchery Chum,Unknown Chum
012,005,002,002,002,262,002,005,002,295,005
012,005,002,002,002,262,002,005,002,295,005
012,005,002,002,002,265,002,005,002,295,005
012,005,002,002,002,265,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,266,002,005,002,295,005
012,005,002,002,002,274,002,005,002,295,005
012,005,002,002,002,274,002,005,002,295,005
012,005,002,002,002,274,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,002,002,002,275,002,005,002,295,005
012,005,004,002,002,275,002,005,002,295,005
012,005,004,002,002,275,002,005,002,295,005
012,005,004,006,002,275,002,005,002,295,005
012,005,004,006,002,275,002,005,002,295,005
012,005,004,006,002,275,002,005,002,295,005
012,005,004,006,002,276,002,005,002,295,005
012,005,004,006,002,276,002,005,002,295,005
012,005,004,006,002,276,002,005,002,295,005
012,005,004,006,002,276,002,005,002,295,005
012,005,004,012,002,276,002,005,002,295,005
012,005,004,012,002,276,002,005,002,295,005
012,005,004,012,002,276,002,005,002,295,005
012,005,004,012,002,276,002,005,002,298,005
012,005,004,012,002,276,002,005,002,298,005
012,005,004,012,002,276,002,005,002,298,005
012,005,004,012,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,276,002,005,002,298,005
012,005,004,013,002,278,002,005,002,298,005
012,005,004,013,002,278,002,005,002,298,005
012,005,004,013,002,279,002,005,002,298,005
012,005,004,013,002,281,002,005,002,298,005
012,005,004,013,002,281,002,005,002,298,005
012,005,004,013,002,281,002,005,002,298,005
012,005,004,013,002,283,002,005,002,298,005
012,005,004,013,002,283,002,005,002,298,005
012,005,004,013,002,283,002,005,002,299,005
012,005,004,013,002,283,002,005,002,299,005
012,005,004,013,002,283,002,005,002,299,005
012,005,004,013,002,283,002,005,002,299,005
012,005,004,013,003,283,002,005,002,301,005
012,005,004,013,003,283,002,005,002,301,005
012,005,004,013,003,283,002,005,002,301,005
012,005,004,013,003,283,002,005,002,301,005
012,005,004,013,003,283,002,005,002,305,005
012,005,004,016,003,283,002,005,002,305,005
012,005,004,016,003,283,002,005,002,305,005
012,005,004,016,003,283,002,005,002,305,005
012,005,004,016,003,283,002,005,002,305,005
012,005,004,016,003,283,002,005,002,305,005
012,005,004,016,003,283,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,004,016,003,285,002,005,002,305,005
012,005,005,016,003,285,002,005,002,305,005
012,005,005,016,003,285,002,005,002,305,005
012,005,005,016,003,285,002,005,002,305,005
012,005,005,016,003,285,002,005,002,305,005
012,005,005,016,003,285,002,005,002,305,005
265,255,005,016,003,285,002,255,002,305,298
265,255,005,016,003,285,002,255,002,305,303
265,256,005,016,003,285,002,255,002,305,303
265,256,005,016,003,285,002,255,002,305,303
265,256,005,016,003,285,002,255,002,305,305
265,256,005,016,003,285,002,255,002,305,305
265,256,005,016,003,285,002,255,002,305,305
265,256,005,016,003,285,002,255,002,305,305
265,256,005,016,003,285,002,260,002,305,305
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
265,260,005,016,003,285,002,260,002,306,307
267,260,005,016,003,285,002,260,002,306,307
267,260,005,016,003,286,002,260,002,306,307
267,260,005,016,003,286,002,260,002,306,307
267,260,005,016,003,286,002,260,002,306,309
267,260,005,016,003,286,002,260,002,306,309
267,260,005,016,003,286,002,260,002,306,309
267,260,005,016,003,287,002,261,002,306,309
267,260,005,016,003,287,002,261,002,306,309
267,260,005,016,003,287,002,261,002,306,309
267,260,005,016,003,287,002,261,002,306,309
267,260,005,016,003,287,002,261,002,306,309
269,260,005,016,003,287,002,261,002,306,309
269,260,005,016,003,287,002,261,002,306,309
269,260,005,016,003,288,002,261,002,306,310
269,261,005,016,003,288,002,261,002,306,310
269,261,005,016,003,288,002,261,002,306,310
269,261,005,016,003,288,002,262,002,306,310
269,261,005,016,003,288,002,262,002,306,310
269,262,005,016,003,288,002,264,002,306,310
269,262,005,016,003,288,002,264,002,306,310
271,262,005,016,003,288,002,265,002,306,311
271,262,005,016,003,288,002,265,002,306,311
271,262,005,016,003,288,002,265,003,306,311
271,262,005,016,003,288,002,265,003,306,311
272,262,005,016,003,288,002,265,003,306,311
273,262,005,016,003,288,002,265,003,306,311
273,262,005,016,003,288,003,265,003,306,311
273,262,005,019,003,288,003,265,003,306,311
273,262,005,019,003,288,003,265,003,306,311
273,262,005,022,003,288,003,265,003,306,311
273,263,005,022,003,288,003,265,003,306,311
273,263,005,022,003,288,003,265,003,306,311
273,263,005,022,003,288,003,265,003,306,311
273,263,005,024,003,288,003,265,003,306,311
273,263,005,024,003,288,003,265,003,306,311
273,263,005,024,003,288,003,265,003,306,311
273,263,005,024,003,288,003,265,003,306,311
273,263,005,024,003,288,003,265,003,306,311
273,263,005,024,003,288,003,265,003,306,311
274,263,008,024,003,288,003,265,003,306,311
274,263,008,024,003,288,003,265,003,306,311
274,263,008,024,003,288,003,265,003,306,312
274,264,008,024,003,288,003,265,003,306,312
274,264,008,024,003,288,003,265,003,306,312
274,265,008,024,003,288,003,265,003,306,312
274,265,008,024,003,288,003,266,003,306,312
274,265,008,024,003,288,003,266,003,306,312
275,265,008,026,003,288,003,266,003,306,312
275,265,008,026,003,288,003,266,003,306,312
275,265,008,028,003,288,003,266,003,306,312
275,265,008,028,003,288,003,266,003,306,312
275,265,008,028,003,288,003,266,003,306,312
277,265,008,028,003,288,003,266,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,306,312
277,265,008,028,003,288,003,267,003,307,312
277,265,008,028,003,288,003,267,003,307,312
278,265,008,028,003,288,003,267,003,307,312
278,266,008,028,003,288,003,267,003,307,312
278,266,008,028,003,288,003,267,003,307,312
278,267,008,028,003,288,003,267,003,307,312
278,267,008,028,003,288,003,268,003,307,312
278,267,008,028,003,288,003,268,003,307,312
278,267,008,028,003,288,003,268,003,307,312
278,267,010,028,003,288,003,268,003,307,312
278,267,010,028,003,288,003,268,003,307,312
278,267,010,028,003,288,003,268,003,307,312
278,267,010,028,003,288,003,269,003,307,312
279,267,010,028,003,288,003,269,003,311,313
279,267,010,028,003,288,003,269,003,311,313
279,267,010,028,003,288,003,269,003,311,313
280,267,010,028,003,288,003,269,003,311,313
280,267,010,028,003,293,003,269,003,311,313
280,267,010,028,003,293,003,269,003,311,313
280,267,010,028,003,293,003,269,003,311,313
282,267,010,028,003,293,003,269,003,311,313
282,267,010,028,003,293,003,271,003,311,313
282,267,010,028,003,293,003,271,003,311,313
282,267,010,028,003,293,003,271,003,311,313
282,267,010,028,003,293,003,271,003,311,313
282,267,010,028,003,293,003,271,003,311,313
282,267,010,028,003,293,003,271,003,311,313
282,268,010,028,003,293,003,271,003,311,313
282,269,010,028,003,293,003,271,003,311,313
282,269,010,028,003,293,003,271,003,311,313
282,269,010,028,003,293,003,271,003,311,313
282,269,010,028,003,293,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,315
282,269,010,028,003,294,003,271,003,311,316
282,269,010,028,003,294,003,271,003,311,316
282,269,010,028,003,294,003,271,003,311,316
282,269,010,028,003,294,003,271,003,311,316
282,269,010,028,004,295,003,271,003,311,316
282,269,010,028,004,295,003,271,003,311,316
282,269,010,028,004,295,003,271,003,311,316
282,269,010,028,004,295,003,271,003,311,316
282,269,010,028,004,295,003,271,003,311,316
282,269,010,028,004,295,003,271,003,311,316
282,269,011,028,004,295,004,271,003,311,316
282,271,011,028,004,295,004,271,003,311,316
282,271,011,028,004,295,004,271,003,311,317
282,271,011,028,004,295,004,271,003,311,317
282,271,011,028,004,295,004,271,003,311,317
282,271,011,028,004,295,004,271,003,311,317
282,271,011,028,004,295,004,271,003,311,317
282,271,011,028,004,295,004,271,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,272,003,311,317
282,271,011,028,004,295,004,273,003,311,317
282,271,011,028,004,295,004,273,003,311,317
282,271,011,028,004,295,004,273,003,311,317
282,271,011,028,004,295,004,273,003,312,317
282,271,011,028,004,295,004,273,003,312,317
282,271,011,028,004,295,004,273,003,312,317
282,271,011,028,004,297,004,273,003,312,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,011,028,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,030,004,297,004,274,003,313,317
282,271,012,036,004,297,004,274,003,313,317
282,271,012,036,004,297,004,274,003,313,317
282,271,012,036,004,297,004,274,003,313,317
282,271,012,036,004,297,004,274,003,313,317
282,271,012,036,004,297,004,274,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,271,012,036,004,297,004,275,003,313,317
282,272,012,036,004,297,004,275,003,313,317
283,272,012,041,004,297,004,275,003,313,317
283,272,012,041,004,297,004,275,003,313,317
283,272,012,041,004,297,004,275,003,313,317
283,272,012,041,004,297,004,275,004,313,317
284,272,012,041,004,297,004,275,004,313,317
284,272,012,041,004,297,004,275,004,313,317
284,272,012,044,004,297,004,275,004,313,317
284,272,012,044,004,297,004,275,004,313,317
284,272,012,044,004,297,004,275,004,313,317
284,272,012,044,004,297,004,275,004,313,317
