Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Wild Late Chum,Hatchery Late Chum
214,236,233,002,002
214,236,250,002,002
215,236,250,002,002
215,236,250,002,002
215,236,259,002,002
215,236,259,002,002
216,236,259,002,002
216,236,259,002,002
217,236,260,003,002
217,236,260,003,002
220,236,260,003,002
220,259,260,003,002
220,268,260,003,002
221,268,267,003,002
221,268,268,003,002
221,268,268,003,002
222,268,268,003,002
222,268,268,003,002
222,268,268,003,002
223,268,268,003,002
223,268,268,003,002
223,268,268,003,002
223,268,268,003,002
224,268,268,003,002
224,268,268,003,002
224,268,268,003,002
225,268,268,003,002
225,268,268,003,002
225,268,268,003,002
226,268,268,003,002
226,268,268,003,002
227,268,268,003,002
227,269,268,003,002
228,269,268,003,002
228,269,268,003,002
229,269,268,003,002
229,269,269,003,002
229,269,269,003,002
229,269,269,003,002
229,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,269,269,003,002
230,270,269,003,002
230,270,269,003,002
230,270,269,003,002
230,270,269,003,002
231,270,269,003,002
231,270,270,003,002
231,270,270,003,002
231,270,270,003,002
232,270,270,003,002
232,270,270,003,002
232,270,270,003,002
232,270,270,003,002
232,270,270,003,002
232,270,270,004,002
232,270,270,004,002
233,270,270,004,002
233,270,270,004,002
233,270,270,004,002
233,270,270,004,002
233,270,270,005,002
234,270,270,005,002
234,270,270,005,002
234,270,270,005,002
234,270,270,005,002
234,270,270,005,002
234,270,270,005,002
235,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
236,270,270,005,002
239,270,270,005,002
239,270,270,005,002
239,271,271,005,002
239,271,271,005,002
239,271,271,005,002
239,271,271,005,002
240,271,271,005,002
241,271,271,005,002
241,271,271,005,002
241,271,271,005,002
241,271,271,005,002
241,271,271,005,002
241,271,271,005,002
241,271,271,005,334
241,271,271,005,334
241,271,271,005,334
241,271,271,005,334
241,271,271,005,335
241,271,271,005,335
241,271,272,005,335
241,271,272,005,335
241,271,272,005,335
241,271,272,005,335
241,271,272,005,335
241,271,272,005,335
241,271,272,005,335
241,271,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
242,272,273,005,335
