Hatchery Fall Chinook,Hatchery Coho,Unknown Coho,Hatchery Chum,Hatchery Fall Chum,Unknown Chum,Hatchery Pink,Unknown Odd Year Pink
204,203,233,271,299,290,191,197
206,234,233,271,299,293,195,197
207,234,233,271,299,295,195,198
208,237,233,271,299,295,195,199
211,240,233,271,299,296,195,201
212,240,233,271,300,296,195,201
213,240,233,271,300,296,195,201
213,240,233,271,301,296,195,202
213,240,233,271,301,296,195,203
214,240,233,271,301,296,195,203
214,240,233,271,301,296,195,203
215,240,233,271,301,296,195,203
215,240,233,271,301,296,195,203
215,241,233,271,301,296,195,203
215,246,233,271,301,296,195,203
216,246,233,271,301,296,195,204
216,246,233,271,301,297,195,204
216,246,233,271,301,297,195,204
216,246,233,271,301,297,195,204
216,246,233,271,302,297,195,204
216,246,233,271,302,297,195,204
217,246,233,271,302,297,195,204
217,246,233,271,302,298,195,204
218,246,233,271,302,298,195,204
218,246,233,271,302,298,195,204
219,247,254,271,302,298,195,204
219,247,254,271,302,298,196,204
219,247,254,271,302,298,196,204
220,247,254,271,303,298,196,204
220,247,254,271,303,298,196,204
220,248,254,271,303,298,196,204
220,248,254,271,303,298,196,204
220,250,254,271,303,298,196,204
220,250,254,271,303,298,196,204
220,250,254,271,303,299,196,204
220,250,254,271,303,299,196,204
220,250,254,271,303,299,196,204
221,251,254,271,303,299,197,204
221,251,254,271,303,300,197,204
221,251,254,271,303,300,197,204
221,252,254,271,303,300,197,204
221,252,254,271,303,301,197,204
221,252,254,271,303,301,197,204
221,252,254,271,303,301,197,204
221,252,254,271,303,301,198,204
221,252,254,271,303,301,198,204
221,252,254,271,304,301,198,204
221,252,254,271,304,301,198,204
221,252,254,271,304,301,198,204
221,252,254,271,304,301,198,204
221,252,255,271,305,301,198,204
221,252,255,271,305,302,199,204
221,252,255,271,305,302,199,204
221,252,255,271,305,302,199,205
222,252,255,271,306,302,199,207
222,252,255,271,306,302,199,208
222,252,255,271,306,302,199,208
222,252,255,271,306,302,199,208
222,252,255,271,306,302,199,208
222,252,255,271,306,302,199,209
