Hatchery Fall Chinook,Hatchery Summer Steelhead,Hatchery Winter Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho
264,002,001,003,001,003,002
264,002,001,003,001,003,002
267,002,001,003,001,003,002
267,002,001,003,001,003,002
267,002,001,003,001,260,002
267,002,001,003,001,265,002
267,002,001,290,001,265,002
267,002,001,290,001,265,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
267,002,001,290,001,267,002
268,002,001,297,001,267,002
268,002,001,297,001,267,002
270,002,001,297,001,267,002
270,002,002,297,001,267,002
270,002,002,297,001,267,002
270,002,002,297,001,267,002
270,002,002,297,001,268,002
270,002,002,297,001,270,002
270,002,002,297,001,270,002
270,002,002,297,001,272,002
270,002,002,297,002,272,002
270,002,002,297,002,272,002
270,002,002,297,002,273,002
270,002,002,297,002,273,002
270,002,002,297,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,300,002,273,002
270,002,002,304,002,273,002
270,002,002,304,002,273,002
270,002,002,304,002,273,002
270,002,002,305,002,273,002
270,002,002,305,002,273,002
270,002,002,305,002,275,002
270,002,002,305,002,276,002
270,002,002,305,002,276,002
270,002,002,305,002,276,002
272,002,002,305,002,277,002
272,002,002,307,002,277,002
272,002,002,307,002,277,002
272,002,002,307,002,277,002
272,002,002,307,002,277,002
272,002,002,307,002,277,002
272,002,002,307,002,277,002
272,002,002,307,002,279,002
272,002,002,307,002,279,002
272,002,002,307,002,279,002
272,002,002,307,002,279,002
272,002,002,307,002,279,002
272,002,002,307,002,279,002
272,002,002,307,002,279,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
272,002,002,307,002,280,002
273,002,002,307,002,280,002
273,002,002,307,002,280,002
273,002,002,307,002,280,002
273,002,002,307,002,280,002
273,002,003,307,002,280,002
273,002,003,307,002,280,002
273,002,003,307,002,280,002
273,002,003,307,002,280,002
273,002,003,307,002,280,002
273,002,003,307,002,281,002
273,002,003,307,002,281,002
273,002,003,307,002,281,002
273,002,003,307,002,283,002
273,002,003,307,002,283,002
273,002,003,307,002,283,002
273,002,003,307,002,283,002
273,002,003,307,002,283,002
273,007,003,307,002,283,002
273,007,003,307,002,283,002
273,007,003,307,002,283,002
273,007,003,307,002,283,002
273,007,004,308,002,283,002
273,007,004,308,002,283,002
273,007,004,308,002,283,002
273,007,004,308,002,283,002
273,007,004,308,002,283,002
273,007,004,308,002,283,002
273,007,004,308,002,284,002
273,007,004,308,002,284,002
273,007,004,308,002,284,002
273,007,004,308,002,284,002
273,007,004,308,002,284,002
273,007,004,308,002,284,002
273,007,004,308,002,284,002
273,007,004,308,002,284,003
273,007,004,308,002,284,003
273,007,004,308,002,284,003
273,007,004,308,002,284,003
273,007,004,308,002,284,003
273,007,004,308,003,284,003
273,007,004,308,003,284,003
273,007,004,308,003,284,003
273,007,004,308,003,284,003
273,007,004,308,003,284,003
273,007,004,308,003,284,003
273,013,004,308,003,284,003
273,013,004,308,003,284,003
273,013,004,308,003,284,003
273,257,004,308,003,284,003
273,257,004,308,003,284,003
273,257,004,308,003,284,003
273,257,004,308,003,284,003
273,257,004,308,003,284,003
273,257,004,308,003,285,003
273,259,004,308,003,285,003
273,259,004,308,003,285,003
273,259,004,308,003,285,003
273,264,005,308,003,285,003
273,264,005,308,003,285,003
273,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,264,005,308,003,285,003
275,267,005,308,003,285,003
275,267,005,308,003,285,003
275,267,005,308,003,285,003
275,267,005,308,003,285,003
275,267,005,309,003,285,004
275,267,005,309,003,285,004
275,267,005,309,003,285,004
275,267,005,309,003,285,004
275,267,005,309,003,285,004
275,267,005,309,003,285,004
275,267,005,309,003,285,004
275,267,006,309,003,285,004
275,267,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
275,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,003,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
276,268,006,309,004,285,004
279,270,006,309,004,285,004
279,270,006,309,004,285,004
282,270,006,309,004,285,004
282,270,006,309,004,285,004
283,270,006,309,004,285,004
283,270,006,309,004,285,004
283,270,006,310,004,285,004
283,270,006,310,004,286,004
283,270,006,310,004,286,004
283,270,006,310,004,286,004
