Wild Fall Chinook,Hatchery Fall Chinook,Wild Sockeye,Wild Coho,Hatchery Coho
247,244,253,273,270
251,244,253,273,271
251,244,253,273,271
251,245,253,273,271
251,245,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,271
251,246,253,273,272
251,246,253,273,272
251,246,253,273,272
251,246,253,273,272
251,246,253,273,272
251,246,258,273,272
251,246,258,273,272
251,249,258,273,272
257,249,258,273,272
257,250,258,273,272
257,250,258,273,272
257,250,258,273,272
257,251,258,273,272
257,251,258,273,272
257,251,258,273,273
257,251,259,273,273
257,251,259,273,273
257,251,263,273,273
257,251,263,273,273
257,251,263,273,273
257,251,263,273,273
257,251,263,273,273
257,251,263,273,273
258,251,263,273,273
258,251,263,273,273
258,251,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
258,252,263,273,273
259,252,263,273,273
259,252,263,273,273
259,252,263,273,273
259,252,263,273,273
259,252,263,273,273
259,252,263,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
260,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,273,273
261,252,265,276,274
261,252,265,276,274
261,252,265,281,274
262,252,265,281,274
262,252,265,281,274
262,252,265,281,275
262,252,265,281,275
262,252,265,281,275
262,252,265,281,275
262,252,265,281,275
262,252,265,281,275
262,252,265,281,275
262,252,265,281,276
262,252,265,281,276
263,252,265,281,276
263,252,265,281,276
263,252,265,281,276
263,252,265,281,276
263,252,265,281,276
263,252,265,281,276
263,252,265,281,277
263,252,265,281,277
263,252,265,281,277
263,252,265,281,277
263,252,265,281,277
263,254,265,281,279
263,254,265,281,279
263,254,265,281,279
263,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,254,265,281,279
265,255,265,281,279
265,255,265,281,279
265,255,265,281,279
265,255,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,279
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,257,265,281,280
265,258,265,281,280
265,258,265,281,280
265,258,265,281,280
265,258,265,281,280
265,258,265,281,280
265,258,265,281,280
265,258,266,281,280
265,258,266,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,280
265,258,267,281,281
265,258,267,281,281
265,258,267,281,281
265,258,267,281,281
265,258,267,281,281
265,258,267,281,281
265,258,267,281,281
265,258,267,281,281
265,258,269,281,281
265,258,269,281,281
265,258,269,281,281
265,258,269,281,281
265,258,269,281,281
265,258,269,281,281
265,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,269,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,281,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,281
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,258,273,287,282
266,259,273,287,282
266,259,273,287,282
266,259,273,287,282
266,259,273,287,282
266,259,273,287,282
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,283
266,259,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
266,260,273,287,284
