Wild Spring Chinook,Wild Fall Chinook,Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Summer Steelhead,Hatchery Winter Steelhead,Hatchery Winter-Late Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
098,004,104,193,002,002,003,004,002,003,231,002,234,003
104,004,108,197,003,002,003,004,002,003,231,002,234,003
113,004,111,197,003,002,003,004,002,003,231,002,234,003
113,004,113,197,003,003,003,004,002,003,231,002,234,003
115,004,113,197,004,003,003,004,002,003,231,002,236,003
118,004,114,197,004,004,003,006,002,003,235,003,238,003
118,004,115,197,004,005,003,011,002,003,235,003,238,005
118,004,115,197,004,005,004,011,002,003,235,003,239,005
118,004,116,197,004,005,004,011,002,003,235,003,240,005
118,004,116,197,004,006,004,011,002,003,235,004,241,005
119,004,116,197,004,007,004,011,002,003,238,004,243,007
119,004,117,197,004,007,004,014,002,004,238,004,243,276
119,004,117,197,004,007,005,014,002,004,238,004,244,276
119,004,118,197,004,007,006,014,002,004,238,004,244,276
120,004,118,197,004,008,006,014,002,004,238,004,244,276
120,004,118,198,004,009,006,014,002,004,238,004,244,276
120,004,118,198,004,009,007,015,002,004,238,004,244,276
120,004,119,198,004,010,007,065,002,004,238,004,244,276
120,004,119,198,004,011,007,078,002,004,240,004,244,276
120,004,119,199,004,011,007,078,002,004,240,004,244,276
120,004,119,199,004,011,007,078,002,005,240,004,244,276
120,004,119,199,004,012,007,078,002,005,240,004,244,276
120,004,120,199,004,012,008,078,002,005,240,004,244,276
120,004,120,199,004,012,008,081,002,005,240,004,244,276
120,004,120,199,004,013,008,081,002,005,240,004,244,276
120,004,120,199,004,014,009,081,002,005,240,004,244,276
120,004,120,200,004,014,010,081,002,006,240,004,244,276
120,004,120,200,005,014,011,081,002,006,240,004,244,276
121,004,120,200,006,014,011,081,002,006,240,004,244,276
122,004,120,200,007,015,011,081,002,007,241,004,244,276
122,004,120,201,007,015,012,081,002,007,241,005,245,276
122,004,120,201,008,016,012,081,002,007,243,005,245,276
122,004,121,201,009,016,013,081,002,007,243,005,245,281
122,004,122,202,009,017,013,081,002,007,243,005,245,282
122,004,122,202,009,018,014,081,002,008,243,005,245,282
122,004,122,202,009,018,014,081,002,008,244,005,245,282
122,004,122,203,010,019,014,081,002,008,244,005,246,283
123,004,122,204,013,019,015,081,002,008,244,005,246,284
123,004,122,204,015,019,016,081,002,010,245,005,246,284
123,004,122,204,015,020,016,081,002,010,246,006,246,284
123,004,122,205,015,021,016,081,002,011,246,007,246,284
123,004,122,205,021,021,016,081,002,011,247,007,246,284
123,004,122,205,021,021,017,081,002,011,247,007,246,284
123,004,122,205,024,021,019,081,002,012,248,007,247,286
123,004,122,205,027,022,019,081,002,012,248,007,247,286
123,004,123,205,027,022,019,081,002,012,248,007,247,286
124,004,123,205,034,023,020,081,002,013,248,007,247,286
124,004,123,205,036,023,020,081,003,013,248,007,247,286
124,004,123,205,040,023,020,081,003,013,248,007,247,286
124,004,123,206,042,023,022,081,003,013,248,007,248,286
124,004,123,206,051,024,022,081,003,013,248,007,248,286
124,004,124,207,051,024,022,081,003,014,248,007,248,286
124,004,124,208,059,024,022,081,003,014,248,007,248,286
124,004,124,208,080,024,022,081,003,014,248,007,248,286
124,004,124,208,094,024,023,081,003,014,248,007,248,286
125,004,124,208,101,025,023,081,003,014,249,007,248,286
125,004,124,208,108,025,023,081,003,014,249,007,249,286
125,004,124,209,109,025,023,081,003,014,249,007,249,287
125,004,124,209,109,025,025,081,003,014,249,007,250,287
125,004,124,209,110,026,025,081,003,014,249,007,250,287
125,004,124,209,112,026,026,081,003,015,249,007,251,287
125,004,125,210,114,027,026,081,003,015,249,007,251,287
125,004,125,211,114,027,026,081,003,016,249,007,251,287
125,004,125,211,115,028,027,081,003,016,249,007,251,287
125,004,125,211,116,028,027,081,003,016,249,007,251,287
125,004,125,211,117,028,027,081,003,016,249,007,251,287
125,004,125,211,117,030,027,109,003,016,251,007,251,287
125,004,125,211,119,031,027,113,003,016,251,007,251,288
125,004,125,211,121,031,028,117,003,016,251,007,251,288
125,004,125,211,121,032,029,120,003,016,251,007,252,288
125,004,125,211,121,033,029,124,003,016,252,007,252,288
125,004,125,211,122,034,030,129,003,016,252,007,252,288
125,004,125,211,123,034,030,130,003,016,252,007,253,288
125,004,125,212,124,035,031,131,003,017,252,007,253,288
125,004,125,212,125,035,031,132,003,018,252,007,253,288
125,004,126,212,126,036,032,132,003,018,252,007,253,289
126,004,126,212,127,036,032,132,003,018,252,007,253,289
126,004,126,212,128,037,032,132,003,018,252,007,253,289
126,004,126,212,129,038,032,132,003,018,252,007,253,289
126,004,126,214,130,038,032,133,003,019,252,007,253,289
127,004,126,215,130,038,032,134,003,019,252,007,253,289
127,004,126,215,130,039,034,135,003,019,252,007,254,289
