Hatchery Spring Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Hatchery Chum,Unknown Chum
129,002,002,004,002,302
144,002,002,004,002,302
145,002,002,004,002,302
151,002,002,004,002,302
151,002,002,004,009,302
151,002,002,004,305,302
151,002,002,004,312,302
151,002,002,004,312,302
151,002,002,004,317,302
151,002,002,004,317,302
151,002,002,004,317,314
151,002,002,004,317,318
151,002,002,004,317,318
151,002,002,004,317,319
151,002,002,004,317,319
151,002,002,004,317,319
151,002,002,004,319,319
151,002,002,004,319,319
151,002,002,004,319,319
152,002,002,004,319,319
153,002,002,004,319,319
153,002,002,004,319,321
153,002,002,004,320,321
153,002,002,005,320,321
153,002,002,005,320,321
153,002,002,005,320,321
153,002,002,005,320,321
153,002,002,005,320,321
153,002,002,005,320,321
153,002,002,009,320,321
153,002,002,009,320,321
153,002,002,009,320,321
153,002,002,261,320,321
153,002,002,261,320,321
153,002,002,261,320,321
154,002,002,261,320,321
154,002,002,261,320,321
154,002,004,261,320,321
154,002,004,261,320,321
154,002,004,261,320,321
154,002,004,261,321,321
154,002,004,261,321,321
154,002,004,261,321,322
154,002,004,261,322,322
154,002,004,261,322,322
154,002,004,261,322,322
154,002,004,261,322,322
154,002,004,261,322,322
154,002,004,261,322,322
154,002,004,261,322,323
154,003,004,261,322,323
154,003,004,261,322,323
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,324
154,003,004,261,322,325
154,003,004,261,322,325
155,003,004,261,322,328
155,003,004,265,323,328
155,003,004,265,323,328
157,003,004,265,323,328
157,003,004,265,323,328
157,003,004,265,323,328
157,003,004,265,323,328
158,003,004,265,323,330
158,003,004,265,324,330
158,003,004,265,324,330
160,003,004,265,324,330
160,003,004,265,324,330
160,003,004,265,324,330
160,003,004,265,324,330
160,003,004,265,324,330
160,003,004,265,324,330
161,003,004,265,324,330
161,003,004,265,324,330
161,003,004,265,324,330
161,003,004,265,324,330
161,003,004,265,324,330
162,003,004,265,324,330
