Wild Spring Chinook,Hatchery Spring Chinook,Hatchery Fall Chinook,Unknown Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Hatchery Type S Coho
124,112,231,041,008,002,261
124,112,231,231,009,004,261
124,115,232,231,015,019,261
124,115,232,231,016,061,261
124,115,233,231,016,062,261
124,115,233,231,016,066,261
124,116,233,232,019,067,261
124,116,233,233,020,067,267
124,116,233,233,020,067,267
124,118,234,233,020,067,267
129,118,234,233,024,067,267
129,118,234,233,026,067,267
129,118,235,233,031,067,267
129,119,235,233,034,067,267
129,119,235,233,034,068,272
129,119,235,233,034,068,272
129,120,235,234,035,068,272
129,121,235,234,036,068,272
129,121,235,234,036,068,272
129,121,236,234,037,068,272
129,121,237,234,038,068,272
129,121,237,235,041,068,275
129,121,237,235,042,068,275
129,121,237,235,042,068,275
129,121,237,235,043,068,275
129,121,237,235,044,069,275
129,122,237,235,044,069,275
129,122,237,235,044,069,275
129,122,237,235,044,069,275
129,123,237,236,045,069,275
129,125,237,236,046,069,275
129,125,238,237,046,070,275
129,125,238,237,047,071,275
131,125,239,237,047,071,275
131,125,239,237,048,071,275
131,125,239,237,048,071,275
131,125,239,237,048,071,275
131,125,239,237,048,071,275
131,125,239,237,048,071,275
133,125,239,237,048,071,275
133,126,239,237,048,072,275
133,126,239,237,048,072,275
133,126,239,238,049,072,275
133,126,239,238,049,072,275
133,126,240,238,049,074,275
133,126,240,238,050,074,275
133,126,240,238,051,074,275
134,126,240,239,051,074,275
134,127,240,239,051,074,275
134,127,240,239,051,074,275
134,127,240,239,051,074,275
134,127,240,239,051,074,275
134,127,240,239,051,074,275
134,127,240,239,051,074,275
134,128,240,239,052,074,275
134,128,240,239,052,074,275
134,130,240,239,052,074,275
134,130,240,239,052,074,275
134,131,240,239,052,074,275
134,131,240,240,052,074,275
134,131,240,240,052,074,275
134,131,240,240,052,074,275
134,132,240,240,052,074,275
134,132,240,240,053,074,275
134,132,241,240,053,074,275
135,132,241,240,053,074,275
135,132,241,240,053,074,275
135,132,241,240,053,074,275
135,132,241,240,053,074,275
135,132,241,240,053,074,275
135,133,241,240,053,074,275
135,133,241,240,053,074,275
135,134,241,240,054,074,275
135,134,241,240,054,074,275
135,134,241,240,054,074,275
135,134,241,240,054,074,275
135,134,241,240,055,074,275
136,134,241,240,055,074,275
136,134,242,240,055,074,275
136,134,242,240,055,075,275
136,134,242,240,055,075,275
136,134,242,240,055,075,275
136,135,242,240,055,075,275
136,135,242,240,055,075,275
136,135,242,240,055,075,275
136,135,242,240,055,075,275
136,135,242,240,056,075,275
136,135,242,241,056,075,275
137,136,242,241,056,075,275
137,136,242,241,056,075,275
137,136,242,241,056,075,275
137,136,242,241,056,075,275
137,136,242,241,057,076,275
137,136,242,241,057,076,275
137,136,242,241,057,076,275
137,136,243,241,058,076,275
137,136,243,241,058,076,275
137,137,243,241,058,076,275
137,137,243,241,058,076,275
137,137,243,241,058,077,275
137,137,243,241,058,077,275
