Wild Summer Chinook,Wild Fall Chinook,Hatchery Spring Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho
234,251,113,001,265,002
234,251,116,001,265,002
234,251,118,001,265,002
234,254,124,001,265,003
234,254,124,001,265,004
234,254,125,001,265,004
234,254,127,001,265,004
234,257,129,001,265,004
234,258,129,001,265,004
234,258,131,002,265,004
234,258,131,002,265,004
234,258,131,002,265,007
234,262,131,002,265,007
234,262,131,002,265,007
234,262,132,002,265,007
234,262,132,002,265,007
235,262,133,002,265,007
235,262,133,002,265,007
235,262,133,002,265,008
235,262,134,002,265,008
235,263,135,003,265,009
235,263,135,003,265,010
235,263,135,003,265,243
235,263,135,003,265,243
235,263,135,003,272,248
235,263,135,003,278,251
235,263,135,003,286,255
235,263,136,003,286,256
235,263,136,003,286,256
235,264,136,003,286,256
235,264,136,003,286,256
235,264,136,003,286,256
235,264,136,003,286,256
235,264,136,003,286,257
236,264,136,003,286,257
236,264,136,003,286,257
236,264,136,003,286,257
236,265,136,003,286,257
236,265,136,003,286,257
236,265,137,003,286,257
236,265,137,003,286,257
236,265,137,003,286,257
236,265,137,003,286,257
236,265,137,003,286,257
236,265,138,003,286,257
236,265,138,003,286,257
236,265,139,003,286,257
236,265,139,003,286,257
236,265,139,003,286,258
236,265,139,003,286,258
236,265,139,003,288,258
236,265,139,003,288,258
236,265,140,003,288,258
236,265,140,003,288,258
236,265,140,003,288,258
236,265,140,003,288,258
236,265,140,003,288,258
236,265,140,003,288,258
236,265,140,003,288,260
236,265,140,003,288,261
236,266,140,003,288,261
237,266,140,003,288,262
237,266,140,003,288,262
237,266,140,003,288,262
237,267,140,003,288,262
237,267,140,003,288,262
237,267,140,003,288,262
237,267,140,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,267,141,003,288,263
237,268,141,003,288,263
237,268,142,003,288,263
237,268,142,003,288,263
237,268,142,003,288,263
237,268,142,003,288,263
237,268,142,003,288,263
237,268,142,003,288,263
237,268,142,003,288,264
237,268,142,003,288,264
237,268,142,003,288,265
237,269,142,003,288,265
237,269,142,003,288,265
237,269,142,003,288,265
237,269,143,003,288,265
237,269,143,003,288,265
237,269,143,004,288,265
237,269,143,004,288,265
