Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Hatchery Chum,Unknown Chum,Wild Pink,Hatchery Pink
137,189,236,236,002,309,202,195
143,192,244,237,304,311,202,204
143,194,247,239,305,311,202,209
144,195,251,241,306,313,202,209
144,196,251,242,306,313,210,209
147,197,252,242,306,313,210,211
147,199,252,243,307,313,210,211
149,200,252,244,307,313,213,213
149,200,253,244,308,314,213,213
150,200,253,245,309,314,213,213
150,201,256,246,309,314,216,213
150,201,256,246,309,314,220,213
151,202,258,247,310,314,220,213
151,202,258,247,310,315,220,213
151,202,258,247,311,315,220,213
151,202,258,247,311,315,220,213
151,202,259,248,311,315,220,213
151,203,259,248,312,315,220,213
151,203,259,248,312,315,222,213
152,203,259,248,312,315,222,214
152,204,259,248,312,316,222,214
152,204,259,248,312,316,222,214
152,204,259,249,312,316,222,215
152,205,259,249,313,316,222,215
153,205,259,249,313,316,223,215
153,205,259,249,313,316,225,216
153,206,259,249,313,316,225,216
153,206,264,250,314,316,225,216
153,206,264,250,314,316,225,216
154,206,264,250,314,317,225,216
154,207,264,250,314,317,225,216
154,207,264,250,314,317,225,216
154,208,264,250,314,317,225,216
154,208,264,250,314,317,225,217
154,208,264,250,314,317,226,219
154,209,264,251,314,318,226,219
154,209,264,251,314,318,226,219
154,209,264,251,314,318,227,219
155,209,264,251,314,318,227,219
156,209,264,251,314,318,227,219
156,209,264,251,315,318,227,220
157,210,264,251,315,318,227,220
157,210,264,251,315,318,227,220
157,210,264,251,315,318,227,220
158,210,265,251,315,318,227,220
158,210,265,251,315,318,227,220
159,210,267,251,315,318,227,221
159,210,267,252,315,318,227,221
159,211,267,252,315,318,228,221
159,211,267,252,315,319,228,221
159,211,267,252,315,319,229,221
159,211,267,252,315,319,229,221
159,211,267,252,316,319,229,223
159,212,267,253,316,319,229,229
159,212,267,253,316,319,229,229
159,212,267,253,316,319,229,229
159,212,267,253,316,319,229,229
159,212,268,253,316,319,230,229
159,212,268,253,316,319,230,229
159,212,268,253,316,319,230,229
160,212,268,254,316,319,230,229
160,213,269,254,316,319,230,229
160,213,269,254,316,319,230,229
160,213,269,254,316,319,230,229
160,213,269,254,316,319,230,229
161,213,269,254,316,319,230,229
161,213,269,254,316,319,230,229
161,213,269,254,316,319,230,229
161,213,269,254,317,319,230,229
161,213,269,254,317,319,230,229
161,213,269,255,317,319,230,229
161,213,269,255,317,319,230,229
161,213,269,255,317,319,230,229
161,213,269,255,317,319,230,229
161,213,269,255,317,320,230,229
161,213,269,255,317,320,231,229
161,213,269,255,317,320,232,229
161,214,269,255,317,320,233,229
161,214,269,255,317,320,233,229
161,214,269,255,317,320,233,229
161,214,269,255,317,320,233,229
161,214,269,255,317,320,233,229
161,214,269,256,317,320,233,229
161,214,269,256,317,320,233,229
161,214,270,256,317,320,233,230
161,214,270,256,317,320,233,230
161,214,270,256,317,320,233,230
161,214,270,256,318,320,233,230
161,214,270,256,318,320,233,230
161,215,270,256,318,320,233,230
161,215,270,256,318,320,233,230
161,215,270,257,318,320,233,230
161,215,270,257,318,320,233,230
161,215,270,257,318,320,234,230
161,215,270,257,318,320,234,230
161,215,270,257,318,320,234,230
161,215,270,257,318,320,234,230
162,215,270,257,318,320,234,230
162,215,270,257,318,320,234,231
162,215,270,257,318,321,234,231
162,215,270,257,318,321,234,231
162,215,270,257,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,234,234
162,216,270,258,318,321,235,234
162,216,270,258,318,321,235,235
162,216,270,258,318,321,235,235
162,216,270,258,318,321,235,235
162,217,270,258,318,321,235,235
162,217,270,258,318,321,235,235
162,217,271,258,318,321,235,235
162,217,271,259,318,321,235,237
162,217,271,259,318,321,236,237
162,217,271,259,318,321,237,237
162,217,271,259,318,321,237,237
162,217,271,259,318,321,238,237
162,217,271,259,318,321,238,237
162,217,271,259,318,321,238,237
162,217,271,259,318,322,238,237
162,217,271,259,318,322,238,237
162,217,271,259,318,322,239,237
162,217,271,259,318,322,239,237
162,217,271,259,318,322,239,237
162,217,271,259,318,322,239,237
162,217,271,259,318,322,239,237
162,217,271,259,318,322,239,237
163,217,271,259,318,322,239,237
163,218,271,259,319,322,239,237
163,218,271,259,319,322,240,237
163,218,271,259,319,322,240,240
163,218,272,260,319,322,240,240
163,218,272,260,319,323,240,240
163,218,272,260,319,323,240,240
163,218,272,260,319,323,240,240
163,218,272,260,319,323,240,240
163,218,272,260,319,323,240,240
163,218,272,260,319,323,240,242
163,218,272,260,319,323,241,242
163,219,272,260,319,323,241,242
164,219,272,260,319,323,242,242
164,219,272,260,319,323,242,242
164,219,272,260,319,323,242,242
164,219,272,260,319,323,242,242
164,219,272,260,319,323,242,242
164,219,272,260,319,323,242,243
164,219,272,260,319,323,242,243
