Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
205,212,203,200,232,270,226,267
210,214,203,200,232,271,230,267
215,216,203,201,232,271,230,268
218,219,203,202,232,271,230,268
219,220,203,203,232,271,233,269
219,220,203,203,232,271,233,269
221,221,203,203,233,271,233,270
223,221,203,203,233,273,235,271
224,222,204,203,234,274,236,272
224,223,204,203,234,274,237,273
225,223,204,203,236,274,237,273
225,224,204,203,236,274,237,273
226,224,204,204,237,274,237,274
227,224,204,204,238,274,238,275
227,224,204,204,238,275,238,275
227,224,204,204,239,275,238,275
227,224,204,204,239,275,240,275
228,225,204,204,240,276,240,275
228,225,204,204,240,276,240,275
229,225,204,204,240,276,240,275
229,226,204,204,240,276,241,275
229,226,204,204,240,276,241,275
229,227,204,204,240,276,241,275
229,227,204,204,240,276,241,275
230,227,205,204,240,276,241,275
230,228,205,204,240,276,241,275
230,228,205,204,240,276,242,276
231,228,205,204,240,276,242,276
231,228,205,205,240,276,242,276
231,229,205,205,241,276,242,276
231,229,205,205,241,276,243,276
231,229,205,205,241,276,243,276
231,229,205,205,242,276,243,276
231,229,205,205,242,276,243,276
231,229,205,205,242,276,243,276
232,229,205,205,242,277,243,276
232,230,205,205,242,277,243,276
232,230,205,205,242,277,243,276
232,230,205,205,242,278,243,277
232,230,206,206,242,278,243,277
232,230,206,206,242,278,244,277
233,230,206,206,242,278,244,278
233,231,206,206,242,278,245,278
233,231,206,206,242,279,245,278
233,231,206,206,242,279,245,278
233,231,206,206,242,279,245,278
233,231,206,206,242,279,245,278
233,231,206,206,243,280,245,278
233,231,206,206,243,280,245,278
233,231,206,206,243,280,246,278
234,231,207,207,243,280,246,278
234,232,207,207,243,280,246,278
234,232,207,207,243,280,246,278
234,232,207,207,243,280,247,278
234,232,208,207,244,280,247,279
234,232,208,207,244,280,247,279
234,232,208,207,244,280,247,279
234,232,208,207,244,280,247,279
234,232,208,207,244,280,248,279
234,232,208,207,244,280,248,279
234,232,208,208,244,280,248,279
234,233,208,208,244,280,248,279
235,233,208,208,244,280,249,279
235,233,208,208,244,280,249,279
235,233,208,208,244,280,249,279
235,233,208,208,244,280,250,279
235,233,208,208,244,280,250,279
235,233,209,208,244,280,250,279
235,233,209,208,244,280,250,280
235,233,209,208,244,280,250,280
235,233,209,208,244,280,250,280
236,233,209,208,244,280,250,280
236,233,209,209,244,280,251,280
236,234,209,209,245,280,251,280
236,234,209,209,245,280,251,280
236,234,209,209,245,280,252,280
236,234,209,209,245,280,252,280
236,234,209,209,245,280,252,280
236,234,209,209,245,280,252,280
236,234,209,209,245,281,252,280
236,234,210,209,245,281,252,280
236,234,210,209,245,281,252,280
236,234,210,209,245,281,252,280
237,234,210,209,245,281,253,280
237,234,210,210,246,281,253,280
237,234,210,210,246,281,253,280
237,234,210,210,246,281,253,280
237,234,210,210,246,281,253,280
237,234,210,210,246,281,253,280
237,234,210,210,246,281,253,280
237,235,211,210,247,281,253,280
237,235,211,210,247,281,254,280
237,235,211,210,247,281,254,280
237,235,211,210,247,281,254,280
237,235,212,210,247,281,254,280
237,235,212,210,247,281,254,280
237,235,212,211,247,281,254,280
238,235,212,211,247,281,254,280
238,235,212,211,247,281,255,280
