Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Winter Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho,Wild Chum,Unknown Chum
214,229,002,254,002,253,001,294,295
225,234,002,256,002,255,001,294,295
227,234,002,256,002,256,001,294,296
229,235,002,256,002,256,001,294,297
232,237,002,256,002,258,001,294,297
233,238,002,257,002,258,001,294,298
234,239,002,258,002,258,001,294,298
234,240,002,260,002,259,002,294,298
237,240,002,260,002,259,002,294,298
240,241,002,262,002,260,002,294,298
241,241,002,263,002,260,002,294,298
241,242,002,263,002,260,002,294,298
242,243,002,264,002,261,002,294,298
243,243,002,264,002,262,002,294,299
244,244,002,264,002,262,002,294,299
245,244,002,264,002,262,002,294,299
245,245,002,264,002,262,002,294,299
245,245,002,264,002,263,002,294,299
246,245,002,264,002,263,002,294,299
246,245,002,265,002,263,002,294,299
246,245,002,265,002,263,002,294,299
246,245,002,265,002,263,002,294,299
246,245,002,265,002,263,002,294,300
246,245,002,265,002,264,002,294,300
247,246,002,265,002,264,002,294,300
247,246,002,265,002,264,002,294,300
247,246,002,265,002,264,002,294,300
247,246,002,265,002,264,002,294,300
248,247,002,265,002,264,002,294,300
248,247,002,265,002,264,002,294,300
248,247,002,267,002,264,002,294,303
248,248,002,267,002,265,002,294,303
248,248,002,268,002,265,002,294,303
248,248,002,268,002,265,002,294,303
248,248,002,268,002,265,002,294,303
248,248,002,268,002,265,002,294,303
248,248,002,268,002,265,002,295,303
249,248,002,268,002,265,002,295,303
249,248,002,268,002,265,002,295,303
250,248,002,268,002,265,002,295,303
250,248,002,268,002,265,002,295,303
250,248,002,268,002,265,002,295,303
250,248,002,268,002,265,002,295,303
251,248,002,269,002,265,002,295,303
252,248,002,269,002,265,002,295,303
252,248,002,269,002,265,002,295,304
252,249,002,269,002,265,002,295,304
252,249,002,269,002,265,002,295,304
252,250,002,269,002,265,002,295,304
252,250,002,269,002,265,002,295,304
252,250,002,269,002,265,002,295,304
253,250,002,269,002,265,002,295,304
253,250,002,269,002,265,002,295,304
253,250,002,269,002,265,002,295,304
253,250,002,269,002,265,002,295,304
253,250,002,269,002,265,002,295,304
254,251,002,270,002,265,002,295,304
254,251,002,270,002,265,002,295,304
254,251,002,270,002,265,002,295,304
254,252,002,270,002,265,002,295,304
254,252,002,270,002,265,002,295,304
254,252,002,270,004,265,002,296,304
254,252,002,270,004,265,002,296,304
254,252,002,270,004,265,002,296,304
254,253,002,270,004,265,002,296,304
254,253,002,270,004,265,002,296,304
254,253,002,270,004,265,002,297,304
