Wild Fall Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Wild Chum,Unknown Chum
253,235,269,260,279,294
253,235,273,260,279,294
253,240,275,260,279,294
255,253,275,260,279,296
264,253,275,260,279,296
264,253,275,260,279,296
264,253,275,260,279,297
264,253,275,260,279,297
264,253,275,260,279,297
264,253,275,260,279,297
264,253,275,260,279,297
264,253,275,260,279,297
264,253,275,260,279,297
264,254,275,260,279,297
264,254,275,260,279,297
264,255,275,260,279,297
264,255,275,260,279,297
264,255,275,260,279,298
264,255,275,260,279,298
264,255,275,260,279,298
265,255,275,260,279,298
266,255,275,260,279,298
267,255,278,260,279,298
267,255,278,260,279,298
267,255,278,260,279,298
267,255,278,260,279,298
269,255,278,260,279,299
269,255,278,260,279,299
269,255,278,260,279,299
269,255,278,260,279,299
269,255,278,260,279,299
269,255,278,260,279,299
269,255,278,260,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,299
269,255,278,265,279,300
269,255,278,265,279,300
269,255,278,265,279,300
269,255,278,265,279,300
269,256,278,265,279,300
269,256,278,265,279,300
269,256,278,265,286,300
269,256,278,265,286,300
269,256,278,265,286,300
269,256,278,265,286,300
269,256,278,265,286,300
269,256,278,269,286,300
269,256,278,269,286,300
269,256,278,269,286,300
269,256,278,269,286,300
269,256,278,269,288,300
269,259,278,269,288,300
269,259,278,269,288,300
269,260,278,269,289,300
269,260,278,269,289,300
269,260,278,269,289,300
269,260,278,269,289,300
269,260,278,272,289,300
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,289,301
269,260,278,272,291,301
269,260,278,272,291,301
269,260,278,272,292,301
269,260,278,272,292,301
269,260,278,272,292,301
269,260,278,272,292,301
269,260,278,272,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
269,260,278,275,292,301
270,260,278,275,292,301
270,260,278,275,292,301
270,260,278,275,292,302
270,260,278,275,292,302
270,260,278,275,292,302
270,260,278,275,292,302
270,260,278,277,292,302
270,260,278,277,292,302
270,260,278,277,292,302
270,260,278,277,293,302
270,260,278,277,293,302
270,260,278,277,293,302
270,260,278,277,293,302
270,260,278,277,293,302
270,260,278,278,293,302
270,261,278,278,293,302
270,261,278,278,293,302
270,262,278,278,293,302
270,262,278,278,293,302
270,263,278,278,293,302
270,263,278,278,293,302
270,264,278,278,293,302
270,264,278,278,293,302
270,264,278,278,293,302
270,264,278,278,293,302
270,264,278,278,293,303
270,264,278,278,293,303
270,264,278,278,293,303
271,264,280,278,293,303
272,264,280,278,293,303
272,264,280,278,293,303
272,264,280,278,293,303
272,264,280,278,293,303
272,264,280,278,293,303
272,264,280,278,293,303
272,265,280,278,293,303
272,265,280,278,293,303
272,265,280,278,293,303
272,265,280,278,293,303
272,265,280,278,293,303
272,265,281,278,293,303
272,265,281,278,293,303
272,265,281,278,293,303
272,265,281,278,293,303
272,265,281,278,293,303
272,265,281,278,293,303
272,265,281,278,293,303
272,265,281,278,294,303
272,265,281,278,294,303
272,266,281,278,294,303
272,266,281,278,294,303
272,266,281,278,294,303
272,266,281,278,294,303
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,266,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,304
272,267,281,278,294,305
273,267,281,278,294,305
273,267,281,278,294,305
273,267,281,278,294,305
273,267,281,278,294,305
273,267,281,278,294,305
273,267,281,278,294,305
273,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,267,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,268,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,282,278,294,305
275,269,283,278,294,305
275,269,283,278,294,305
275,269,283,278,294,305
275,269,283,278,294,305
275,269,283,278,294,305
275,269,283,278,294,305
275,269,283,278,295,305
275,269,284,278,295,305
275,269,284,279,295,305
275,269,284,279,295,305
275,269,284,279,295,305
275,269,284,279,295,305
275,269,284,279,295,305
275,269,284,279,296,305
275,269,284,279,296,305
275,269,284,279,296,305
275,269,284,279,296,306
275,269,284,279,296,306
275,269,284,279,296,306
275,269,284,279,296,306
275,269,284,279,296,306
275,269,284,279,296,306
275,269,284,279,296,306
276,269,284,279,296,306
276,269,284,279,296,306
276,269,284,279,296,306
276,269,284,279,297,306
276,269,284,279,297,306
276,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,306
277,269,284,279,297,307
277,269,284,279,297,307
277,269,284,279,297,307
277,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,297,307
278,269,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,307
278,270,284,279,298,308
278,270,284,279,298,308
278,270,284,279,298,308
278,270,284,279,298,308
278,270,284,279,298,308
278,270,284,279,298,308
278,270,284,279,298,308
278,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,284,279,298,308
280,270,286,279,299,308
280,270,286,279,299,308
280,270,286,279,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,270,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,308
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,271,286,280,299,309
280,272,286,280,299,309
280,272,286,280,299,309
280,272,286,280,299,309
280,272,286,280,299,309
280,272,286,280,299,309
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,280,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,310
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,311
280,272,286,281,299,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,281,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,312
280,272,286,282,300,313
280,272,286,282,300,313
280,272,286,282,300,313
280,272,286,282,300,313
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,272,286,282,300,314
280,273,286,282,300,314
280,273,286,282,300,314
280,273,286,282,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
280,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,314
281,273,286,283,300,315
281,273,286,283,300,315
281,273,286,283,300,315
281,273,286,283,300,315
281,273,286,283,300,315
281,273,286,283,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,315
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,316
281,273,286,285,300,317
281,273,286,285,300,317
281,273,286,285,300,317
281,273,286,285,301,318
281,273,286,285,301,318
281,273,286,285,301,318
281,273,286,285,301,318
281,273,286,285,301,318
281,273,286,285,301,318
281,273,286,285,301,318
282,274,286,285,301,318
282,274,286,285,301,318
282,274,286,285,301,318
282,274,286,285,301,318
282,274,286,285,301,319
282,274,286,285,301,319
282,274,286,285,301,319
282,274,286,285,301,319
282,274,287,285,301,319
282,274,287,285,301,322
282,274,287,285,301,322
282,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,274,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,287,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
283,275,288,285,301,
284,275,288,285,301,
284,275,288,285,302,
284,275,288,285,302,
284,275,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
284,277,288,285,302,
