Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Hatchery Type S Coho
227,231,198,200,246,244
231,233,198,201,249,244
233,235,198,202,249,244
233,237,198,202,249,244
238,238,198,202,249,244
239,239,198,203,249,244
239,240,198,204,252,244
240,240,198,205,252,244
241,241,198,206,252,244
241,241,198,207,252,244
241,241,198,208,252,244
241,241,198,208,252,244
241,241,198,209,252,244
241,241,198,209,252,244
241,241,198,209,252,244
242,241,198,209,252,244
242,241,198,209,252,244
242,242,198,209,252,244
242,242,198,209,252,244
242,242,198,210,252,244
242,242,198,210,252,244
242,242,198,210,252,244
244,242,198,210,252,244
244,242,198,210,252,244
244,242,198,210,252,244
245,243,198,212,252,244
245,243,198,213,252,244
245,244,198,213,252,244
245,244,198,216,253,244
245,244,198,216,253,244
245,244,198,217,253,244
246,244,198,219,254,244
246,244,198,220,254,244
246,244,206,221,254,244
246,244,206,227,254,244
246,245,206,229,255,244
246,245,206,231,255,244
246,245,206,231,255,244
246,245,206,233,255,244
246,245,206,233,255,244
246,245,206,233,255,244
247,245,206,233,255,244
247,246,206,233,255,244
247,246,207,233,256,244
247,246,207,233,256,244
247,246,207,233,256,244
247,246,207,233,256,244
247,246,207,233,256,244
248,246,207,233,256,244
248,246,207,233,256,244
248,246,207,233,256,244
248,246,207,233,257,244
248,246,207,233,257,244
248,246,207,233,257,244
248,246,226,233,258,244
248,246,226,233,259,244
248,246,226,233,259,244
248,246,226,233,259,244
248,247,226,234,259,244
248,247,226,234,259,244
248,247,226,234,259,244
249,247,226,234,259,244
249,247,226,234,259,244
249,247,226,234,259,244
249,247,226,234,259,244
249,247,230,234,259,244
249,248,230,234,259,244
249,248,230,234,259,244
249,248,230,234,259,244
250,248,230,234,259,244
250,248,230,234,260,244
250,248,230,234,260,244
250,248,230,234,260,244
250,248,230,234,260,244
250,248,230,234,260,244
251,248,230,234,260,244
251,248,230,234,260,244
251,248,230,234,260,244
251,248,230,236,260,244
251,248,230,236,260,244
251,248,230,236,260,244
251,248,230,236,260,244
251,248,230,236,260,244
251,248,230,236,260,244
252,248,230,236,260,244
252,248,240,237,260,244
252,249,240,237,260,244
252,249,240,240,261,244
252,249,240,240,261,244
252,249,240,240,261,244
252,249,240,240,261,244
252,249,240,240,261,244
252,249,240,240,261,244
252,249,240,241,261,244
252,249,240,242,261,244
252,249,240,242,261,244
252,249,240,242,261,244
252,249,240,242,261,244
252,249,240,242,261,244
252,249,240,242,262,244
252,249,240,242,262,246
252,250,240,242,262,246
253,250,240,242,262,247
253,250,240,242,262,247
253,250,240,242,262,248
253,250,240,242,262,248
