Wild Fall Chinook,Hatchery Fall Chinook,Unknown Fall Chinook,Unknown Summer Steelhead,Wild Type S Coho,Hatchery Type S Coho
249,252,251,252,254,255
249,253,251,252,254,255
249,253,252,252,256,257
249,253,253,252,256,257
249,253,253,252,256,257
249,254,254,252,256,257
249,254,254,252,256,257
249,254,254,252,256,257
249,254,254,252,256,257
249,254,256,252,256,257
249,254,256,252,256,257
249,254,256,253,256,257
250,254,256,253,256,257
250,255,256,253,256,257
250,255,256,253,256,257
250,255,257,253,256,257
250,255,257,253,256,260
250,255,257,253,256,260
251,255,257,253,256,260
251,255,257,253,256,260
251,255,258,253,256,260
251,256,258,253,256,260
251,256,258,254,260,260
251,256,258,254,260,260
253,256,258,254,261,260
253,256,258,254,261,260
254,256,259,254,261,260
254,256,259,254,261,260
254,256,259,254,262,260
254,256,260,254,262,260
254,256,260,254,262,260
254,256,260,254,262,260
254,256,260,254,264,260
254,257,260,254,264,261
255,257,260,254,264,261
255,257,260,254,264,261
255,257,261,254,264,261
255,257,261,254,264,261
255,257,262,254,264,261
255,257,262,254,264,261
256,257,263,254,264,261
256,257,263,254,264,261
256,257,263,254,264,261
256,257,263,254,264,261
256,257,263,254,264,261
256,257,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
256,258,263,254,264,261
257,259,263,254,264,261
257,259,264,254,264,261
257,259,264,254,264,261
257,259,264,254,264,261
257,259,264,254,264,261
257,259,264,254,264,261
257,259,265,254,264,261
257,259,265,254,264,261
257,259,265,255,264,261
257,259,265,255,264,261
257,259,265,255,264,261
257,259,265,255,264,261
257,259,265,255,264,261
257,259,265,255,264,261
257,259,265,255,264,261
257,259,266,255,264,261
257,259,266,255,264,261
257,259,266,255,264,261
257,259,266,255,264,261
257,259,267,255,264,261
257,259,267,255,264,261
257,259,267,255,264,261
257,259,267,255,264,261
257,260,267,255,264,261
257,260,268,255,264,262
258,260,268,255,267,262
258,260,268,255,267,262
258,260,268,255,267,262
258,260,268,255,267,262
258,260,268,255,267,262
259,260,268,255,267,262
259,260,269,255,267,262
259,260,269,255,267,262
259,260,269,258,267,262
