Hatchery Summer Steelhead,Hatchery Winter Steelhead
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,001
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,002
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
004,003
007,003
007,003
007,003
007,003
007,003
012,003
012,003
012,003
015,003
015,003
015,003
015,003
018,003
018,003
020,003
020,003
020,003
020,003
020,003
020,003
020,003
020,003
020,003
020,003
020,003
020,003
024,003
027,003
027,003
057,003
057,003
057,003
057,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
062,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
073,003
101,003
101,003
101,003
129,003
129,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
131,003
135,003
135,003
135,003
135,004
135,004
136,004
137,004
137,004
137,004
137,004
137,004
137,004
137,004
137,004
137,004
137,004
137,004
139,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
140,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
141,004
142,004
142,004
142,004
142,004
142,004
142,004
143,004
143,004
143,004
144,004
144,004
144,004
145,004
145,004
146,004
146,004
147,004
147,004
147,004
147,004
147,005
147,005
147,005
147,005
147,005
147,005
147,005
147,005
148,005
149,005
149,005
149,005
149,005
149,005
150,005
150,005
150,005
150,005
150,005
151,005
151,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
152,006
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
153,007
154,007
154,007
154,007
155,007
155,007
155,007
155,007
155,007
155,007
155,007
155,007
156,007
156,007
156,007
156,007
156,007
156,007
156,007
157,007
157,007
157,007
157,007
157,007
157,007
158,007
158,007
158,007
158,007
158,007
158,007
158,007
158,007
159,007
159,007
159,007
159,007
159,007
159,007
159,007
160,007
160,007
160,007
160,007
160,007
160,007
160,007
160,007
160,007
160,007
161,007
161,007
161,007
162,007
162,007
162,007
162,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
163,008
164,008
164,008
164,008
164,008
164,008
164,008
164,008
164,009
164,009
164,009
164,009
164,009
164,009
164,009
165,009
165,009
165,009
165,009
166,009
166,009
166,009
166,009
166,009
166,009
166,010
166,010
166,010
166,010
166,010
167,010
167,010
167,010
167,010
167,010
168,010
168,010
168,010
168,010
168,010
168,010
168,010
168,010
168,010
168,010
168,010
169,010
169,010
169,010
169,010
169,010
169,010
169,010
169,010
169,011
169,011
169,011
169,011
169,011
169,011
169,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,011
170,012
170,012
170,012
170,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
171,012
172,012
172,012
172,012
172,012
172,012
172,012
172,012
172,012
172,012
172,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
173,012
174,012
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
174,013
175,013
175,014
175,014
175,014
175,014
175,014
175,014
175,014
176,014
176,014
176,014
176,014
176,014
176,014
176,014
176,014
176,014
176,014
177,014
177,014
177,014
177,014
177,014
177,014
177,014
177,014
178,014
178,014
178,014
178,014
178,014
178,014
178,014
178,014
178,014
178,015
179,015
179,015
179,015
179,015
179,015
179,015
179,015
179,015
179,015
180,015
180,015
180,015
180,015
180,015
180,015
180,015
180,015
180,015
180,015
181,015
181,015
181,015
181,015
181,015
181,015
181,015
181,015
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,016
181,017
181,017
181,017
181,017
181,017
181,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
182,017
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
183,018
184,018
184,018
184,018
184,018
184,018
184,018
184,019
184,019
184,019
184,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,019
185,020
185,020
185,020
185,020
185,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
186,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
187,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,020
188,021
188,021
188,021
188,021
188,021
188,021
188,021
189,021
189,021
189,021
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,022
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
189,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,023
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
190,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
191,024
192,024
192,024
192,024
192,024
192,024
192,024
192,024
192,024
192,024
192,025
192,025
192,025
192,025
192,025
192,025
193,025
193,025
193,025
193,025
193,025
193,025
193,025
193,025
193,025
193,025
193,025
193,025
193,026
193,026
193,026
193,026
193,026
193,026
193,026
193,026
193,026
193,026
193,026
193,026
193,026
194,026
194,026
194,026
194,026
194,026
194,026
194,026
194,026
194,026
194,026
194,026
194,026
194,027
194,027
194,027
194,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
195,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,027
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,028
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,029
196,030
196,030
196,030
196,030
196,030
196,030
196,030
196,030
196,030
196,030
196,030
196,030
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,031
196,032
196,032
196,032
196,032
196,032
196,033
196,033
196,033
196,033
196,033
196,033
196,033
196,033
196,033
196,033
196,033
196,033
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
196,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
197,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,034
198,035
198,035
198,035
198,035
198,036
198,036
198,036
198,036
198,036
198,036
198,036
199,036
199,037
199,037
199,037
199,037
199,037
199,037
199,038
199,038
199,038
199,038
199,038
199,038
199,039
199,039
199,039
199,039
199,039
199,039
199,040
199,040
199,040
199,040
199,041
199,041
199,041
199,041
199,041
199,041
199,041
199,041
199,042
199,042
199,042
199,042
199,042
199,042
199,043
199,043
199,043
199,043
200,043
200,043
200,044
200,044
200,044
200,044
200,044
200,044
