Wild Fall Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho
269,250,268,255
269,250,268,260
269,250,268,263
269,251,268,263
269,251,268,264
269,251,268,264
269,251,268,265
269,252,268,266
269,254,268,266
269,255,268,266
269,255,269,266
269,255,271,266
269,256,272,267
269,256,272,267
269,256,272,267
269,256,272,267
269,256,272,267
275,256,272,267
275,257,273,267
275,258,273,267
275,258,273,268
275,258,273,268
275,259,273,268
275,259,273,268
275,260,274,268
275,260,274,268
275,260,274,268
275,260,275,268
275,260,275,269
275,260,275,269
275,260,275,269
275,260,275,270
275,260,275,270
275,260,275,271
275,260,275,271
275,260,275,271
275,260,275,271
275,260,275,271
275,260,275,271
275,260,275,271
275,260,275,271
275,260,275,271
275,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,276,272
276,260,277,272
276,260,278,272
276,260,278,272
276,260,278,273
276,260,278,273
276,260,279,273
276,260,279,273
276,261,279,273
276,261,279,273
276,261,279,273
276,261,279,273
276,261,279,273
276,261,279,273
276,261,279,273
276,261,280,273
276,261,281,273
276,261,281,273
276,261,281,273
276,261,281,273
276,261,281,274
276,261,281,274
277,261,281,274
277,261,282,274
277,262,282,275
277,262,282,275
277,262,282,276
277,262,282,276
278,262,282,276
278,262,283,276
278,262,284,276
278,262,284,277
278,262,284,277
278,262,284,277
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,262,284,278
278,263,284,278
278,263,284,278
278,263,284,278
278,263,285,278
278,263,285,278
278,263,285,278
278,263,286,279
279,263,286,279
279,263,286,279
279,263,286,279
279,263,286,279
279,263,286,279
279,263,286,279
279,263,286,279
279,263,286,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,263,287,279
279,264,287,279
279,264,287,279
279,264,287,279
279,264,287,279
279,264,288,279
279,264,288,280
279,264,288,280
279,264,288,280
279,264,288,280
279,264,289,280
279,264,289,280
279,264,289,280
279,264,289,280
279,264,289,280
279,264,289,280
279,264,289,280
279,265,289,280
279,265,289,280
279,265,289,280
280,265,289,280
280,265,289,280
280,265,289,280
280,265,289,280
280,265,289,280
280,265,289,281
280,265,289,281
280,265,289,281
280,265,289,281
280,265,289,281
280,266,289,281
280,266,289,281
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,289,282
280,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,282
281,266,290,284
281,266,290,284
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,290,285
281,266,291,285
281,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
282,266,291,285
283,266,291,285
283,266,291,285
283,266,291,285
283,266,291,285
283,266,291,285
283,266,291,285
283,266,291,285
283,266,291,285
