Wild Summer Steelhead,Wild Winter-Late Steelhead,Hatchery Summer Steelhead,Hatchery Winter Steelhead
002,020,003,002
002,020,006,002
002,020,006,002
002,020,024,002
002,020,024,002
002,020,024,002
014,020,024,002
014,020,024,002
014,020,024,002
014,020,024,002
014,020,024,002
014,020,024,002
014,020,032,002
014,020,038,002
014,020,090,002
014,020,090,002
014,020,096,002
024,020,096,003
024,020,096,003
024,020,113,003
024,020,114,003
024,020,115,003
024,020,117,003
092,022,118,003
092,022,118,003
092,022,118,003
092,022,118,003
098,022,118,003
098,022,118,003
098,034,118,003
098,034,118,003
098,034,118,003
098,039,118,003
113,039,119,003
113,039,119,003
113,039,120,003
113,039,120,003
113,039,120,003
113,039,121,003
113,039,122,003
113,041,123,003
113,041,124,003
113,041,125,003
113,041,125,003
113,041,125,003
124,041,125,003
124,041,125,003
124,041,125,003
124,041,125,003
125,041,125,003
125,041,125,003
125,041,126,003
125,041,126,003
125,041,127,003
133,059,129,003
133,059,129,003
133,059,129,003
133,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,129,003
139,059,130,003
139,059,131,003
139,059,131,003
139,059,131,003
139,065,131,003
158,065,131,003
158,065,131,003
158,086,131,003
158,086,131,003
158,086,131,003
158,089,131,003
158,089,131,003
158,089,131,003
158,089,132,003
158,089,132,003
158,089,133,003
158,089,133,003
158,089,133,003
158,089,133,003
158,090,134,003
158,090,134,003
158,090,134,003
158,090,134,003
158,090,135,003
158,090,135,003
158,090,135,003
158,090,136,003
158,090,136,003
161,090,138,003
161,090,138,003
161,090,138,003
161,090,138,003
161,090,138,003
161,090,138,003
161,090,138,003
161,090,138,003
161,092,138,003
161,092,138,003
161,092,138,003
161,095,138,003
161,095,138,003
161,095,138,003
161,095,138,003
161,095,138,003
161,095,138,003
182,095,138,003
182,095,138,003
182,095,138,003
182,095,138,003
182,095,138,003
182,095,139,003
182,095,139,003
182,095,139,003
182,095,139,003
182,095,139,003
182,095,139,003
182,095,139,003
182,095,139,003
196,095,139,003
196,095,140,003
196,095,142,003
196,095,142,003
196,096,142,003
196,096,142,003
196,096,143,003
196,096,143,003
196,096,143,003
196,096,143,003
196,096,143,003
196,096,143,003
196,096,144,003
196,096,144,003
196,096,145,003
196,096,145,003
196,096,145,003
196,096,145,003
196,096,145,003
196,096,145,003
200,096,145,003
200,096,145,003
200,096,145,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,146,003
200,096,147,003
200,096,147,003
200,096,147,003
209,096,147,003
209,096,147,003
209,096,147,003
209,096,147,003
209,096,149,003
212,096,149,003
212,096,149,003
212,096,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,098,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,099,150,003
212,101,150,003
212,101,150,003
212,101,151,003
212,103,151,003
212,103,151,003
212,103,151,003
212,103,151,003
212,103,151,003
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,004
212,103,151,005
212,103,151,005
212,103,151,005
212,103,151,005
212,103,151,005
212,103,151,005
212,104,151,005
212,104,151,005
212,104,151,005
212,104,151,005
212,104,151,005
212,104,151,005
212,104,151,005
212,104,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,005
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,113,151,006
212,117,151,006
212,117,151,006
212,117,152,006
212,117,152,006
212,117,152,006
212,117,152,006
212,117,152,006
212,117,152,006
212,117,152,006
212,117,152,006
216,117,152,006
216,117,152,006
216,117,152,006
216,117,152,006
216,117,152,006
218,117,152,006
218,117,152,006
218,117,153,006
218,117,153,006
218,117,153,006
218,117,153,006
218,117,154,006
218,117,154,006
218,117,154,006
218,117,154,006
218,118,156,006
218,118,156,006
218,118,156,006
218,118,156,006
218,118,156,007
218,118,156,007
218,118,157,007
228,118,157,007
228,118,157,007
228,118,157,007
228,118,157,007
228,118,157,007
228,118,157,007
228,118,157,007
228,118,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,157,007
229,125,158,007
229,125,158,007
229,125,158,008
229,125,158,008
229,125,158,008
229,125,158,008
255,125,158,008
255,125,158,008
255,125,158,008
255,125,158,008
255,125,158,008
266,125,158,008
266,127,158,008
266,127,158,008
266,127,158,008
266,127,158,008
266,127,158,008
