Wild Winter-Late Steelhead,Hatchery Winter-Late Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho
026,026,295,003,291,003
026,026,295,003,291,003
026,026,295,003,291,003
026,026,295,003,291,003
026,026,295,003,293,003
026,026,295,003,294,003
026,026,295,003,294,003
026,026,295,003,294,003
026,026,295,003,294,004
026,026,295,005,294,004
026,026,295,005,294,004
026,026,295,005,294,004
026,026,295,005,294,004
026,030,295,005,294,004
026,030,295,005,294,004
026,030,295,005,294,005
026,030,295,005,294,005
026,030,295,005,294,005
026,030,295,005,294,005
026,030,295,005,294,005
026,030,295,005,294,005
026,030,295,005,294,005
031,030,295,005,294,005
031,030,295,005,294,005
031,030,295,005,294,005
031,030,296,005,294,005
031,031,296,005,294,005
031,031,296,005,294,005
031,031,296,005,294,005
032,031,296,005,294,005
032,031,296,005,294,005
032,031,296,005,294,005
032,031,296,005,295,005
032,032,296,005,295,005
032,032,296,005,295,005
032,032,296,005,295,005
032,032,296,005,295,005
032,032,296,005,295,005
032,032,296,005,295,005
036,032,296,005,295,005
036,032,296,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,032,298,005,295,005
036,036,298,005,295,005
036,036,298,005,295,005
036,036,298,005,295,005
036,036,298,005,295,005
036,036,301,006,295,005
038,036,301,006,295,005
038,036,301,006,295,005
038,036,301,006,295,005
039,036,301,006,295,005
039,036,301,006,295,006
039,036,301,008,296,006
039,036,301,008,296,006
039,036,301,008,296,006
039,036,301,008,296,006
039,036,301,008,296,006
039,036,301,008,296,006
039,036,301,008,296,006
043,036,301,008,296,006
043,036,302,008,298,006
043,036,302,008,298,006
043,037,302,008,298,006
043,037,302,008,298,006
043,037,302,008,298,006
043,037,302,008,298,006
043,037,302,008,298,006
043,038,302,008,298,006
043,038,302,008,298,006
043,038,302,008,298,006
043,038,304,008,298,006
043,039,304,008,298,006
043,039,304,008,298,006
043,039,304,008,298,006
043,039,304,008,298,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,299,006
043,039,304,008,300,006
043,040,304,008,300,006
043,041,304,008,300,006
043,041,304,008,300,006
043,041,304,008,300,006
043,041,304,008,300,006
043,041,304,008,300,006
043,043,304,008,300,006
043,043,304,008,300,006
043,043,304,008,300,006
043,043,304,008,300,006
043,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,300,006
044,043,305,008,301,006
044,043,305,008,301,006
044,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,301,006
045,043,305,008,302,006
045,043,305,008,302,006
045,043,305,008,302,006
045,043,305,009,302,006
045,043,305,009,302,006
045,043,305,009,302,006
045,043,305,009,302,006
046,043,305,009,302,006
046,043,305,009,302,006
046,043,305,009,302,006
046,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,043,305,009,302,006
048,044,305,009,302,006
048,044,305,009,302,006
048,044,305,009,302,006
048,044,305,009,302,006
048,044,305,009,302,006
048,044,305,009,302,006
049,044,305,009,302,006
049,044,305,009,302,006
049,044,305,009,302,006
049,044,305,009,302,006
049,044,305,009,302,006
049,044,305,009,302,006
049,044,305,009,302,006
050,044,305,009,302,006
050,045,305,009,302,006
050,045,305,009,302,006
050,045,305,009,302,006
050,045,305,009,302,006
050,045,305,009,302,006
052,045,307,009,302,006
052,045,307,009,302,006
052,045,307,009,302,006
052,045,307,009,302,006
052,045,307,009,302,006
052,045,307,009,302,006
052,045,307,009,302,006
052,046,307,009,302,006
052,046,307,009,302,006
052,048,307,009,303,006
052,048,307,009,303,006
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
052,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
053,048,307,009,303,008
055,048,307,009,303,008
055,048,307,009,303,008
055,048,307,009,303,008
056,048,307,009,303,008
056,049,307,009,303,008
056,049,307,009,303,008
056,049,307,009,303,008
056,049,307,009,303,008
056,049,307,009,303,008
056,049,307,009,303,008
057,049,307,009,303,008
057,049,307,009,303,008
057,049,307,009,303,008
057,049,307,009,303,008
057,049,307,009,303,008
057,049,307,009,303,008
057,050,307,009,303,008
057,050,307,009,303,008
057,050,307,009,303,008
057,050,307,009,303,008
057,050,307,009,303,008
057,050,307,009,303,008
057,052,307,009,303,008
057,052,307,009,303,008
057,052,307,009,303,008
057,052,307,009,304,008
057,052,307,009,304,008
057,052,307,009,304,008
057,052,307,009,304,008
059,052,307,009,304,008
061,052,307,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
061,052,308,009,304,009
062,052,308,009,304,009
062,052,308,009,304,009
062,052,308,009,304,009
062,052,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,053,308,009,304,009
062,054,308,009,304,009
062,054,308,009,304,009
062,054,308,009,304,009
062,054,308,009,304,009
062,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
063,054,308,009,304,009
064,054,308,009,304,009
064,054,308,009,304,009
064,054,308,009,304,009
064,055,308,009,304,009
064,055,308,009,305,009
064,055,308,009,305,009
064,055,308,009,305,009
064,055,309,009,305,009
064,055,309,009,305,009
064,055,309,009,305,009
064,055,309,009,305,009
064,055,309,009,305,009
065,055,309,009,305,009
065,055,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
065,056,309,009,305,009
067,056,309,009,305,009
067,057,309,009,305,009
067,057,309,009,305,009
067,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,057,309,009,305,009
069,058,309,009,305,009
069,058,310,009,305,009
069,058,310,009,305,009
069,058,310,009,305,009
069,059,310,009,305,009
069,059,310,009,305,009
069,059,310,009,305,009
069,059,310,009,305,009
069,059,310,009,305,009
069,059,310,009,305,009
069,060,310,009,305,009
069,060,310,009,305,009
069,060,310,009,305,009
069,060,310,009,305,009
069,060,310,009,305,009
069,060,310,009,305,009
069,060,310,009,307,009
069,061,310,009,307,009
069,061,310,009,307,009
069,061,310,009,307,009
069,061,310,009,307,009
070,061,310,009,307,009
070,061,310,009,307,009
070,061,310,009,307,009
070,061,310,009,307,009
070,061,310,009,307,009
071,061,310,009,307,009
071,061,310,009,307,009
071,061,310,009,307,009
071,061,310,010,307,009
071,062,310,010,307,009
071,062,310,010,307,009
071,062,310,010,307,009
071,062,310,010,307,009
071,062,310,010,307,009
071,062,310,010,307,009
071,062,310,010,307,009
071,062,310,011,307,009
071,062,310,011,307,009
071,062,310,011,307,009
071,062,310,011,307,009
071,062,310,011,307,009
071,062,310,011,307,009
071,062,310,011,307,009
071,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,310,011,307,009
072,062,311,011,307,009
072,063,311,011,307,009
072,063,311,011,307,009
072,063,311,011,307,009
072,063,311,011,307,009
072,063,311,011,307,009
072,063,311,011,307,009
073,063,311,011,307,009
073,063,311,011,307,009
073,063,311,011,307,009
073,063,311,011,307,009
073,063,311,011,307,009
073,063,311,011,307,009
073,064,311,011,307,009
073,064,311,011,307,009
073,064,311,011,307,009
073,064,311,011,307,009
073,064,311,011,307,010
073,064,311,011,307,010
073,064,311,011,307,010
073,064,311,011,307,010
073,064,311,012,307,010
073,064,311,012,307,010
073,064,311,012,307,010
073,064,311,012,307,010
074,064,311,012,307,011
074,064,311,012,307,011
074,064,311,012,307,011
075,064,311,012,307,011
075,064,311,012,307,011
075,064,311,012,307,011
076,064,311,012,307,011
076,064,311,012,307,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,064,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,011
076,065,311,012,308,012
076,066,311,012,308,012
076,066,311,012,308,012
078,066,311,012,308,012
078,066,312,012,308,012
078,066,312,012,308,012
078,066,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,312,012,308,012
078,067,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,012
078,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,308,013
079,069,314,012,309,013
079,069,314,012,309,013
079,069,314,012,309,013
079,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
080,069,314,012,309,013
081,069,314,012,309,013
081,069,314,012,309,013
081,069,314,012,309,013
081,069,314,012,309,013
081,069,314,014,309,013
081,069,314,014,309,013
081,069,314,014,309,013
081,069,314,014,309,013
081,069,314,014,309,013
081,069,314,014,309,013
082,069,314,014,309,013
082,069,314,014,309,013
082,069,314,014,309,013
082,069,314,014,309,013
082,069,314,014,309,013
082,069,314,014,309,013
082,069,314,014,309,013
082,070,314,014,309,013
082,070,314,014,309,013
082,070,314,014,309,014
082,070,314,014,309,014
082,070,314,014,309,014
082,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,314,014,309,014
083,070,315,014,309,014
083,070,315,014,309,014
083,070,315,014,309,014
083,071,315,014,309,014
083,071,315,014,309,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
083,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,315,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,071,316,014,310,014
084,072,316,014,310,014
084,072,316,014,310,014
