Wild Summer Chinook,Hatchery Spring Chinook,Hatchery Summer Chinook,Wild Winter Steelhead,Hatchery Summer Steelhead,Wild Coho,Hatchery Summer Coho,Hatchery Coho
155,095,105,001,006,001,199,003
155,099,105,001,006,001,202,003
155,100,105,001,006,001,202,003
155,100,111,001,006,001,202,003
162,104,113,001,006,001,203,003
162,104,119,001,006,001,204,003
162,105,119,001,006,001,204,003
162,105,119,001,006,301,204,003
162,105,119,001,006,301,204,003
162,105,119,001,006,301,205,003
162,105,119,002,006,301,206,003
162,105,120,002,006,301,206,003
162,108,120,002,006,301,207,003
162,108,121,002,006,301,208,003
162,114,123,002,006,301,209,003
162,114,123,002,006,301,209,003
162,114,123,002,006,301,209,003
162,114,124,002,006,301,209,003
162,114,126,003,006,301,209,003
162,115,126,003,006,301,210,003
162,115,126,003,006,301,210,003
162,118,127,003,006,301,210,003
162,118,127,003,006,301,210,003
162,118,127,003,006,301,211,003
162,118,127,003,006,301,211,003
176,118,127,003,006,301,211,003
176,120,127,003,006,301,211,003
176,120,127,003,006,301,211,003
177,120,127,003,006,301,211,003
177,120,127,003,006,301,211,003
177,120,127,003,006,301,211,003
177,122,127,003,006,301,212,003
200,122,127,003,006,307,212,003
200,122,127,003,006,307,212,003
200,122,127,003,006,307,213,003
200,123,127,003,006,307,213,003
200,123,127,003,006,307,213,003
200,123,127,003,006,307,213,003
200,124,127,003,006,307,213,003
200,124,130,003,006,310,214,003
200,124,130,003,006,310,214,003
200,124,130,003,006,310,214,003
200,124,130,003,006,310,214,003
200,124,130,003,006,310,214,003
200,125,130,003,006,310,214,003
200,126,130,004,006,310,215,003
205,126,130,004,006,310,215,003
205,126,130,004,006,310,215,003
205,127,130,004,006,310,216,003
205,127,131,004,006,310,216,003
205,127,131,004,006,310,216,003
205,127,131,004,006,313,216,003
205,127,131,004,006,313,216,003
205,127,131,004,006,313,216,003
205,127,131,004,006,314,216,003
205,127,131,004,006,314,216,003
205,127,132,004,006,314,216,003
205,127,132,004,006,314,216,003
205,127,132,004,006,314,216,003
205,128,132,004,006,314,216,003
205,129,132,005,006,314,216,003
205,129,132,005,006,314,216,003
205,130,132,005,006,314,216,003
205,130,133,005,006,314,217,003
207,130,133,005,006,314,217,003
207,130,133,005,006,314,217,003
207,130,133,005,006,314,217,003
207,130,134,005,006,314,217,003
207,131,134,005,006,314,217,003
207,131,134,005,006,314,217,003
207,131,134,005,006,314,217,003
207,131,134,005,006,314,218,003
207,131,134,005,006,314,218,003
207,131,134,005,006,314,218,003
207,131,134,005,006,314,218,003
207,131,134,005,006,314,218,003
207,131,134,005,006,314,218,003
207,131,135,005,006,314,218,003
207,131,135,006,006,314,218,003
207,131,135,006,006,318,218,003
207,131,135,006,006,318,218,003
207,131,135,006,006,318,218,003
207,131,135,006,006,318,218,003
207,131,135,006,006,318,218,003
207,131,136,006,006,318,218,003
207,131,137,006,006,318,218,003
207,133,137,006,006,318,218,003
207,133,137,006,006,318,218,003
207,133,137,006,006,318,218,003
207,133,137,006,006,318,218,003
207,133,137,006,006,318,218,003
207,133,137,006,006,318,218,003
207,134,137,007,006,318,218,003
207,134,137,007,006,318,219,003
207,134,137,007,006,318,219,003
207,134,137,007,006,318,219,003
207,135,138,007,006,318,219,003
207,135,138,007,006,318,219,003
207,135,138,007,006,318,219,003
207,135,138,008,006,318,219,003
207,135,139,008,137,318,219,003
207,135,139,008,153,318,219,003
207,135,139,008,161,318,219,003
207,135,139,008,161,318,219,003
207,136,139,008,171,318,219,003
207,136,139,008,176,318,220,004
207,136,139,008,177,318,220,013
207,136,139,008,178,318,220,271
207,136,139,008,178,318,220,271
207,136,139,008,178,318,220,275
211,136,141,008,178,318,220,285
211,136,141,008,183,318,220,285
211,136,141,008,183,318,220,285
211,136,141,008,183,318,220,285
211,136,141,008,183,318,220,285
211,136,141,008,183,318,221,286
211,136,141,008,184,318,221,286
211,137,141,008,184,318,221,287
211,137,141,008,184,318,221,291
211,137,141,008,186,318,221,291
211,137,141,008,186,318,221,291
211,137,141,008,186,318,221,291
211,137,141,008,186,318,221,291
211,137,141,008,188,318,221,291
211,137,141,008,189,318,221,291
211,137,141,008,189,318,221,291
211,137,141,008,189,318,221,291
211,137,141,008,189,318,222,291
211,137,141,008,189,318,222,293
211,137,141,008,189,318,222,293
211,137,141,008,189,318,222,293
211,137,142,008,189,318,222,293
211,137,142,008,189,318,222,293
211,137,143,009,189,318,223,294
211,137,143,009,189,318,223,294
211,137,143,009,189,318,223,294
211,137,143,009,190,318,223,294
211,137,143,009,190,318,223,294
211,137,144,009,190,318,223,294
211,137,144,009,191,318,223,294
211,137,144,009,191,318,223,294
211,138,145,009,191,318,223,294
211,138,145,009,191,318,223,294
211,138,145,009,191,318,223,294
211,138,145,009,191,318,223,294
211,138,145,009,191,318,223,294
211,138,145,009,191,318,223,294
211,138,146,009,191,318,223,294
211,138,146,009,191,318,223,294
211,138,146,009,191,318,223,294
211,138,146,009,192,318,223,294
211,138,146,009,192,318,223,294
211,138,146,009,192,318,223,294
211,138,146,009,192,318,223,294
211,138,146,009,192,318,223,294
211,138,146,009,194,318,223,296
211,138,147,009,194,318,223,296
211,138,147,009,194,318,223,296
211,138,147,009,194,318,223,296
211,138,147,009,194,318,223,296
211,138,147,009,195,318,223,296
211,138,147,009,195,318,223,296
211,138,147,009,195,318,224,296
211,138,147,009,195,318,224,296
211,139,147,009,196,319,224,296
211,139,147,009,196,319,224,296
211,139,147,009,197,319,225,296
211,140,148,009,197,319,225,296
211,140,148,009,197,319,225,296
211,140,148,009,197,319,225,296
211,140,148,009,197,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,140,148,009,198,319,225,296
211,141,148,009,198,319,225,296
211,141,148,009,198,319,225,296
211,141,148,010,198,319,225,296
211,141,148,010,198,319,225,299
211,141,148,010,198,319,225,299
211,141,148,010,198,319,225,299
211,142,148,010,198,319,226,300
211,142,148,010,198,319,226,300
211,142,150,010,198,319,226,301
211,142,150,010,198,319,226,301
211,142,151,010,199,319,226,301
211,142,151,010,199,319,226,301
211,142,151,010,199,320,226,301
211,142,151,010,199,320,226,301
211,142,152,010,199,321,226,301
211,142,152,010,199,321,227,301
211,142,152,010,199,321,227,301
211,142,152,010,199,321,227,301
211,142,152,010,199,321,227,301
211,142,152,010,199,321,227,302
211,142,152,010,200,321,227,302
211,142,152,010,200,321,227,302
211,142,152,010,200,321,227,302
211,142,152,010,201,321,227,302
211,142,152,010,201,321,227,302
211,142,152,010,201,321,227,302
211,142,154,010,201,321,227,304
211,143,154,010,201,321,227,304
211,143,154,010,201,321,227,304
213,143,154,010,201,321,227,304
213,143,154,010,202,321,227,304
213,143,154,010,202,321,227,304
213,143,154,010,202,321,227,304
213,143,154,010,202,321,227,305
213,143,154,010,202,321,227,305
213,143,155,010,202,321,227,305
213,143,155,010,202,321,227,305
213,143,155,010,202,321,227,305
213,143,155,010,202,321,227,305
213,144,155,010,202,321,227,305
213,144,155,010,202,321,227,305
213,144,155,010,202,321,228,305
213,145,155,010,202,321,228,305
213,145,155,010,202,321,228,305
213,145,155,010,202,321,228,305
213,145,155,010,202,321,228,305
213,145,155,010,202,321,228,305
213,145,155,011,203,321,228,305
213,145,155,011,203,321,228,305
213,145,155,011,203,321,228,305
213,145,155,011,204,321,228,305
213,145,155,011,204,321,228,305
213,145,156,011,204,321,228,306
213,145,156,011,204,321,229,306
213,145,156,011,204,321,229,306
213,145,156,011,204,321,229,306
213,146,156,011,204,321,229,306
213,146,156,011,204,321,229,306
213,146,156,011,205,321,229,306
213,146,157,011,205,321,229,306
214,146,157,011,205,321,229,306
214,146,157,011,205,321,229,307
214,146,157,011,205,321,229,307
214,146,157,011,205,321,229,307
214,146,157,011,205,321,229,307
214,146,157,011,206,321,229,307
214,146,157,011,206,321,229,307
214,146,158,012,206,321,229,307
214,146,158,012,206,321,229,307
214,146,158,012,206,321,229,307
214,146,158,012,206,321,230,307
214,146,158,012,206,321,230,307
214,146,159,012,206,321,230,307
214,146,159,012,206,321,230,307
214,146,159,012,206,321,230,307
214,148,159,012,206,321,230,307
214,149,159,012,206,321,230,307
214,149,160,012,207,321,230,307
219,149,160,012,207,321,230,307
219,149,160,012,207,321,231,307
219,149,160,012,207,321,231,307
219,149,160,012,207,321,231,307
219,149,160,012,207,321,231,307
219,149,160,012,207,321,231,307
219,149,160,012,207,321,231,307
219,149,160,012,208,321,231,307
219,149,160,012,208,321,231,307
219,149,160,012,208,321,231,307
219,149,160,012,208,321,231,307
219,149,160,012,209,321,231,307
219,150,160,012,209,321,231,307
219,150,160,012,209,322,231,307
221,150,160,012,209,322,231,307
221,150,160,012,209,322,231,307
221,150,160,012,209,322,231,307
221,150,160,012,209,322,231,307
221,150,160,012,209,322,231,308
221,150,160,012,209,322,231,308
221,150,160,012,209,322,231,308
221,150,161,012,209,322,231,308
221,150,161,012,209,322,231,308
221,150,161,012,210,322,231,308
221,150,161,012,210,322,231,308
221,150,161,012,211,322,231,308
222,150,161,012,211,322,231,308
222,150,161,012,211,322,231,308
222,150,161,012,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,231,308
222,150,161,013,212,322,232,308
222,150,161,013,212,322,232,308
222,150,162,013,212,322,232,308
222,150,162,013,213,322,232,308
222,151,162,013,213,322,232,308
222,151,163,013,213,322,232,308
222,151,163,013,213,322,232,308
222,152,163,013,213,322,232,308
222,152,163,013,213,322,232,308
222,152,165,013,213,322,232,308
222,152,165,013,213,322,232,308
222,152,165,013,215,322,232,308
222,152,165,013,215,322,232,308
222,152,165,013,215,322,232,308
222,152,165,013,215,322,232,308
222,152,165,013,215,322,232,308
222,152,165,013,215,322,232,308
223,152,165,013,215,322,232,308
223,152,165,013,215,322,232,308
223,152,165,013,215,322,232,308
223,152,165,013,215,322,232,308
223,152,165,013,215,322,232,308
223,152,165,013,215,322,232,308
224,152,167,013,215,322,232,308
224,152,167,013,215,322,232,308
224,152,167,013,215,322,233,308
224,152,167,013,215,324,233,308
224,152,167,013,216,324,233,308
224,152,167,013,216,324,234,308
224,152,167,013,216,324,234,309
224,152,167,013,216,324,234,309
224,152,167,013,217,324,234,310
224,152,167,013,218,324,234,310
224,152,167,013,218,324,234,310
224,152,167,013,219,324,234,310
224,152,167,013,219,324,234,310
224,152,167,013,219,324,234,310
224,152,167,013,219,324,234,310
224,152,167,013,219,324,234,310
224,152,167,013,219,324,234,310
225,152,167,013,219,324,234,310
225,154,167,013,219,324,234,310
225,154,167,013,219,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
225,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,220,324,234,310
226,154,167,013,221,324,234,310
226,154,167,013,221,324,234,310
226,154,167,013,221,324,234,310
227,154,167,013,221,324,234,310
227,155,167,013,221,324,234,310
227,155,167,013,221,324,234,310
227,155,167,013,221,324,234,310
227,155,167,014,221,324,234,311
227,155,167,014,222,324,234,311
227,155,168,014,223,324,234,311
227,156,168,014,223,324,235,311
227,156,168,014,223,324,235,311
227,156,168,014,225,324,235,311
227,156,168,014,226,324,235,311
227,157,168,014,226,324,235,311
227,157,168,014,226,324,235,311
227,157,168,014,226,324,235,311
227,157,168,014,227,324,235,311
227,157,168,014,227,324,235,311
227,157,168,014,227,324,235,312
227,158,168,014,227,328,235,312
227,158,168,014,227,328,235,312
227,158,168,014,227,328,235,312
227,158,168,014,227,328,235,312
227,158,169,014,228,328,235,312
227,158,169,014,228,328,235,312
227,158,169,014,228,328,235,312
233,158,169,014,228,328,235,312
233,158,169,014,229,328,235,312
233,158,169,014,229,328,235,312
233,158,169,014,229,328,235,312
233,158,169,014,230,328,236,312
233,158,169,014,231,328,236,312
233,158,169,014,231,329,236,313
233,158,169,014,231,329,236,313
233,158,170,014,231,329,236,313
233,158,171,014,232,329,236,313
233,158,171,014,232,329,236,313
233,158,171,014,232,329,236,313
235,158,172,014,234,329,236,313
235,158,172,014,234,329,236,313
235,158,172,014,235,329,236,313
235,158,172,014,235,329,236,313
235,158,172,014,235,329,236,313
235,158,174,014,235,329,236,313
235,158,174,014,235,329,237,313
235,158,174,014,235,329,237,313
235,158,174,015,235,329,237,313
235,158,174,015,235,329,237,313
235,158,175,015,236,329,237,313
235,158,175,015,236,329,237,313
235,158,175,015,236,329,237,313
235,158,175,015,236,329,237,313
235,159,175,015,236,329,237,313
235,159,175,015,236,329,237,313
235,159,175,015,236,329,237,313
235,159,175,015,236,329,237,314
235,159,175,015,236,329,237,314
235,159,175,015,237,329,237,314
235,159,175,015,237,329,237,314
235,159,175,015,237,329,237,314
235,159,176,015,237,329,237,314
235,159,176,015,237,329,237,314
235,159,176,015,237,329,237,314
235,159,176,015,237,329,237,314
235,159,176,015,238,329,237,314
235,159,176,015,238,329,237,314
235,159,176,015,238,329,237,314
235,159,176,015,238,329,237,314
235,159,176,015,238,329,237,314
235,159,176,015,238,329,237,314
235,159,176,015,238,329,237,314
235,159,177,015,238,329,237,314
235,159,177,015,238,329,237,314
235,159,177,015,238,329,237,314
235,159,177,015,238,329,237,314
235,160,177,015,238,329,237,314
235,160,178,015,238,329,237,314
235,160,178,015,238,329,237,314
235,160,178,015,239,329,237,314
235,160,178,015,239,329,237,314
235,160,178,015,241,329,237,314
235,160,178,015,241,329,237,314
235,160,178,015,241,329,237,314
235,160,178,015,241,329,237,314
235,160,178,015,241,329,237,314
235,160,178,015,241,329,237,314
235,160,178,015,241,329,237,314
235,161,178,015,241,329,237,314
235,161,179,015,242,329,237,314
235,161,179,015,242,329,237,314
235,161,179,015,242,329,237,314
235,162,179,015,242,329,237,314
235,162,179,015,243,329,237,314
235,162,179,015,243,329,237,314
235,162,179,015,243,329,238,314
235,162,180,015,243,329,238,314
235,162,180,015,243,329,238,314
235,162,180,015,243,329,238,314
235,162,180,015,243,329,238,314
235,162,182,015,244,329,238,314
235,162,182,015,245,329,238,314
235,162,182,015,245,329,238,314
235,162,182,015,245,329,238,314
235,162,182,015,245,329,238,315
235,162,182,015,246,329,238,315
235,162,182,015,247,329,238,315
235,162,182,015,247,329,238,317
236,162,182,015,247,329,238,317
236,162,183,015,247,329,238,317
236,162,183,015,247,329,238,317
236,162,183,015,247,329,238,317
236,162,183,015,247,329,238,317
236,162,183,015,247,329,238,317
236,162,183,015,247,329,238,317
236,162,183,016,247,329,238,317
236,162,183,016,247,329,238,317
236,162,184,016,247,330,238,317
236,162,184,016,247,330,238,317
236,162,184,016,247,330,238,317
236,162,184,016,247,330,238,317
236,162,185,016,247,330,238,317
236,162,185,016,247,330,239,317
236,162,185,016,247,330,239,317
236,162,186,016,247,330,239,317
236,162,186,016,247,330,239,317
236,162,186,016,247,330,239,317
236,162,186,016,248,330,239,317
236,162,186,016,248,330,239,317
236,162,187,016,248,330,239,317
236,162,187,016,248,330,239,317
238,162,188,016,248,330,239,317
238,162,188,016,248,330,239,317
238,162,188,016,248,330,239,318
238,162,188,016,249,330,239,318
239,162,188,016,249,330,239,318
