Wild Fall Chinook,Hatchery Fall Chinook,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Summer Steelhead,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Wild Chum
205,243,006,042,002,002,259,255,002
205,246,006,042,002,002,259,259,002
218,246,006,042,005,002,259,259,002
247,250,006,042,005,002,259,259,002
247,251,006,042,005,002,259,259,002
252,251,006,042,005,002,259,259,002
252,252,006,045,005,002,259,259,002
252,252,006,045,005,002,259,259,002
252,252,006,045,005,002,259,259,002
252,252,010,045,013,002,263,259,002
252,252,010,045,013,002,263,259,002
252,252,010,045,013,002,263,259,002
252,252,010,045,013,002,263,259,002
252,252,010,045,013,002,263,259,002
252,252,010,045,013,002,263,259,003
252,252,010,045,013,002,263,259,003
252,252,028,045,013,002,263,263,003
252,252,028,045,013,002,263,263,003
252,252,028,045,013,002,263,263,003
252,252,031,045,027,002,263,263,003
252,252,031,048,027,002,263,263,003
252,252,031,048,027,002,263,263,003
252,252,031,048,027,002,263,263,003
252,252,031,048,027,002,263,263,003
252,252,031,048,027,002,263,269,003
252,252,031,048,027,002,263,269,003
252,252,031,048,027,002,263,269,003
252,252,031,048,028,002,263,269,003
252,252,031,048,028,002,263,269,003
254,252,031,048,029,002,263,269,003
254,252,031,048,042,002,263,269,003
254,252,031,048,136,002,263,270,003
254,252,031,048,136,002,263,270,003
254,252,031,048,137,002,263,270,003
254,252,031,048,138,002,263,270,003
254,252,031,048,148,002,263,272,003
254,252,031,048,149,002,263,272,003
254,252,031,049,150,003,263,272,003
255,252,031,049,150,003,263,272,003
255,252,031,049,151,003,263,272,003
255,252,031,049,151,003,263,272,003
255,252,031,049,152,003,263,272,003
255,252,031,049,152,003,263,272,003
255,252,031,049,152,003,263,272,003
255,252,031,049,152,003,263,272,003
255,252,031,049,155,003,263,272,003
255,252,031,051,155,003,263,272,003
255,252,031,051,155,003,263,272,003
255,252,031,051,156,003,263,272,003
255,252,031,051,157,003,263,272,003
255,253,031,051,157,003,263,272,003
255,254,031,051,157,003,263,272,003
255,254,031,051,158,003,263,272,003
255,254,031,051,159,003,263,272,003
255,254,031,051,161,003,263,272,003
255,254,031,051,161,003,263,272,003
256,254,031,051,162,003,263,272,003
256,255,031,051,163,003,263,272,003
256,255,031,051,163,003,263,272,003
256,255,031,051,163,003,263,272,003
256,255,031,051,163,003,263,272,003
256,255,031,051,163,003,263,272,003
256,255,031,051,163,003,263,272,003
256,255,031,051,163,003,263,272,003
256,256,031,051,163,003,263,272,003
256,256,031,051,163,003,263,272,003
256,256,031,051,163,003,263,272,003
256,256,031,051,163,003,263,272,003
256,256,031,051,164,003,263,273,003
256,257,031,051,164,003,263,273,003
256,257,031,051,164,003,263,273,003
256,258,031,051,164,003,263,273,003
256,258,031,051,165,003,263,273,003
256,258,031,052,165,004,263,273,003
256,258,031,052,166,004,263,273,003
256,258,031,052,167,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,052,168,004,263,273,003
257,258,031,055,169,004,263,273,003
257,258,040,055,169,004,263,273,003
257,258,040,055,169,004,263,273,003
257,258,040,055,170,004,263,273,003
257,258,040,055,171,004,263,273,003
257,258,040,055,171,004,263,273,003
257,258,040,055,171,004,263,273,005
257,258,040,055,171,004,263,273,005
257,258,040,055,171,004,263,273,005
257,258,040,055,171,004,263,273,005
257,258,040,055,171,004,263,274,005
257,258,045,055,171,004,263,274,005
257,258,045,055,171,004,263,274,005
258,258,045,055,172,004,263,275,005
258,258,046,055,172,004,263,275,005
258,258,046,055,172,004,263,275,005
258,258,046,055,172,004,263,275,005
258,258,046,055,173,004,263,275,006
258,258,046,055,175,004,263,275,006
258,258,046,055,175,004,263,275,006
258,258,046,055,175,004,263,275,006
258,258,046,055,175,004,263,275,006
258,258,046,055,175,004,263,275,006
258,258,046,055,175,004,263,275,006
258,258,046,055,175,004,272,275,006
258,259,046,055,175,004,272,275,006
258,259,046,055,175,004,273,275,007
258,259,046,055,175,004,273,275,007
258,259,046,055,175,004,273,275,007
258,259,046,055,176,004,273,275,008
258,259,046,055,176,004,273,275,008
258,259,046,055,176,005,273,275,008
258,259,046,056,177,005,273,276,008
258,259,047,056,177,005,273,276,008
258,259,047,056,177,005,273,276,008
258,259,047,056,177,005,273,276,008
258,259,047,056,178,005,273,276,008
258,259,047,056,178,005,274,276,008
258,259,047,056,178,005,274,276,008
258,259,047,056,178,005,275,276,012
258,259,047,056,178,005,275,276,012
258,259,047,056,178,005,275,276,012
258,259,047,056,178,005,275,276,012
258,259,047,056,178,005,275,276,012
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,276,017
258,259,047,056,178,005,275,277,017
258,259,047,056,178,005,276,277,017
