Wild Summer Chinook,Wild Fall Chinook,Hatchery Summer Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Sockeye,Unknown Sockeye,Wild Coho,Wild Chum,Wild Pink,Wild Odd Year Pink
182,244,182,182,182,189,188,239,207,224,215
182,244,182,182,182,189,188,243,207,224,218
182,244,182,182,182,189,190,244,210,224,218
182,245,182,182,182,189,190,245,210,225,219
183,246,182,182,182,189,190,245,231,225,219
188,246,182,182,182,189,190,245,231,225,219
188,246,183,182,182,189,190,246,231,225,219
191,246,187,182,182,189,190,246,231,225,219
191,246,187,182,182,189,191,246,231,225,220
192,246,188,182,182,189,191,247,252,225,223
193,246,188,182,182,189,191,247,252,225,223
195,246,188,183,182,189,191,248,285,225,224
201,246,189,183,182,191,191,248,285,225,224
201,247,189,183,182,191,192,249,285,225,225
201,247,189,183,182,191,192,250,285,225,225
201,247,189,183,182,191,192,251,286,225,225
201,248,190,183,182,191,192,251,286,225,225
201,251,190,183,182,191,192,251,286,225,226
201,251,190,183,182,191,193,251,286,225,226
201,251,191,183,182,191,194,251,289,225,227
201,251,192,183,182,191,194,251,289,225,233
201,251,192,186,182,191,194,252,289,225,234
201,251,192,187,183,191,194,252,289,225,234
201,251,195,187,183,191,194,252,289,225,234
201,251,200,187,183,191,195,252,289,225,234
201,251,200,187,183,191,195,252,289,225,234
201,252,200,187,183,191,197,253,289,225,234
201,252,200,187,183,191,197,253,289,225,234
201,252,200,187,183,191,198,253,289,225,234
201,252,200,187,183,191,198,254,289,225,235
201,252,200,187,183,191,198,254,289,226,237
201,252,200,188,183,191,198,254,289,227,237
201,252,200,188,183,191,198,254,289,229,242
201,252,200,188,183,191,198,254,289,230,242
201,252,200,188,183,191,198,255,289,230,242
201,252,200,188,183,191,198,255,289,230,242
201,252,200,189,183,191,198,255,289,231,242
201,252,200,189,183,198,198,256,289,231,242
201,252,200,190,183,198,198,256,289,231,243
201,252,200,190,183,201,199,256,289,231,243
201,252,200,190,183,201,199,256,289,231,243
201,252,200,190,183,201,199,256,289,232,243
201,252,200,190,183,201,200,257,289,232,243
201,252,200,190,183,201,200,257,289,232,243
