Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Summer Steelhead,Hatchery Winter Steelhead
251,254,001,001
251,254,001,001
251,254,001,001
251,255,001,001
251,255,001,001
251,255,001,001
251,256,001,001
251,256,001,001
251,256,002,001
251,256,002,001
251,256,002,001
256,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,257,002,001
257,259,002,001
257,259,002,001
258,259,002,001
258,259,002,001
258,260,002,001
259,260,002,001
259,260,002,001
259,260,002,001
259,260,002,001
259,260,002,001
259,260,003,001
259,260,003,001
259,260,003,001
260,260,003,001
260,260,003,002
260,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,003,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,260,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,002
261,261,004,003
261,261,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,004,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,262,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,003
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
261,263,005,004
262,263,005,004
262,263,005,004
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,263,005,005
262,264,005,005
262,264,005,005
262,264,005,005
262,264,005,005
262,264,005,005
262,264,005,005
262,264,005,005
262,264,005,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,005
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,006,006
262,264,007,006
262,264,007,006
262,264,007,006
262,264,007,006
262,264,007,006
262,264,007,006
262,264,007,006
262,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
263,264,007,006
