Wild Spring Chinook,Hatchery Spring Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead
126,121,001,001
127,121,001,001
129,125,001,006
129,129,004,006
129,130,006,006
129,131,006,006
130,132,006,006
130,132,008,012
130,132,008,012
130,133,010,013
131,133,010,013
131,133,010,013
131,134,010,014
132,134,010,014
132,135,011,020
133,135,011,020
133,135,011,031
133,135,011,031
133,135,011,031
134,135,011,031
134,135,011,031
135,135,012,031
135,136,012,031
135,136,012,031
135,136,013,031
135,136,013,031
135,136,013,031
135,137,013,031
135,137,013,031
136,137,013,031
136,137,014,031
136,137,014,031
136,137,014,031
136,137,014,031
136,137,014,031
136,137,014,031
136,137,014,031
137,137,016,031
137,138,016,031
137,138,016,031
137,138,016,031
137,138,016,033
137,138,016,036
137,138,020,036
137,138,020,037
137,138,020,037
137,138,020,039
137,138,020,039
137,138,020,040
138,138,020,040
138,138,021,040
138,138,021,043
138,138,022,043
138,138,022,044
138,138,024,045
138,138,030,047
138,139,030,047
138,139,031,049
138,139,031,053
138,139,031,053
138,139,031,054
138,139,031,054
138,139,031,054
138,139,031,054
138,139,031,054
138,139,031,054
138,139,031,054
138,139,031,054
138,139,031,054
138,140,031,054
138,140,031,054
139,140,031,054
139,140,031,054
139,140,031,054
139,140,031,054
139,140,031,054
139,140,031,054
139,140,031,054
139,140,033,054
139,140,036,054
139,140,037,054
139,140,038,054
139,140,039,054
139,140,039,054
139,140,040,054
139,140,040,054
139,140,040,055
139,140,040,055
139,140,040,055
139,140,040,055
139,140,040,055
139,140,040,055
140,140,040,055
140,140,040,056
140,140,040,057
140,140,040,057
140,140,041,057
140,140,041,058
140,140,041,058
140,141,042,058
140,141,042,058
140,141,043,059
140,141,043,059
140,141,043,059
140,141,043,059
140,141,044,059
140,141,045,059
140,141,045,059
140,141,045,059
140,141,046,059
140,141,046,059
140,141,046,059
140,141,047,059
140,141,047,059
140,141,047,059
140,141,047,059
140,141,049,059
140,141,049,059
140,141,049,059
140,141,049,059
140,141,050,060
141,141,051,060
141,141,052,061
141,141,052,061
141,141,052,061
141,141,052,061
141,141,052,062
141,141,052,062
141,141,052,062
141,142,052,062
141,142,052,062
141,142,052,062
141,142,052,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,053,063
141,142,054,064
141,142,054,064
141,142,054,064
141,142,054,064
141,142,054,064
141,142,054,064
141,142,054,064
141,142,054,064
142,142,054,064
142,142,054,064
142,142,054,064
142,142,054,064
142,142,054,064
142,143,055,064
142,143,055,065
142,143,055,065
142,143,055,065
142,143,055,065
142,143,056,065
142,143,056,065
142,143,056,065
143,143,056,065
143,143,058,066
143,143,058,066
143,143,058,066
143,143,058,066
143,143,058,066
143,143,058,066
143,143,058,066
143,143,058,066
143,143,058,066
144,143,058,066
144,143,058,066
144,143,058,066
144,143,058,066
144,143,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,058,066
144,144,059,066
144,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,144,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,066
145,145,059,067
145,145,059,067
145,145,059,067
145,145,059,067
145,145,059,068
145,145,059,068
145,145,059,068
145,145,060,068
145,145,060,068
146,145,060,068
146,145,061,068
146,145,061,069
146,145,061,069
146,145,061,069
146,145,061,069
146,145,061,069
146,145,061,069
146,145,062,069
146,145,062,069
146,145,062,069
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,070
146,145,062,071
147,145,062,071
147,145,062,071
147,145,062,071
147,145,062,071
147,145,062,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,071
147,145,063,072
147,145,064,072
147,145,064,072
147,145,065,072
147,145,065,072
147,145,065,072
147,145,066,072
147,145,066,072
147,145,066,072
147,145,066,072
147,145,066,072
147,145,067,072
147,145,067,072
147,145,067,072
147,145,067,072
147,145,067,072
147,145,068,072
147,145,068,072
147,145,068,072
147,145,068,072
147,145,068,073
147,145,069,073
147,145,069,073
147,145,069,073
147,145,069,073
147,145,069,073
147,145,069,073
147,145,069,073
147,145,069,073
147,145,069,073
148,145,069,073
148,145,070,073
148,145,070,073
148,145,070,073
148,146,070,073
148,146,070,073
148,146,070,073
148,146,070,073
148,146,070,073
148,146,070,073
148,146,070,073
148,146,070,073
148,146,070,074
148,146,070,074
148,146,070,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,074
148,146,071,075
148,147,071,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,072,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,075
149,147,073,076
149,147,073,076
149,147,073,076
149,147,073,076
149,147,073,076
149,147,073,076
149,147,073,076
149,147,073,076
149,147,073,076
149,147,074,076
149,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,147,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,074,076
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,075,077
150,148,076,077
150,148,076,077
150,148,076,077
150,148,076,077
150,148,076,077
150,148,076,077
150,148,076,077
150,148,076,078
150,148,076,078
150,148,076,078
150,148,076,078
150,148,076,078
150,148,076,078
150,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,076,078
151,149,077,078
151,149,077,078
151,149,077,078
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,149,077,079
151,150,077,079
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,077,080
151,150,078,080
151,150,078,080
151,150,078,080
151,150,078,080
151,150,078,080
151,150,078,080
151,150,078,080
151,151,078,081
151,151,078,081
152,151,078,081
152,151,078,081
152,151,078,081
152,151,078,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,081
152,151,079,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
152,151,080,082
