Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Wild Pink
252,199,002,279,238,224
252,201,002,279,241,224
252,203,002,279,241,224
252,208,002,279,241,224
252,209,002,279,244,224
252,211,002,279,245,224
252,212,002,279,245,229
252,212,003,279,245,229
259,212,003,279,245,241
259,213,003,279,247,241
259,213,003,279,247,241
259,214,003,279,247,241
259,215,003,280,249,241
259,215,003,280,251,241
259,216,003,280,251,241
259,216,003,280,251,241
259,216,003,280,252,241
259,216,003,280,252,241
259,217,003,280,252,241
259,217,003,280,252,242
259,218,003,280,252,242
259,218,003,280,252,242
259,219,003,280,252,242
259,220,003,280,253,242
259,221,003,280,253,242
259,221,003,280,253,242
259,221,003,280,253,242
259,221,003,280,253,242
259,221,003,280,253,242
259,222,003,280,253,242
259,223,003,280,253,242
259,223,003,280,253,243
259,223,003,280,253,243
259,224,003,280,253,243
259,224,003,280,253,243
259,224,003,280,253,243
259,224,003,280,253,243
259,224,003,280,253,243
259,224,003,280,253,243
259,225,003,280,253,243
259,225,003,280,253,243
259,225,003,280,253,243
259,225,003,280,253,245
259,225,003,280,253,245
259,225,003,280,253,245
259,225,003,280,253,245
259,226,003,280,253,245
259,226,003,280,253,245
259,226,003,280,253,245
259,226,004,280,253,245
259,226,004,280,253,245
259,226,004,280,253,245
259,226,004,280,253,245
259,227,004,280,253,245
259,227,004,285,254,245
259,227,004,285,254,245
259,228,004,285,254,245
259,228,004,285,254,245
259,228,004,285,254,245
259,228,004,285,255,245
259,228,004,285,255,245
259,228,004,285,256,245
259,228,004,286,258,247
259,228,004,286,258,247
259,230,004,286,258,247
259,230,004,286,258,247
259,230,004,286,259,247
259,230,004,286,259,247
259,230,004,286,259,247
259,230,004,286,259,247
259,230,004,286,259,247
259,230,004,286,259,247
259,231,004,286,259,247
259,231,004,286,259,247
259,231,004,286,259,247
259,231,004,286,260,247
259,231,004,286,261,247
259,231,004,286,261,247
259,231,004,286,261,247
259,231,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,247
259,232,004,286,261,248
259,232,004,286,261,248
259,232,004,286,261,248
259,232,004,286,261,248
259,232,004,286,262,249
259,232,004,286,262,249
259,232,004,286,262,249
259,232,004,287,262,249
259,232,004,287,262,249
259,232,004,287,262,249
259,232,004,287,263,251
259,232,004,287,263,251
259,232,004,287,263,251
259,232,004,287,264,251
259,232,004,287,264,251
259,233,004,287,264,251
259,233,004,287,264,251
259,233,004,287,264,251
259,233,004,287,264,251
259,234,004,287,264,251
259,234,004,287,265,251
259,234,004,287,265,251
259,234,004,287,265,251
259,234,004,287,265,251
259,234,004,287,265,251
259,235,004,287,265,251
259,235,004,287,265,251
259,235,004,287,265,251
259,235,005,287,265,251
259,235,005,287,265,251
259,235,005,287,265,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,005,287,266,251
259,236,006,287,266,251
259,237,006,287,266,251
259,237,006,287,266,251
259,237,006,287,266,251
259,237,006,287,266,251
259,237,006,287,266,252
259,237,006,287,266,252
259,237,006,287,266,252
259,237,006,287,266,253
259,237,006,287,266,253
259,237,006,287,266,253
259,237,006,287,266,253
259,238,006,287,266,253
259,238,006,287,266,253
259,238,007,287,266,253
260,238,007,287,266,253
260,238,007,287,266,253
260,238,007,287,266,253
260,238,007,287,266,253
260,238,007,287,266,253
260,238,007,287,266,253
260,238,007,287,266,253
260,239,007,287,266,253
260,239,007,287,266,253
260,239,007,287,266,253
260,239,007,287,266,253
260,239,007,287,266,253
260,239,007,287,266,253
260,239,007,287,266,254
260,239,007,287,266,254
260,239,007,287,266,254
260,239,007,287,266,254
261,240,007,287,266,254
261,240,007,287,266,254
261,240,007,289,266,254
261,240,007,289,266,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,241,007,289,267,254
261,242,007,289,267,254
261,242,007,289,267,254
261,242,007,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,008,289,267,254
261,242,009,289,267,254
261,242,009,289,267,254
261,242,009,289,267,254
261,242,009,291,267,254
261,242,009,291,267,254
261,242,009,291,267,254
261,243,009,291,267,254
261,243,009,291,267,254
261,243,009,291,267,254
261,243,009,291,267,254
261,243,009,291,267,254
261,243,009,291,267,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,243,009,291,268,254
261,244,009,291,268,254
261,244,009,291,268,254
261,244,009,291,268,255
261,244,009,291,269,255
261,244,009,291,269,255
261,244,010,291,269,255
261,244,010,291,269,255
261,244,010,291,269,255
261,244,010,291,269,255
261,244,010,291,269,255
261,244,010,291,269,255
261,244,010,291,269,255
261,244,010,291,270,255
261,244,010,291,270,255
261,244,010,291,270,256
261,244,010,291,270,256
261,245,010,291,270,256
261,245,010,291,270,256
262,245,010,291,270,256
262,245,010,291,270,256
262,245,010,291,270,256
262,245,010,291,270,256
262,245,010,291,270,256
262,245,010,291,270,256
262,245,010,291,270,256
262,245,011,291,270,256
262,245,011,291,270,256
262,245,011,291,270,256
262,245,011,291,270,256
262,245,011,291,270,256
262,245,011,291,270,257
262,245,011,291,270,257
262,245,011,291,270,257
262,245,011,291,270,257
262,245,011,291,271,257
262,245,011,291,271,257
262,245,011,291,271,257
262,245,011,291,271,257
262,245,011,291,271,257
262,245,011,291,271,257
262,245,011,291,271,257
262,245,012,291,272,257
262,245,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,291,272,257
262,246,012,292,272,257
262,246,012,292,272,257
262,246,012,293,272,257
262,246,012,293,273,257
262,246,012,293,273,257
262,246,012,293,273,257
262,246,012,293,273,257
262,246,012,293,273,257
262,246,012,293,273,257
262,246,012,293,273,257
262,246,012,293,273,257
262,247,012,293,273,257
262,247,012,293,273,257
262,247,012,293,273,257
262,247,012,293,273,257
262,247,012,293,273,258
262,247,012,293,273,259
262,247,012,293,273,259
262,247,012,293,273,259
262,247,012,295,273,259
263,247,012,295,273,259
263,247,012,295,273,259
263,247,012,295,273,259
263,247,012,295,273,261
263,247,012,295,273,261
263,247,012,295,273,261
263,247,012,295,273,261
263,247,012,295,273,261
263,247,012,295,273,261
263,247,012,295,273,261
263,247,012,295,273,261
263,248,012,295,273,261
263,248,012,295,273,261
263,248,012,295,273,261
263,248,012,295,273,261
263,248,012,295,273,261
263,248,012,295,273,261
263,248,012,295,273,261
263,248,012,295,274,261
263,248,012,295,274,261
263,248,012,295,274,261
263,248,012,295,274,261
263,248,012,295,274,261
263,248,012,295,274,261
263,248,012,295,275,261
263,248,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,275,263
263,249,012,295,276,263
263,249,012,295,276,263
263,249,012,295,276,264
263,249,012,295,276,264
263,249,012,295,276,264
263,249,012,295,276,264
263,249,012,295,276,264
263,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,295,276,264
266,249,012,296,276,264
266,250,012,296,276,264
266,250,012,296,276,264
266,250,012,296,276,264
266,250,012,296,276,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,012,296,277,264
266,250,013,296,277,264
266,250,013,296,277,264
266,250,013,296,277,264
266,250,013,296,278,264
266,250,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,296,278,266
266,251,013,297,278,266
266,251,013,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,278,266
266,251,014,297,279,266
266,251,014,297,279,266
266,251,014,298,279,266
266,251,014,298,279,266
266,251,014,298,279,266
266,251,014,298,279,266
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,251,014,298,279,270
266,252,014,298,279,270
266,252,014,298,279,270
266,252,014,298,279,270
267,252,014,298,279,271
267,252,014,298,279,271
267,252,014,298,279,271
267,252,014,298,279,271
267,252,014,298,279,271
267,252,014,298,279,271
267,252,014,298,279,272
267,252,014,298,279,272
267,252,014,298,279,272
267,252,014,298,279,272
267,252,014,298,279,272
267,252,014,298,279,273
267,252,014,298,279,273
267,252,014,298,279,273
267,252,014,298,279,273
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,014,298,279,278
267,252,015,298,279,278
267,252,015,298,279,278
267,252,015,298,279,278
267,252,015,298,279,278
267,252,015,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
267,252,016,298,279,278
