Hatchery Summer Chinook,Hatchery Fall Chinook,Hatchery Summer Steelhead,Hatchery Winter Steelhead,Hatchery Coho,Wild Pink
147,246,007,001,253,242
147,246,007,001,254,242
150,246,007,001,255,242
150,246,007,001,256,243
151,248,007,001,256,243
151,248,007,002,256,243
151,248,007,002,256,244
151,248,007,002,256,244
151,250,007,002,257,244
151,250,007,002,257,244
151,250,007,002,257,244
151,250,007,002,257,244
151,251,007,002,257,244
152,251,007,002,257,244
152,251,007,002,258,245
152,251,007,002,258,246
153,251,007,002,258,247
153,251,007,002,258,247
153,251,007,002,258,247
153,251,007,002,258,247
153,251,007,002,258,247
154,251,007,002,258,247
154,252,007,002,258,248
154,252,007,002,258,248
154,252,007,003,258,248
154,252,007,003,258,248
154,254,007,003,258,249
155,254,007,003,258,249
155,254,007,003,258,249
155,254,007,003,259,249
155,254,007,003,259,249
155,255,007,003,259,249
155,255,007,003,259,250
155,255,007,003,259,252
155,255,007,003,259,253
155,255,007,003,259,254
155,255,007,003,260,254
156,255,007,003,260,254
156,255,007,003,261,254
156,255,007,003,261,254
156,255,007,003,262,254
156,255,007,003,262,254
156,255,007,003,263,254
156,255,007,003,263,254
156,255,007,003,263,254
156,255,007,003,263,254
156,255,007,003,263,256
157,255,007,003,263,257
157,255,007,003,264,257
157,255,007,003,264,257
157,255,007,003,264,257
157,255,007,003,264,257
157,255,007,004,264,257
157,255,007,004,264,257
157,255,007,004,264,257
157,255,007,004,264,257
157,255,007,004,264,257
157,255,007,004,264,257
157,255,007,004,264,257
157,255,007,004,265,257
157,255,007,004,265,257
157,255,007,004,265,257
157,256,007,004,265,257
157,256,007,004,265,257
157,256,007,004,265,257
157,256,007,004,265,257
158,258,007,004,265,257
158,258,007,004,265,257
158,258,007,004,266,257
158,258,007,004,266,257
158,258,007,004,266,257
158,258,007,004,266,257
158,258,007,004,266,257
158,258,007,004,266,257
158,258,007,004,266,257
158,258,013,004,266,257
158,258,013,004,266,257
158,258,013,004,266,257
158,258,013,004,266,257
158,258,013,004,266,257
159,258,013,004,266,257
159,258,013,004,266,257
159,260,013,004,266,257
159,260,013,004,266,257
159,260,013,004,266,257
159,260,013,004,266,257
159,260,013,004,266,257
159,260,013,004,266,257
159,260,013,004,267,257
159,260,013,004,267,257
159,260,013,004,267,257
159,260,013,004,267,257
159,260,013,004,268,257
159,260,013,004,268,257
159,262,013,004,268,257
159,262,013,004,268,257
159,262,013,004,268,257
159,262,013,004,268,257
159,262,013,004,268,257
159,262,013,004,268,258
159,262,016,004,269,258
160,262,016,004,269,258
160,262,016,004,269,258
160,262,059,004,269,258
160,262,059,004,269,258
160,262,059,004,269,258
160,262,059,004,269,258
160,262,059,004,269,258
160,262,059,004,269,259
160,262,059,004,269,259
160,262,059,004,269,259
160,262,059,005,269,259
160,262,059,005,269,259
160,262,059,005,269,259
160,262,059,005,269,259
160,262,059,005,269,259
160,262,059,005,269,259
160,262,059,006,270,259
161,262,059,006,270,259
161,262,059,006,270,259
161,262,059,006,270,259
161,262,059,006,270,259
161,262,059,006,270,259
161,263,059,006,270,259
161,263,059,006,270,259
161,263,059,006,270,259
161,263,059,006,270,259
161,263,059,006,270,259
161,263,059,006,270,259
161,263,059,006,270,259
161,264,145,006,270,259
162,264,146,006,270,259
162,264,147,006,270,259
162,264,147,006,270,259
162,264,147,007,270,259
162,264,149,007,270,259
162,264,150,007,270,259
162,264,150,007,270,259
162,264,150,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,271,259
162,264,151,007,272,259
162,264,151,007,272,259
162,264,151,007,272,259
162,264,151,007,272,259
162,264,151,007,272,259
162,264,151,007,272,259
162,264,151,007,272,259
162,264,151,007,272,259
163,264,151,007,272,259
163,264,151,007,272,259
163,264,151,007,272,259
163,264,151,007,272,259
163,264,151,007,272,259
163,264,151,007,272,259
163,264,151,007,273,259
163,264,151,007,273,259
163,264,151,007,273,259
163,264,151,007,273,259
163,264,151,007,273,259
163,264,151,007,273,259
163,264,151,007,273,259
163,264,152,007,273,259
163,264,152,007,273,259
163,264,152,007,273,259
163,264,152,007,273,259
163,264,152,007,273,259
163,264,152,007,273,259
164,264,152,007,273,259
164,264,152,007,273,259
