Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type N Coho,Hatchery Type N Coho,Wild Chum
239,240,127,162,004,003,308
240,241,127,162,004,003,308
242,242,129,162,004,004,308
242,242,129,162,004,004,308
243,243,129,162,004,004,310
243,243,129,162,004,004,310
244,243,130,162,004,004,310
244,243,130,162,004,004,310
244,244,131,162,004,004,310
245,244,131,162,004,004,310
245,244,131,162,004,004,311
246,245,132,162,004,004,311
247,245,133,162,004,004,311
248,245,133,162,004,004,312
249,245,133,162,004,004,312
250,246,134,162,004,004,312
250,246,136,162,004,004,313
251,246,136,162,004,004,313
251,247,136,162,004,004,313
251,247,138,162,004,004,313
251,248,138,162,004,004,313
251,249,139,162,004,004,313
252,249,139,162,004,004,313
252,249,140,162,004,004,314
252,249,140,162,004,004,314
252,249,141,162,004,004,314
252,250,141,162,004,004,314
252,250,141,162,004,004,315
252,251,141,162,004,004,315
252,251,141,162,004,004,315
252,251,141,162,004,004,315
252,251,142,165,004,004,315
252,251,142,165,004,004,315
252,251,142,165,004,004,316
252,251,142,165,004,004,316
253,251,142,165,004,004,316
253,251,142,165,004,004,316
253,252,143,165,004,004,316
253,252,143,165,004,004,316
253,252,143,165,004,004,316
253,252,143,165,004,004,316
253,252,143,165,004,004,316
254,252,143,165,004,004,316
254,252,144,165,004,004,316
254,252,144,165,004,004,316
255,252,144,167,004,004,316
255,252,144,167,004,004,316
256,252,144,167,004,004,316
256,253,147,167,004,004,316
256,253,147,167,004,004,316
256,253,147,167,004,004,316
256,253,149,167,004,004,317
256,253,149,167,004,004,317
256,253,149,167,004,004,317
257,253,149,167,004,004,317
257,253,149,168,004,004,317
257,253,149,168,004,004,317
257,253,150,168,004,004,317
257,253,150,168,004,004,317
257,253,151,168,004,004,317
257,253,151,168,004,004,317
257,253,151,168,004,004,317
257,253,151,168,004,004,317
257,253,151,168,004,004,317
257,253,151,168,004,004,317
257,254,151,168,004,004,317
258,254,152,168,004,004,317
258,254,152,168,004,004,318
258,254,152,168,004,004,318
258,254,152,168,004,004,318
258,254,153,168,004,004,318
258,254,153,168,004,004,318
258,254,153,170,004,004,318
258,254,153,170,004,004,319
258,254,153,170,004,004,319
258,254,153,170,004,004,319
259,254,153,170,004,004,319
259,254,153,170,004,004,319
259,254,154,170,004,004,319
259,254,155,170,004,004,319
259,254,155,170,004,004,319
