Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type N Coho,Hatchery Type N Coho
233,233,213,213,256,258
234,236,213,213,256,258
235,237,213,214,256,258
238,238,213,214,256,258
239,239,213,215,256,261
239,240,213,215,256,261
241,241,215,215,256,261
241,241,215,215,256,261
241,241,215,215,256,261
242,241,215,216,256,261
242,242,215,216,256,261
243,243,215,216,256,261
244,243,215,216,256,261
244,243,215,216,256,261
245,243,215,216,257,261
245,244,215,216,257,261
246,244,215,216,257,261
246,244,215,216,257,261
246,245,215,216,257,262
246,245,215,216,257,262
246,246,215,216,257,262
246,246,216,216,260,262
246,246,216,217,260,262
247,246,216,217,260,262
247,246,216,217,260,262
247,246,216,217,260,262
247,246,216,217,260,262
247,246,216,217,260,262
247,247,216,217,265,262
248,247,216,217,265,262
248,247,216,217,265,262
249,247,216,217,265,262
249,247,216,217,265,262
249,247,216,217,265,262
250,247,216,217,265,262
250,248,216,217,265,262
250,248,216,217,265,262
250,249,216,217,265,262
250,249,216,217,265,262
251,249,216,217,265,262
251,249,216,218,265,262
251,249,216,218,265,262
251,250,216,218,265,262
251,250,216,218,265,262
252,250,216,218,265,262
252,250,216,218,268,262
252,251,216,218,268,262
252,251,216,218,268,264
252,251,216,218,268,264
252,251,216,218,270,264
252,251,216,218,270,264
252,251,216,218,270,264
252,251,216,218,270,264
252,251,216,218,270,264
252,251,216,218,270,264
252,252,216,218,270,264
252,252,216,218,270,264
252,252,216,218,270,264
252,252,216,218,270,264
253,252,216,218,270,264
253,252,216,218,271,264
253,252,217,218,271,264
253,252,217,218,271,264
253,252,217,218,271,265
253,252,217,218,271,265
253,252,217,218,271,265
253,252,217,219,271,265
253,252,217,219,271,265
253,252,217,219,271,265
253,252,217,219,271,265
254,252,218,219,271,265
254,252,218,219,271,265
255,252,218,219,271,265
255,252,218,219,271,265
255,252,218,219,271,265
255,252,218,219,271,265
255,252,218,219,271,265
255,252,218,219,271,265
255,253,218,219,272,265
255,253,218,219,272,265
255,253,218,219,272,265
255,253,218,219,272,265
255,253,218,219,272,265
255,253,218,219,272,265
256,253,218,219,272,266
256,253,218,219,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
256,253,218,220,272,266
257,253,218,220,272,266
257,254,218,220,272,266
257,254,218,220,272,266
257,255,218,220,272,266
257,255,218,220,272,266
257,255,218,220,272,266
257,255,218,220,272,266
257,255,218,220,272,266
257,255,219,220,272,266
257,255,219,220,272,266
257,255,219,220,273,266
257,255,219,220,273,266
257,255,219,221,273,266
257,255,219,221,273,266
258,255,219,221,273,266
258,255,219,221,273,266
259,255,219,221,273,266
259,255,219,221,273,266
259,256,219,221,273,267
259,256,219,221,273,267
259,256,219,221,273,267
260,256,219,221,273,267
260,256,219,221,273,267
260,256,219,221,273,267
260,256,219,221,273,267
260,256,219,221,273,267
260,256,219,221,274,268
260,256,219,221,274,268
261,256,219,221,274,268
261,257,219,221,274,268
261,257,219,221,274,268
261,257,220,221,274,268
261,257,220,221,274,268
261,257,220,221,274,268
261,257,220,221,276,268
261,257,220,222,276,268
261,257,220,222,276,268
261,257,220,222,276,268
261,257,220,222,279,269
262,257,220,222,279,269
262,257,220,222,279,269
262,257,221,222,279,269
262,258,221,222,279,269
262,258,221,222,279,269
262,258,221,222,279,269
262,258,222,222,279,269
262,259,222,222,279,269
262,259,222,222,279,269
262,259,222,222,279,270
262,259,222,222,281,270
262,259,222,222,281,270
262,259,222,222,281,270
262,259,222,222,281,270
262,259,222,222,281,270
262,260,222,222,281,270
262,260,222,222,281,270
262,260,222,223,282,270
262,260,222,223,282,270
262,260,222,223,282,270
262,260,222,223,282,270
262,260,222,223,282,270
262,260,222,223,282,270
262,260,222,223,282,270
262,260,222,223,282,270
