Run,Year,Count
Hatchery Sockeye,1997,3034
Hatchery Sockeye,1998,3059
Hatchery Sockeye,1999,3548
Hatchery Sockeye,2000,10304
Hatchery Sockeye,2001,4939
Hatchery Sockeye,2002,4023
Hatchery Sockeye,2003,19936
Hatchery Sockeye,2004,9087
Hatchery Sockeye,2005,3188
Hatchery Sockeye,2006,8323
Hatchery Sockeye,2007,2763
Hatchery Sockeye,2008,3211
Hatchery Sockeye,2009,6476
Hatchery Sockeye,2010,3741
Hatchery Sockeye,2011,5079
Hatchery Sockeye,2012,6054
Hatchery Sockeye,2013,5884
Hatchery Sockeye,2014,6122
Hatchery Sockeye,2015,6118
Hatchery Sockeye,2016,0
Hatchery Sockeye,2017,0
Hatchery Sockeye,2018,0
Hatchery Sockeye,2019,8327
Hatchery Sockeye,2020,0
Unknown Sockeye,1997,0
Unknown Sockeye,1998,0
Unknown Sockeye,1999,0
Unknown Sockeye,2000,0
Unknown Sockeye,2001,0
Unknown Sockeye,2002,0
Unknown Sockeye,2003,0
Unknown Sockeye,2004,0
Unknown Sockeye,2005,0
Unknown Sockeye,2006,0
Unknown Sockeye,2007,0
Unknown Sockeye,2008,0
Unknown Sockeye,2009,0
Unknown Sockeye,2010,0
Unknown Sockeye,2011,0
Unknown Sockeye,2012,0
Unknown Sockeye,2013,0
Unknown Sockeye,2014,0
Unknown Sockeye,2015,0
Unknown Sockeye,2016,7506
Unknown Sockeye,2017,7587
Unknown Sockeye,2018,9011
Unknown Sockeye,2019,0
Unknown Sockeye,2020,8010
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,207
Wild Coho,2011,162
Wild Coho,2012,199
Wild Coho,2013,226
Wild Coho,2014,196
Wild Coho,2015,209
Wild Coho,2016,0
Wild Coho,2017,0
Wild Coho,2018,0
Wild Coho,2019,0
Wild Coho,2020,0
Unknown Coho,1997,0
Unknown Coho,1998,0
Unknown Coho,1999,0
Unknown Coho,2000,0
Unknown Coho,2001,0
Unknown Coho,2002,0
Unknown Coho,2003,0
Unknown Coho,2004,0
Unknown Coho,2005,0
Unknown Coho,2006,0
Unknown Coho,2007,0
Unknown Coho,2008,0
Unknown Coho,2009,0
Unknown Coho,2010,0
Unknown Coho,2011,0
Unknown Coho,2012,0
Unknown Coho,2013,0
Unknown Coho,2014,0
Unknown Coho,2015,0
Unknown Coho,2016,253
Unknown Coho,2017,255
Unknown Coho,2018,202
Unknown Coho,2019,205
Unknown Coho,2020,201
