Run,Year,Count
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,70
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,20
Hatchery Summer Steelhead,2013,18
Hatchery Summer Steelhead,2014,0
Hatchery Summer Steelhead,2015,0
Hatchery Summer Steelhead,2016,0
Hatchery Summer Steelhead,2017,0
Hatchery Summer Steelhead,2018,15
Hatchery Summer Steelhead,2019,9
Hatchery Summer Steelhead,2020,22
Hatchery Winter Steelhead,1997,13
Hatchery Winter Steelhead,1998,446
Hatchery Winter Steelhead,1999,480
Hatchery Winter Steelhead,2000,279
Hatchery Winter Steelhead,2001,0
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,0
Hatchery Winter Steelhead,2005,0
Hatchery Winter Steelhead,2006,0
Hatchery Winter Steelhead,2007,0
Hatchery Winter Steelhead,2008,0
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,597
Hatchery Winter Steelhead,2012,936
Hatchery Winter Steelhead,2013,354
Hatchery Winter Steelhead,2014,105
Hatchery Winter Steelhead,2015,137
Hatchery Winter Steelhead,2016,72
Hatchery Winter Steelhead,2017,168
Hatchery Winter Steelhead,2018,655
Hatchery Winter Steelhead,2019,124
Hatchery Winter Steelhead,2020,573
Hatchery Type N Coho,1997,0
Hatchery Type N Coho,1998,0
Hatchery Type N Coho,1999,0
Hatchery Type N Coho,2000,0
Hatchery Type N Coho,2001,0
Hatchery Type N Coho,2002,0
Hatchery Type N Coho,2003,0
Hatchery Type N Coho,2004,0
Hatchery Type N Coho,2005,0
Hatchery Type N Coho,2006,0
Hatchery Type N Coho,2007,0
Hatchery Type N Coho,2008,0
Hatchery Type N Coho,2009,0
Hatchery Type N Coho,2010,25
Hatchery Type N Coho,2011,0
Hatchery Type N Coho,2012,0
Hatchery Type N Coho,2013,0
Hatchery Type N Coho,2014,91
Hatchery Type N Coho,2015,19
Hatchery Type N Coho,2016,32
Hatchery Type N Coho,2017,8
Hatchery Type N Coho,2018,16
Hatchery Type N Coho,2019,715
Hatchery Type N Coho,2020,193
