Run,Year,Count
Hatchery Fall Chinook,1997,10
Hatchery Fall Chinook,1998,21
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,4
Hatchery Fall Chinook,2011,14
Hatchery Fall Chinook,2012,21
Hatchery Fall Chinook,2013,4
Hatchery Fall Chinook,2014,81
Hatchery Fall Chinook,2015,143
Hatchery Fall Chinook,2016,5
Hatchery Fall Chinook,2017,14
Hatchery Fall Chinook,2018,34
Hatchery Fall Chinook,2019,37
Hatchery Fall Chinook,2020,38
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,120
Wild Winter Steelhead,1999,121
Wild Winter Steelhead,2000,53
Wild Winter Steelhead,2001,19
Wild Winter Steelhead,2002,0
Wild Winter Steelhead,2003,0
Wild Winter Steelhead,2004,0
Wild Winter Steelhead,2005,0
Wild Winter Steelhead,2006,0
Wild Winter Steelhead,2007,0
Wild Winter Steelhead,2008,0
Wild Winter Steelhead,2009,0
Wild Winter Steelhead,2010,0
Wild Winter Steelhead,2011,0
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,0
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
Wild Winter-Late Steelhead,2000,0
Wild Winter-Late Steelhead,2001,0
Wild Winter-Late Steelhead,2002,0
Wild Winter-Late Steelhead,2003,0
Wild Winter-Late Steelhead,2004,0
Wild Winter-Late Steelhead,2005,0
Wild Winter-Late Steelhead,2006,0
Wild Winter-Late Steelhead,2007,0
Wild Winter-Late Steelhead,2008,0
Wild Winter-Late Steelhead,2009,0
Wild Winter-Late Steelhead,2010,0
Wild Winter-Late Steelhead,2011,26
Wild Winter-Late Steelhead,2012,11
Wild Winter-Late Steelhead,2013,14
Wild Winter-Late Steelhead,2014,12
Wild Winter-Late Steelhead,2015,23
Wild Winter-Late Steelhead,2016,13
Wild Winter-Late Steelhead,2017,15
Wild Winter-Late Steelhead,2018,46
Wild Winter-Late Steelhead,2019,14
Wild Winter-Late Steelhead,2020,20
Hatchery Winter-Late Steelhead,1997,0
Hatchery Winter-Late Steelhead,1998,0
Hatchery Winter-Late Steelhead,1999,0
Hatchery Winter-Late Steelhead,2000,0
Hatchery Winter-Late Steelhead,2001,0
Hatchery Winter-Late Steelhead,2002,0
Hatchery Winter-Late Steelhead,2003,0
Hatchery Winter-Late Steelhead,2004,0
Hatchery Winter-Late Steelhead,2005,0
Hatchery Winter-Late Steelhead,2006,0
Hatchery Winter-Late Steelhead,2007,0
Hatchery Winter-Late Steelhead,2008,0
Hatchery Winter-Late Steelhead,2009,0
Hatchery Winter-Late Steelhead,2010,0
Hatchery Winter-Late Steelhead,2011,335
Hatchery Winter-Late Steelhead,2012,153
Hatchery Winter-Late Steelhead,2013,101
Hatchery Winter-Late Steelhead,2014,39
Hatchery Winter-Late Steelhead,2015,435
Hatchery Winter-Late Steelhead,2016,584
Hatchery Winter-Late Steelhead,2017,178
Hatchery Winter-Late Steelhead,2018,344
Hatchery Winter-Late Steelhead,2019,57
Hatchery Winter-Late Steelhead,2020,188
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,3253
Wild Coho,2011,2401
Wild Coho,2012,3909
Wild Coho,2013,2013
Wild Coho,2014,4300
Wild Coho,2015,1042
Wild Coho,2016,2115
Wild Coho,2017,1811
Wild Coho,2018,2597
Wild Coho,2019,1669
Wild Coho,2020,1250
Wild Late Coho,1997,0
Wild Late Coho,1998,0
Wild Late Coho,1999,0
Wild Late Coho,2000,0
Wild Late Coho,2001,0
Wild Late Coho,2002,0
Wild Late Coho,2003,0
Wild Late Coho,2004,0
Wild Late Coho,2005,0
Wild Late Coho,2006,0
Wild Late Coho,2007,0
Wild Late Coho,2008,0
Wild Late Coho,2009,0
Wild Late Coho,2010,300
Wild Late Coho,2011,301
Wild Late Coho,2012,159
Wild Late Coho,2013,183
Wild Late Coho,2014,215
Wild Late Coho,2015,278
Wild Late Coho,2016,112
Wild Late Coho,2017,120
Wild Late Coho,2018,168
Wild Late Coho,2019,93
Wild Late Coho,2020,5
Hatchery Coho,1997,0
Hatchery Coho,1998,6638
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,0
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,16542
Hatchery Coho,2011,8157
Hatchery Coho,2012,3414
Hatchery Coho,2013,4448
Hatchery Coho,2014,14137
Hatchery Coho,2015,2104
Hatchery Coho,2016,7452
Hatchery Coho,2017,9615
Hatchery Coho,2018,3421
Hatchery Coho,2019,2803
Hatchery Coho,2020,6788
Hatchery Late Coho,1997,0
Hatchery Late Coho,1998,1000
Hatchery Late Coho,1999,0
Hatchery Late Coho,2000,0
Hatchery Late Coho,2001,0
Hatchery Late Coho,2002,0
Hatchery Late Coho,2003,0
Hatchery Late Coho,2004,0
Hatchery Late Coho,2005,0
Hatchery Late Coho,2006,0
Hatchery Late Coho,2007,0
Hatchery Late Coho,2008,0
Hatchery Late Coho,2009,0
Hatchery Late Coho,2010,2000
Hatchery Late Coho,2011,3804
Hatchery Late Coho,2012,1142
Hatchery Late Coho,2013,452
Hatchery Late Coho,2014,3552
Hatchery Late Coho,2015,2094
Hatchery Late Coho,2016,1277
Hatchery Late Coho,2017,950
Hatchery Late Coho,2018,1393
