Run,Year,Count
Hatchery Summer Steelhead,1997,123
Hatchery Summer Steelhead,1998,844
Hatchery Summer Steelhead,1999,315
Hatchery Summer Steelhead,2000,358
Hatchery Summer Steelhead,2001,1236
Hatchery Summer Steelhead,2002,768
Hatchery Summer Steelhead,2003,1122
Hatchery Summer Steelhead,2004,1941
Hatchery Summer Steelhead,2005,606
Hatchery Summer Steelhead,2006,1678
Hatchery Summer Steelhead,2007,776
Hatchery Summer Steelhead,2008,1010
Hatchery Summer Steelhead,2009,620
Hatchery Summer Steelhead,2010,1348
Hatchery Summer Steelhead,2011,1160
Hatchery Summer Steelhead,2012,1461
Hatchery Summer Steelhead,2013,551
Hatchery Summer Steelhead,2014,995
Hatchery Summer Steelhead,2015,651
Hatchery Summer Steelhead,2016,666
Hatchery Summer Steelhead,2017,192
Hatchery Summer Steelhead,2018,275
Hatchery Summer Steelhead,2019,117
Hatchery Summer Steelhead,2020,169
Hatchery Winter Steelhead,1997,190
Hatchery Winter Steelhead,1998,1416
Hatchery Winter Steelhead,1999,1900
Hatchery Winter Steelhead,2000,1105
Hatchery Winter Steelhead,2001,2143
Hatchery Winter Steelhead,2002,2641
Hatchery Winter Steelhead,2003,1621
Hatchery Winter Steelhead,2004,4414
Hatchery Winter Steelhead,2005,1936
Hatchery Winter Steelhead,2006,2729
Hatchery Winter Steelhead,2007,1370
Hatchery Winter Steelhead,2008,847
Hatchery Winter Steelhead,2009,2392
Hatchery Winter Steelhead,2010,3002
Hatchery Winter Steelhead,2011,1823
Hatchery Winter Steelhead,2012,2649
Hatchery Winter Steelhead,2013,1703
Hatchery Winter Steelhead,2014,2727
Hatchery Winter Steelhead,2015,3188
Hatchery Winter Steelhead,2016,2204
Hatchery Winter Steelhead,2017,2787
Hatchery Winter Steelhead,2018,1783
Hatchery Winter Steelhead,2019,1044
Hatchery Winter Steelhead,2020,1443
