Run,Year,Count
Wild Fall Chinook,1997,53
Wild Fall Chinook,1998,222
Wild Fall Chinook,1999,46
Wild Fall Chinook,2000,10
Wild Fall Chinook,2001,38
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,15
Wild Fall Chinook,2005,35
Wild Fall Chinook,2006,23
Wild Fall Chinook,2007,10
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,4
Wild Fall Chinook,2011,9
Wild Fall Chinook,2012,17
Wild Fall Chinook,2013,13
Wild Fall Chinook,2014,2
Wild Fall Chinook,2015,27
Wild Fall Chinook,2016,53
Wild Fall Chinook,2017,31
Wild Fall Chinook,2018,40
Wild Fall Chinook,2019,31
Wild Fall Chinook,2020,14
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,28
Hatchery Fall Chinook,2005,37
Hatchery Fall Chinook,2006,27
Hatchery Fall Chinook,2007,10
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,1
Hatchery Fall Chinook,2011,5
Hatchery Fall Chinook,2012,0
Hatchery Fall Chinook,2013,2
Hatchery Fall Chinook,2014,0
Hatchery Fall Chinook,2015,11
Hatchery Fall Chinook,2016,31
Hatchery Fall Chinook,2017,3
Hatchery Fall Chinook,2018,6
Hatchery Fall Chinook,2019,14
Hatchery Fall Chinook,2020,11
Unknown Sockeye,1997,0
Unknown Sockeye,1998,0
Unknown Sockeye,1999,0
Unknown Sockeye,2000,0
Unknown Sockeye,2001,0
Unknown Sockeye,2002,0
Unknown Sockeye,2003,0
Unknown Sockeye,2004,0
Unknown Sockeye,2005,0
Unknown Sockeye,2006,0
Unknown Sockeye,2007,0
Unknown Sockeye,2008,0
Unknown Sockeye,2009,0
Unknown Sockeye,2010,5498
Unknown Sockeye,2011,5799
Unknown Sockeye,2012,12656
Unknown Sockeye,2013,5136
Unknown Sockeye,2014,6320
Unknown Sockeye,2015,2600
Unknown Sockeye,2016,3207
Unknown Sockeye,2017,4248
Unknown Sockeye,2018,3754
Unknown Sockeye,2019,1753
Unknown Sockeye,2020,989
Wild Coho,1997,36
Wild Coho,1998,31
Wild Coho,1999,10
Wild Coho,2000,27
Wild Coho,2001,31
Wild Coho,2002,29
Wild Coho,2003,0
Wild Coho,2004,29
Wild Coho,2005,35
Wild Coho,2006,25
Wild Coho,2007,3
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,5
Wild Coho,2012,13
Wild Coho,2013,1
Wild Coho,2014,0
Wild Coho,2015,0
Wild Coho,2016,0
Wild Coho,2017,0
Wild Coho,2018,0
Wild Coho,2019,0
Wild Coho,2020,0
