Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,1
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,0
Wild Spring Chinook,2003,0
Wild Spring Chinook,2004,95
Wild Spring Chinook,2005,301
Wild Spring Chinook,2006,97
Wild Spring Chinook,2007,55
Wild Spring Chinook,2008,108
Wild Spring Chinook,2009,107
Wild Spring Chinook,2010,85
Wild Spring Chinook,2011,77
Wild Spring Chinook,2012,90
Wild Spring Chinook,2013,0
Wild Spring Chinook,2014,37
Wild Spring Chinook,2015,99
Wild Spring Chinook,2016,47
Wild Spring Chinook,2017,33
Wild Spring Chinook,2018,38
Wild Spring Chinook,2019,12
Wild Spring Chinook,2020,62
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,0
Hatchery Spring Chinook,2004,144
Hatchery Spring Chinook,2005,509
Hatchery Spring Chinook,2006,321
Hatchery Spring Chinook,2007,208
Hatchery Spring Chinook,2008,981
Hatchery Spring Chinook,2009,605
Hatchery Spring Chinook,2010,808
Hatchery Spring Chinook,2011,327
Hatchery Spring Chinook,2012,579
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,108
Hatchery Spring Chinook,2015,351
Hatchery Spring Chinook,2016,53
Hatchery Spring Chinook,2017,104
Hatchery Spring Chinook,2018,61
Hatchery Spring Chinook,2019,77
Hatchery Spring Chinook,2020,107
