Run,Year,Count
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,16
Wild Summer Steelhead,2005,3
Wild Summer Steelhead,2006,35
Wild Summer Steelhead,2007,18
Wild Summer Steelhead,2008,30
Wild Summer Steelhead,2009,20
Wild Summer Steelhead,2010,59
Wild Summer Steelhead,2011,9
Wild Summer Steelhead,2012,0
Wild Summer Steelhead,2013,26
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,0
Wild Summer Steelhead,2016,7
Wild Summer Steelhead,2017,3
Wild Summer Steelhead,2018,0
Wild Summer Steelhead,2019,0
Wild Summer Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,720
Hatchery Summer Steelhead,1999,222
Hatchery Summer Steelhead,2000,291
Hatchery Summer Steelhead,2001,774
Hatchery Summer Steelhead,2002,1710
Hatchery Summer Steelhead,2003,480
Hatchery Summer Steelhead,2004,850
Hatchery Summer Steelhead,2005,1010
Hatchery Summer Steelhead,2006,2006
Hatchery Summer Steelhead,2007,558
Hatchery Summer Steelhead,2008,1497
Hatchery Summer Steelhead,2009,2313
Hatchery Summer Steelhead,2010,1409
Hatchery Summer Steelhead,2011,509
Hatchery Summer Steelhead,2012,1081
Hatchery Summer Steelhead,2013,942
Hatchery Summer Steelhead,2014,861
Hatchery Summer Steelhead,2015,322
Hatchery Summer Steelhead,2016,1132
Hatchery Summer Steelhead,2017,275
Hatchery Summer Steelhead,2018,918
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,911
