Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,422
Wild Spring Chinook,2003,562
Wild Spring Chinook,2004,269
Wild Spring Chinook,2005,143
Wild Spring Chinook,2006,91
Wild Spring Chinook,2007,70
Wild Spring Chinook,2008,73
Wild Spring Chinook,2009,99
Wild Spring Chinook,2010,115
Wild Spring Chinook,2011,74
Wild Spring Chinook,2012,237
Wild Spring Chinook,2013,312
Wild Spring Chinook,2014,240
Wild Spring Chinook,2015,197
Wild Spring Chinook,2016,201
Wild Spring Chinook,2017,151
Wild Spring Chinook,2018,154
Wild Spring Chinook,2019,195
Wild Spring Chinook,2020,370
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,21
Wild Fall Chinook,2006,77
Wild Fall Chinook,2007,237
Wild Fall Chinook,2008,314
Wild Fall Chinook,2009,482
Wild Fall Chinook,2010,2395
Wild Fall Chinook,2011,4306
Wild Fall Chinook,2012,1953
Wild Fall Chinook,2013,3308
Wild Fall Chinook,2014,2263
Wild Fall Chinook,2015,3481
Wild Fall Chinook,2016,3091
Wild Fall Chinook,2017,1898
Wild Fall Chinook,2018,936
Wild Fall Chinook,2019,924
Wild Fall Chinook,2020,2579
Hatchery Spring Chinook,1997,8270
Hatchery Spring Chinook,1998,831
Hatchery Spring Chinook,1999,1339
Hatchery Spring Chinook,2000,1426
Hatchery Spring Chinook,2001,1309
Hatchery Spring Chinook,2002,2713
Hatchery Spring Chinook,2003,10525
Hatchery Spring Chinook,2004,12554
Hatchery Spring Chinook,2005,7503
Hatchery Spring Chinook,2006,5377
Hatchery Spring Chinook,2007,3086
Hatchery Spring Chinook,2008,1895
Hatchery Spring Chinook,2009,3604
Hatchery Spring Chinook,2010,5917
Hatchery Spring Chinook,2011,1992
Hatchery Spring Chinook,2012,5589
Hatchery Spring Chinook,2013,3762
Hatchery Spring Chinook,2014,4591
Hatchery Spring Chinook,2015,17408
Hatchery Spring Chinook,2016,14594
Hatchery Spring Chinook,2017,8693
Hatchery Spring Chinook,2018,2591
Hatchery Spring Chinook,2019,1076
Hatchery Spring Chinook,2020,471
Hatchery Fall Chinook,1997,2686
Hatchery Fall Chinook,1998,2706
Hatchery Fall Chinook,1999,3117
Hatchery Fall Chinook,2000,3029
Hatchery Fall Chinook,2001,7733
Hatchery Fall Chinook,2002,9266
Hatchery Fall Chinook,2003,6830
Hatchery Fall Chinook,2004,4962
Hatchery Fall Chinook,2005,5813
Hatchery Fall Chinook,2006,4204
Hatchery Fall Chinook,2007,3568
Hatchery Fall Chinook,2008,4309
Hatchery Fall Chinook,2009,9818
Hatchery Fall Chinook,2010,11899
Hatchery Fall Chinook,2011,12559
Hatchery Fall Chinook,2012,5119
Hatchery Fall Chinook,2013,6001
Hatchery Fall Chinook,2014,6521
Hatchery Fall Chinook,2015,4591
Hatchery Fall Chinook,2016,2879
Hatchery Fall Chinook,2017,1816
Hatchery Fall Chinook,2018,1003
Hatchery Fall Chinook,2019,1323
Hatchery Fall Chinook,2020,2444
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,12
Wild Summer Steelhead,1999,5
Wild Summer Steelhead,2000,5
Wild Summer Steelhead,2001,1
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,8
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,0
Wild Summer Steelhead,2012,16
Wild Summer Steelhead,2013,2
Wild Summer Steelhead,2014,3
Wild Summer Steelhead,2015,1
Wild Summer Steelhead,2016,4
Wild Summer Steelhead,2017,2
Wild Summer Steelhead,2018,8
Wild Summer Steelhead,2019,6
Wild Summer Steelhead,2020,3
Wild Winter Steelhead,1997,16
Wild Winter Steelhead,1998,118
Wild Winter Steelhead,1999,152
Wild Winter Steelhead,2000,406
Wild Winter Steelhead,2001,174
Wild Winter Steelhead,2002,246
Wild Winter Steelhead,2003,233
Wild Winter Steelhead,2004,149
Wild Winter Steelhead,2005,260
Wild Winter Steelhead,2006,95
Wild Winter Steelhead,2007,126
Wild Winter Steelhead,2008,67
Wild Winter Steelhead,2009,38
Wild Winter Steelhead,2010,71
Wild Winter Steelhead,2011,57
Wild Winter Steelhead,2012,77
Wild Winter Steelhead,2013,34
Wild Winter Steelhead,2014,8
Wild Winter Steelhead,2015,23
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
