Run,Year,Count
Wild Spring Chinook,1997,1610
Wild Spring Chinook,1998,741
Wild Spring Chinook,1999,1228
Wild Spring Chinook,2000,993
Wild Spring Chinook,2001,772
Wild Spring Chinook,2002,325
Wild Spring Chinook,2003,91
Wild Spring Chinook,2004,142
Wild Spring Chinook,2005,0
Wild Spring Chinook,2006,130
Wild Spring Chinook,2007,0
Wild Spring Chinook,2008,0
Wild Spring Chinook,2009,0
Wild Spring Chinook,2010,21
Wild Spring Chinook,2011,40
Wild Spring Chinook,2012,32
Wild Spring Chinook,2013,3
Wild Spring Chinook,2014,4
Wild Spring Chinook,2015,8
Wild Spring Chinook,2016,5
Wild Spring Chinook,2017,7
Wild Spring Chinook,2018,0
Wild Spring Chinook,2019,0
Wild Spring Chinook,2020,1
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,0
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,0
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,92
Hatchery Spring Chinook,2011,167
Hatchery Spring Chinook,2012,68
Hatchery Spring Chinook,2013,13
Hatchery Spring Chinook,2014,4
Hatchery Spring Chinook,2015,39
Hatchery Spring Chinook,2016,26
Hatchery Spring Chinook,2017,42
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,4
Hatchery Spring Chinook,2020,22
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,6
Hatchery Winter Steelhead,2001,14
Hatchery Winter Steelhead,2002,9
Hatchery Winter Steelhead,2003,17
Hatchery Winter Steelhead,2004,20
Hatchery Winter Steelhead,2005,27
Hatchery Winter Steelhead,2006,42
Hatchery Winter Steelhead,2007,12
Hatchery Winter Steelhead,2008,6
Hatchery Winter Steelhead,2009,9
Hatchery Winter Steelhead,2010,31
Hatchery Winter Steelhead,2011,18
Hatchery Winter Steelhead,2012,66
Hatchery Winter Steelhead,2013,46
Hatchery Winter Steelhead,2014,55
Hatchery Winter Steelhead,2015,35
Hatchery Winter Steelhead,2016,3
Hatchery Winter Steelhead,2017,1
Hatchery Winter Steelhead,2018,21
Hatchery Winter Steelhead,2019,6
Hatchery Winter Steelhead,2020,4
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,74
Wild Coho,2008,14
Wild Coho,2009,245
Wild Coho,2010,55
Wild Coho,2011,580
Wild Coho,2012,66
Wild Coho,2013,71
Wild Coho,2014,101
Wild Coho,2015,30
Wild Coho,2016,27
Wild Coho,2017,107
Wild Coho,2018,0
Wild Coho,2019,5
Wild Coho,2020,2
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,0
Hatchery Coho,2000,17275
Hatchery Coho,2001,20000
Hatchery Coho,2002,4244
Hatchery Coho,2003,13494
Hatchery Coho,2004,2815
Hatchery Coho,2005,1731
Hatchery Coho,2006,422
Hatchery Coho,2007,1544
Hatchery Coho,2008,380
Hatchery Coho,2009,8877
Hatchery Coho,2010,1142
Hatchery Coho,2011,6725
Hatchery Coho,2012,5071
Hatchery Coho,2013,3384
Hatchery Coho,2014,2515
Hatchery Coho,2015,744
Hatchery Coho,2016,2378
Hatchery Coho,2017,3431
Hatchery Coho,2018,2266
Hatchery Coho,2019,1119
Hatchery Coho,2020,3047
Hatchery Fall Coho,1997,11500
Hatchery Fall Coho,1998,4000
Hatchery Fall Coho,1999,2300
Hatchery Fall Coho,2000,0
Hatchery Fall Coho,2001,0
Hatchery Fall Coho,2002,0
Hatchery Fall Coho,2003,0
Hatchery Fall Coho,2004,0
Hatchery Fall Coho,2005,0
Hatchery Fall Coho,2006,0
Hatchery Fall Coho,2007,0
Hatchery Fall Coho,2008,0
Hatchery Fall Coho,2009,0
Hatchery Fall Coho,2010,0
Hatchery Fall Coho,2011,0
Hatchery Fall Coho,2012,0
Hatchery Fall Coho,2013,0
Hatchery Fall Coho,2014,0
Hatchery Fall Coho,2015,0
Hatchery Fall Coho,2016,0
Hatchery Fall Coho,2017,0
Hatchery Fall Coho,2018,0
Hatchery Fall Coho,2019,0
Hatchery Fall Coho,2020,0
Wild Summer Pink,1997,0
Wild Summer Pink,1998,0
Wild Summer Pink,1999,0
Wild Summer Pink,2000,0
Wild Summer Pink,2001,0
Wild Summer Pink,2002,0
Wild Summer Pink,2003,0
Wild Summer Pink,2004,0
Wild Summer Pink,2005,0
Wild Summer Pink,2006,0
Wild Summer Pink,2007,0
Wild Summer Pink,2008,0
Wild Summer Pink,2009,84
Wild Summer Pink,2010,0
Wild Summer Pink,2011,1343
Wild Summer Pink,2012,0
Wild Summer Pink,2013,241
Wild Summer Pink,2014,0
Wild Summer Pink,2015,0
Wild Summer Pink,2016,0
Wild Summer Pink,2017,0
Wild Summer Pink,2018,0
Wild Summer Pink,2019,0
Wild Summer Pink,2020,0
