Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,0
Wild Spring Chinook,2003,0
Wild Spring Chinook,2004,0
Wild Spring Chinook,2005,196
Wild Spring Chinook,2006,0
Wild Spring Chinook,2007,0
Wild Spring Chinook,2008,0
Wild Spring Chinook,2009,0
Wild Spring Chinook,2010,1022
Wild Spring Chinook,2011,1202
Wild Spring Chinook,2012,94
Wild Spring Chinook,2013,134
Wild Spring Chinook,2014,117
Wild Spring Chinook,2015,166
Wild Spring Chinook,2016,150
Wild Spring Chinook,2017,153
Wild Spring Chinook,2018,115
Wild Spring Chinook,2019,163
Wild Spring Chinook,2020,149
Wild Summer Chinook,1997,0
Wild Summer Chinook,1998,0
Wild Summer Chinook,1999,0
Wild Summer Chinook,2000,0
Wild Summer Chinook,2001,0
Wild Summer Chinook,2002,0
Wild Summer Chinook,2003,0
Wild Summer Chinook,2004,0
Wild Summer Chinook,2005,0
Wild Summer Chinook,2006,576
Wild Summer Chinook,2007,498
Wild Summer Chinook,2008,0
Wild Summer Chinook,2009,0
Wild Summer Chinook,2010,3079
Wild Summer Chinook,2011,1321
Wild Summer Chinook,2012,545
Wild Summer Chinook,2013,526
Wild Summer Chinook,2014,792
Wild Summer Chinook,2015,624
Wild Summer Chinook,2016,805
Wild Summer Chinook,2017,570
Wild Summer Chinook,2018,373
Wild Summer Chinook,2019,451
Wild Summer Chinook,2020,390
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,0
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,88
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,4138
Hatchery Spring Chinook,2011,2248
Hatchery Spring Chinook,2012,80
Hatchery Spring Chinook,2013,69
Hatchery Spring Chinook,2014,306
Hatchery Spring Chinook,2015,167
Hatchery Spring Chinook,2016,154
Hatchery Spring Chinook,2017,150
Hatchery Spring Chinook,2018,145
Hatchery Spring Chinook,2019,172
Hatchery Spring Chinook,2020,158
Hatchery Summer Chinook,1997,0
Hatchery Summer Chinook,1998,0
Hatchery Summer Chinook,1999,0
Hatchery Summer Chinook,2000,0
Hatchery Summer Chinook,2001,0
Hatchery Summer Chinook,2002,0
Hatchery Summer Chinook,2003,0
Hatchery Summer Chinook,2004,0
Hatchery Summer Chinook,2005,0
Hatchery Summer Chinook,2006,0
Hatchery Summer Chinook,2007,0
Hatchery Summer Chinook,2008,0
Hatchery Summer Chinook,2009,0
Hatchery Summer Chinook,2010,343
Hatchery Summer Chinook,2011,134
Hatchery Summer Chinook,2012,559
Hatchery Summer Chinook,2013,1971
Hatchery Summer Chinook,2014,481
Hatchery Summer Chinook,2015,272
Hatchery Summer Chinook,2016,526
Hatchery Summer Chinook,2017,579
Hatchery Summer Chinook,2018,548
Hatchery Summer Chinook,2019,826
Hatchery Summer Chinook,2020,570
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,0
Wild Summer Steelhead,2003,0
Wild Summer Steelhead,2004,0
Wild Summer Steelhead,2005,0
Wild Summer Steelhead,2006,0
Wild Summer Steelhead,2007,0
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,771
Wild Summer Steelhead,2011,410
Wild Summer Steelhead,2012,166
Wild Summer Steelhead,2013,157
Wild Summer Steelhead,2014,130
Wild Summer Steelhead,2015,121
Wild Summer Steelhead,2016,95
Wild Summer Steelhead,2017,122
Wild Summer Steelhead,2018,74
Wild Summer Steelhead,2019,128
Wild Summer Steelhead,2020,89
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,528
Hatchery Summer Steelhead,2011,297
Hatchery Summer Steelhead,2012,679
Hatchery Summer Steelhead,2013,134
Hatchery Summer Steelhead,2014,140
Hatchery Summer Steelhead,2015,121
Hatchery Summer Steelhead,2016,82
Hatchery Summer Steelhead,2017,98
Hatchery Summer Steelhead,2018,75
Hatchery Summer Steelhead,2019,75
Hatchery Summer Steelhead,2020,63
Wild Sockeye,1997,0
Wild Sockeye,1998,0
Wild Sockeye,1999,0
