Run,Year,Count
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,823
Hatchery Fall Chinook,2011,906
Hatchery Fall Chinook,2012,917
Hatchery Fall Chinook,2013,1617
Hatchery Fall Chinook,2014,1531
Hatchery Fall Chinook,2015,1556
Hatchery Fall Chinook,2016,605
Hatchery Fall Chinook,2017,1081
Hatchery Fall Chinook,2018,2366
Hatchery Fall Chinook,2019,1903
Hatchery Fall Chinook,2020,659
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,0
Hatchery Winter Steelhead,2001,112
Hatchery Winter Steelhead,2002,400
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,0
Hatchery Winter Steelhead,2005,0
Hatchery Winter Steelhead,2006,0
Hatchery Winter Steelhead,2007,0
Hatchery Winter Steelhead,2008,0
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,9
Hatchery Winter Steelhead,2013,30
Hatchery Winter Steelhead,2014,4
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,0
Wild Coho,2012,56
Wild Coho,2013,180
Wild Coho,2014,52
Wild Coho,2015,4
Wild Coho,2016,0
Wild Coho,2017,0
Wild Coho,2018,0
Wild Coho,2019,0
Wild Coho,2020,0
Hatchery Coho,1997,0
Hatchery Coho,1998,0
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,35
Hatchery Coho,2002,2200
Hatchery Coho,2003,0
Hatchery Coho,2004,0
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,0
Hatchery Coho,2011,0
Hatchery Coho,2012,188
Hatchery Coho,2013,665
Hatchery Coho,2014,42
Hatchery Coho,2015,0
Hatchery Coho,2016,0
Hatchery Coho,2017,106
Hatchery Coho,2018,0
Hatchery Coho,2019,0
Hatchery Coho,2020,0
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,0
Wild Chum,2000,0
Wild Chum,2001,0
Wild Chum,2002,0
Wild Chum,2003,0
Wild Chum,2004,0
Wild Chum,2005,0
Wild Chum,2006,0
Wild Chum,2007,0
Wild Chum,2008,0
Wild Chum,2009,0
Wild Chum,2010,0
Wild Chum,2011,0
Wild Chum,2012,233
Wild Chum,2013,92
Wild Chum,2014,104
Wild Chum,2015,109
Wild Chum,2016,0
Wild Chum,2017,0
Wild Chum,2018,0
Wild Chum,2019,0
Wild Chum,2020,0
