Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,465
Wild Fall Chinook,2011,472
Wild Fall Chinook,2012,150
Wild Fall Chinook,2013,89
Wild Fall Chinook,2014,144
Wild Fall Chinook,2015,728
Wild Fall Chinook,2016,449
Wild Fall Chinook,2017,777
Wild Fall Chinook,2018,1040
Wild Fall Chinook,2019,575
Wild Fall Chinook,2020,884
Hatchery Fall Chinook,1997,1528
Hatchery Fall Chinook,1998,2208
Hatchery Fall Chinook,1999,1998
Hatchery Fall Chinook,2000,2306
Hatchery Fall Chinook,2001,3148
Hatchery Fall Chinook,2002,4513
Hatchery Fall Chinook,2003,4162
Hatchery Fall Chinook,2004,7567
Hatchery Fall Chinook,2005,6618
Hatchery Fall Chinook,2006,6796
Hatchery Fall Chinook,2007,3877
Hatchery Fall Chinook,2008,3941
Hatchery Fall Chinook,2009,4843
Hatchery Fall Chinook,2010,5530
Hatchery Fall Chinook,2011,5145
Hatchery Fall Chinook,2012,2431
Hatchery Fall Chinook,2013,2723
Hatchery Fall Chinook,2014,5121
Hatchery Fall Chinook,2015,14156
Hatchery Fall Chinook,2016,4532
Hatchery Fall Chinook,2017,7098
Hatchery Fall Chinook,2018,7623
Hatchery Fall Chinook,2019,2299
Hatchery Fall Chinook,2020,1241
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,0
Wild Winter Steelhead,1999,0
Wild Winter Steelhead,2000,0
Wild Winter Steelhead,2001,0
Wild Winter Steelhead,2002,7
Wild Winter Steelhead,2003,14
Wild Winter Steelhead,2004,138
Wild Winter Steelhead,2005,20
Wild Winter Steelhead,2006,62
Wild Winter Steelhead,2007,12
Wild Winter Steelhead,2008,13
Wild Winter Steelhead,2009,6
Wild Winter Steelhead,2010,14
Wild Winter Steelhead,2011,8
Wild Winter Steelhead,2012,13
Wild Winter Steelhead,2013,8
Wild Winter Steelhead,2014,3
Wild Winter Steelhead,2015,25
Wild Winter Steelhead,2016,6
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Hatchery Winter Steelhead,1997,18
Hatchery Winter Steelhead,1998,120
Hatchery Winter Steelhead,1999,61
Hatchery Winter Steelhead,2000,305
Hatchery Winter Steelhead,2001,359
Hatchery Winter Steelhead,2002,321
Hatchery Winter Steelhead,2003,655
Hatchery Winter Steelhead,2004,996
Hatchery Winter Steelhead,2005,748
Hatchery Winter Steelhead,2006,1091
Hatchery Winter Steelhead,2007,775
Hatchery Winter Steelhead,2008,531
Hatchery Winter Steelhead,2009,288
Hatchery Winter Steelhead,2010,1438
Hatchery Winter Steelhead,2011,529
Hatchery Winter Steelhead,2012,873
Hatchery Winter Steelhead,2013,395
Hatchery Winter Steelhead,2014,512
Hatchery Winter Steelhead,2015,1037
Hatchery Winter Steelhead,2016,1037
Hatchery Winter Steelhead,2017,576
Hatchery Winter Steelhead,2018,458
Hatchery Winter Steelhead,2019,310
Hatchery Winter Steelhead,2020,532
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,168
Wild Coho,2004,70
Wild Coho,2005,46
Wild Coho,2006,242
Wild Coho,2007,74
Wild Coho,2008,94
Wild Coho,2009,91
Wild Coho,2010,82
Wild Coho,2011,248
Wild Coho,2012,117
Wild Coho,2013,182
Wild Coho,2014,271
Wild Coho,2015,100
Wild Coho,2016,177
Wild Coho,2017,198
Wild Coho,2018,51
Wild Coho,2019,334
Wild Coho,2020,1943
Wild Late Coho,1997,0
Wild Late Coho,1998,0
Wild Late Coho,1999,0
Wild Late Coho,2000,0
Wild Late Coho,2001,0
Wild Late Coho,2002,61
Wild Late Coho,2003,99
Wild Late Coho,2004,166
Wild Late Coho,2005,94
Wild Late Coho,2006,71
Wild Late Coho,2007,33
Wild Late Coho,2008,89
Wild Late Coho,2009,214
Wild Late Coho,2010,156
Wild Late Coho,2011,94
Wild Late Coho,2012,111
Wild Late Coho,2013,171
Wild Late Coho,2014,421
Wild Late Coho,2015,125
Wild Late Coho,2016,84
Wild Late Coho,2017,88
Wild Late Coho,2018,98
Wild Late Coho,2019,408
Wild Late Coho,2020,175
Hatchery Coho,1997,2220
Hatchery Coho,1998,2079
Hatchery Coho,1999,8872
Hatchery Coho,2000,13713
Hatchery Coho,2001,15464
Hatchery Coho,2002,13638
Hatchery Coho,2003,14599
Hatchery Coho,2004,6361
Hatchery Coho,2005,18313
Hatchery Coho,2006,2842
Hatchery Coho,2007,3778
Hatchery Coho,2008,2824
Hatchery Coho,2009,6967
Hatchery Coho,2010,7768
Hatchery Coho,2011,6386
Hatchery Coho,2012,2099
Hatchery Coho,2013,1867
Hatchery Coho,2014,18304
Hatchery Coho,2015,2879
Hatchery Coho,2016,4827
Hatchery Coho,2017,2317
Hatchery Coho,2018,2774
Hatchery Coho,2019,7378
Hatchery Coho,2020,9733
Hatchery Late Coho,1997,70
Hatchery Late Coho,1998,100
Hatchery Late Coho,1999,468
Hatchery Late Coho,2000,1772
Hatchery Late Coho,2001,756
Hatchery Late Coho,2002,2879
Hatchery Late Coho,2003,2469
Hatchery Late Coho,2004,1565
Hatchery Late Coho,2005,611
Hatchery Late Coho,2006,498
Hatchery Late Coho,2007,294
Hatchery Late Coho,2008,530
Hatchery Late Coho,2009,380
Hatchery Late Coho,2010,2620
Hatchery Late Coho,2011,634
Hatchery Late Coho,2012,677
Hatchery Late Coho,2013,367
Hatchery Late Coho,2014,3261
Hatchery Late Coho,2015,1563
Hatchery Late Coho,2016,2561
