Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,0
Wild Fall Chinook,2012,0
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,0
Wild Fall Chinook,2015,0
Wild Fall Chinook,2016,0
Wild Fall Chinook,2017,0
Wild Fall Chinook,2018,0
Wild Fall Chinook,2019,0
Wild Fall Chinook,2020,62
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,0
Hatchery Fall Chinook,2011,0
Hatchery Fall Chinook,2012,0
Hatchery Fall Chinook,2013,0
Hatchery Fall Chinook,2014,0
Hatchery Fall Chinook,2015,0
Hatchery Fall Chinook,2016,0
Hatchery Fall Chinook,2017,0
Hatchery Fall Chinook,2018,0
Hatchery Fall Chinook,2019,0
Hatchery Fall Chinook,2020,292
Wild Type N Coho,1997,0
Wild Type N Coho,1998,0
Wild Type N Coho,1999,0
Wild Type N Coho,2000,0
Wild Type N Coho,2001,0
Wild Type N Coho,2002,0
Wild Type N Coho,2003,0
Wild Type N Coho,2004,0
Wild Type N Coho,2005,0
Wild Type N Coho,2006,0
Wild Type N Coho,2007,0
Wild Type N Coho,2008,0
Wild Type N Coho,2009,0
Wild Type N Coho,2010,0
Wild Type N Coho,2011,0
Wild Type N Coho,2012,0
Wild Type N Coho,2013,0
Wild Type N Coho,2014,0
Wild Type N Coho,2015,0
Wild Type N Coho,2016,0
Wild Type N Coho,2017,0
Wild Type N Coho,2018,0
Wild Type N Coho,2019,0
Wild Type N Coho,2020,1091
Hatchery Type S Coho,1997,0
Hatchery Type S Coho,1998,0
Hatchery Type S Coho,1999,0
Hatchery Type S Coho,2000,0
Hatchery Type S Coho,2001,0
Hatchery Type S Coho,2002,0
Hatchery Type S Coho,2003,0
Hatchery Type S Coho,2004,0
Hatchery Type S Coho,2005,0
Hatchery Type S Coho,2006,0
Hatchery Type S Coho,2007,0
Hatchery Type S Coho,2008,0
Hatchery Type S Coho,2009,0
Hatchery Type S Coho,2010,0
Hatchery Type S Coho,2011,0
Hatchery Type S Coho,2012,0
Hatchery Type S Coho,2013,0
Hatchery Type S Coho,2014,0
Hatchery Type S Coho,2015,0
Hatchery Type S Coho,2016,0
Hatchery Type S Coho,2017,0
Hatchery Type S Coho,2018,0
Hatchery Type S Coho,2019,0
Hatchery Type S Coho,2020,1366
Unknown Chum,1997,0
Unknown Chum,1998,0
Unknown Chum,1999,0
Unknown Chum,2000,0
Unknown Chum,2001,0
Unknown Chum,2002,0
Unknown Chum,2003,0
Unknown Chum,2004,0
Unknown Chum,2005,0
Unknown Chum,2006,0
Unknown Chum,2007,0
Unknown Chum,2008,0
Unknown Chum,2009,0
Unknown Chum,2010,0
Unknown Chum,2011,0
Unknown Chum,2012,0
Unknown Chum,2013,0
Unknown Chum,2014,0
Unknown Chum,2015,0
Unknown Chum,2016,0
Unknown Chum,2017,0
Unknown Chum,2018,0
Unknown Chum,2019,0
Unknown Chum,2020,697
