Run,Year,Count
Hatchery Fall Chinook,1997,1453
Hatchery Fall Chinook,1998,1576
Hatchery Fall Chinook,1999,560
Hatchery Fall Chinook,2000,350
Hatchery Fall Chinook,2001,508
Hatchery Fall Chinook,2002,720
Hatchery Fall Chinook,2003,816
Hatchery Fall Chinook,2004,1230
Hatchery Fall Chinook,2005,1306
Hatchery Fall Chinook,2006,1023
Hatchery Fall Chinook,2007,710
Hatchery Fall Chinook,2008,168
Hatchery Fall Chinook,2009,57
Hatchery Fall Chinook,2010,166
Hatchery Fall Chinook,2011,175
Hatchery Fall Chinook,2012,141
Hatchery Fall Chinook,2013,70
Hatchery Fall Chinook,2014,128
Hatchery Fall Chinook,2015,49
Hatchery Fall Chinook,2016,190
Hatchery Fall Chinook,2017,58
Hatchery Fall Chinook,2018,184
Hatchery Fall Chinook,2019,264
Hatchery Fall Chinook,2020,350
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,6
Wild Coho,2011,35
Wild Coho,2012,20
Wild Coho,2013,8
Wild Coho,2014,18
Wild Coho,2015,9
Wild Coho,2016,163
Wild Coho,2017,7
Wild Coho,2018,30
Wild Coho,2019,57
Wild Coho,2020,242
Hatchery Coho,1997,3845
Hatchery Coho,1998,1355
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,355
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,1051
Hatchery Coho,2005,0
Hatchery Coho,2006,0
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,56
Hatchery Coho,2011,59
Hatchery Coho,2012,6
Hatchery Coho,2013,30
Hatchery Coho,2014,23
Hatchery Coho,2015,2
Hatchery Coho,2016,17
Hatchery Coho,2017,1
Hatchery Coho,2018,9
Hatchery Coho,2019,11
Hatchery Coho,2020,30
Wild Late Chum,1997,0
Wild Late Chum,1998,0
Wild Late Chum,1999,0
Wild Late Chum,2000,0
Wild Late Chum,2001,2841
Wild Late Chum,2002,1247
Wild Late Chum,2003,1078
Wild Late Chum,2004,2636
Wild Late Chum,2005,104
Wild Late Chum,2006,443
Wild Late Chum,2007,1594
Wild Late Chum,2008,1358
Wild Late Chum,2009,2
Wild Late Chum,2010,40
Wild Late Chum,2011,0
Wild Late Chum,2012,0
Wild Late Chum,2013,0
Wild Late Chum,2014,0
Wild Late Chum,2015,0
Wild Late Chum,2016,0
Wild Late Chum,2017,0
Wild Late Chum,2018,0
Wild Late Chum,2019,0
Wild Late Chum,2020,0
Hatchery Late Chum,1997,734
Hatchery Late Chum,1998,2244
Hatchery Late Chum,1999,118
Hatchery Late Chum,2000,26
Hatchery Late Chum,2001,0
Hatchery Late Chum,2002,0
Hatchery Late Chum,2003,0
Hatchery Late Chum,2004,0
Hatchery Late Chum,2005,0
Hatchery Late Chum,2006,0
Hatchery Late Chum,2007,0
Hatchery Late Chum,2008,0
Hatchery Late Chum,2009,0
Hatchery Late Chum,2010,0
Hatchery Late Chum,2011,0
Hatchery Late Chum,2012,0
Hatchery Late Chum,2013,0
Hatchery Late Chum,2014,0
Hatchery Late Chum,2015,0
Hatchery Late Chum,2016,0
Hatchery Late Chum,2017,0
Hatchery Late Chum,2018,0
Hatchery Late Chum,2019,0
Hatchery Late Chum,2020,0
