Run,Year,Count
Hatchery Fall Chinook,1997,1835
Hatchery Fall Chinook,1998,6279
Hatchery Fall Chinook,1999,8297
Hatchery Fall Chinook,2000,4055
Hatchery Fall Chinook,2001,8816
Hatchery Fall Chinook,2002,8396
Hatchery Fall Chinook,2003,10028
Hatchery Fall Chinook,2004,12278
Hatchery Fall Chinook,2005,16018
Hatchery Fall Chinook,2006,12350
Hatchery Fall Chinook,2007,13275
Hatchery Fall Chinook,2008,13695
Hatchery Fall Chinook,2009,13220
Hatchery Fall Chinook,2010,12895
Hatchery Fall Chinook,2011,14835
Hatchery Fall Chinook,2012,22873
Hatchery Fall Chinook,2013,21452
Hatchery Fall Chinook,2014,6227
Hatchery Fall Chinook,2015,6032
Hatchery Fall Chinook,2016,22076
Hatchery Fall Chinook,2017,35129
Hatchery Fall Chinook,2018,23796
Hatchery Fall Chinook,2019,12111
Hatchery Fall Chinook,2020,3411
Hatchery Coho,1997,11500
Hatchery Coho,1998,2958
Hatchery Coho,1999,7335
Hatchery Coho,2000,9457
Hatchery Coho,2001,23006
Hatchery Coho,2002,24762
Hatchery Coho,2003,16721
Hatchery Coho,2004,15372
Hatchery Coho,2005,19050
Hatchery Coho,2006,1726
Hatchery Coho,2007,6371
Hatchery Coho,2008,4458
Hatchery Coho,2009,4170
Hatchery Coho,2010,1566
Hatchery Coho,2011,7014
Hatchery Coho,2012,4228
Hatchery Coho,2013,7840
Hatchery Coho,2014,1771
Hatchery Coho,2015,2719
Hatchery Coho,2016,5174
Hatchery Coho,2017,9756
Hatchery Coho,2018,4813
Hatchery Coho,2019,5477
Hatchery Coho,2020,9121
Hatchery Chum,1997,7176
Hatchery Chum,1998,25157
Hatchery Chum,1999,4620
Hatchery Chum,2000,1589
Hatchery Chum,2001,36962
Hatchery Chum,2002,48200
Hatchery Chum,2003,82501
Hatchery Chum,2004,15130
Hatchery Chum,2005,12749
Hatchery Chum,2006,26050
Hatchery Chum,2007,28600
Hatchery Chum,2008,7474
Hatchery Chum,2009,9132
Hatchery Chum,2010,1919
Hatchery Chum,2011,3922
Hatchery Chum,2012,4563
Hatchery Chum,2013,12514
Hatchery Chum,2014,1710
Hatchery Chum,2015,7872
Hatchery Chum,2016,0
Hatchery Chum,2017,0
Hatchery Chum,2018,0
Hatchery Chum,2019,0
Hatchery Chum,2020,0
