Run,Year,Count
Hatchery Fall Chinook,1997,5503
Hatchery Fall Chinook,1998,5968
Hatchery Fall Chinook,1999,10125
Hatchery Fall Chinook,2000,4841
Hatchery Fall Chinook,2001,4143
Hatchery Fall Chinook,2002,4789
Hatchery Fall Chinook,2003,3529
Hatchery Fall Chinook,2004,3232
Hatchery Fall Chinook,2005,3151
Hatchery Fall Chinook,2006,2875
Hatchery Fall Chinook,2007,2449
Hatchery Fall Chinook,2008,1348
Hatchery Fall Chinook,2009,2822
Hatchery Fall Chinook,2010,1072
Hatchery Fall Chinook,2011,662
Hatchery Fall Chinook,2012,5387
Hatchery Fall Chinook,2013,2379
Hatchery Fall Chinook,2014,1899
Hatchery Fall Chinook,2015,2157
Hatchery Fall Chinook,2016,3331
Hatchery Fall Chinook,2017,3404
Hatchery Fall Chinook,2018,2639
Hatchery Fall Chinook,2019,898
Hatchery Fall Chinook,2020,379
Hatchery Coho,1997,375
Hatchery Coho,1998,118
Hatchery Coho,1999,55
Hatchery Coho,2000,15
Hatchery Coho,2001,959
Hatchery Coho,2002,184
Hatchery Coho,2003,17
Hatchery Coho,2004,54
Hatchery Coho,2005,33
Hatchery Coho,2006,214
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,0
Hatchery Coho,2011,0
Hatchery Coho,2012,0
Hatchery Coho,2013,0
Hatchery Coho,2014,0
Hatchery Coho,2015,0
Hatchery Coho,2016,57
Hatchery Coho,2017,20
Hatchery Coho,2018,19
Hatchery Coho,2019,49
Hatchery Coho,2020,30
Unknown Coho,1997,0
Unknown Coho,1998,0
Unknown Coho,1999,0
Unknown Coho,2000,0
Unknown Coho,2001,0
Unknown Coho,2002,0
Unknown Coho,2003,0
Unknown Coho,2004,0
Unknown Coho,2005,0
Unknown Coho,2006,0
Unknown Coho,2007,4
Unknown Coho,2008,18
Unknown Coho,2009,4
Unknown Coho,2010,49
Unknown Coho,2011,154
Unknown Coho,2012,190
Unknown Coho,2013,67
Unknown Coho,2014,164
Unknown Coho,2015,66
Unknown Coho,2016,0
Unknown Coho,2017,0
Unknown Coho,2018,0
Unknown Coho,2019,0
Unknown Coho,2020,0
Hatchery Chum,1997,40724
Hatchery Chum,1998,0
Hatchery Chum,1999,1
Hatchery Chum,2000,0
Hatchery Chum,2001,60246
Hatchery Chum,2002,92614
Hatchery Chum,2003,25246
Hatchery Chum,2004,16776
Hatchery Chum,2005,14907
Hatchery Chum,2006,13217
Hatchery Chum,2007,8384
Hatchery Chum,2008,7254
Hatchery Chum,2009,8391
Hatchery Chum,2010,14966
Hatchery Chum,2011,11588
Hatchery Chum,2012,10663
Hatchery Chum,2013,11514
Hatchery Chum,2014,21676
Hatchery Chum,2015,21267
Hatchery Chum,2016,0
Hatchery Chum,2017,0
Hatchery Chum,2018,0
Hatchery Chum,2019,0
Hatchery Chum,2020,0
Hatchery Fall Chum,1997,0
Hatchery Fall Chum,1998,52598
Hatchery Fall Chum,1999,25709
Hatchery Fall Chum,2000,20665
Hatchery Fall Chum,2001,0
Hatchery Fall Chum,2002,0
Hatchery Fall Chum,2003,0
Hatchery Fall Chum,2004,0
Hatchery Fall Chum,2005,0
Hatchery Fall Chum,2006,0
Hatchery Fall Chum,2007,0
