Run,Year,Count
Hatchery Fall Chinook,1997,320
Hatchery Fall Chinook,1998,294
Hatchery Fall Chinook,1999,278
Hatchery Fall Chinook,2000,171
Hatchery Fall Chinook,2001,175
Hatchery Fall Chinook,2002,405
Hatchery Fall Chinook,2003,614
Hatchery Fall Chinook,2004,474
Hatchery Fall Chinook,2005,770
Hatchery Fall Chinook,2006,1476
Hatchery Fall Chinook,2007,363
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,467
Hatchery Fall Chinook,2010,277
Hatchery Fall Chinook,2011,727
Hatchery Fall Chinook,2012,617
Hatchery Fall Chinook,2013,331
Hatchery Fall Chinook,2014,1256
Hatchery Fall Chinook,2015,1361
Hatchery Fall Chinook,2016,627
Hatchery Fall Chinook,2017,1489
Hatchery Fall Chinook,2018,650
Hatchery Fall Chinook,2019,801
Hatchery Fall Chinook,2020,625
Hatchery Summer Steelhead,1997,27
Hatchery Summer Steelhead,1998,246
Hatchery Summer Steelhead,1999,18
Hatchery Summer Steelhead,2000,164
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,11
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,39
Hatchery Summer Steelhead,2007,80
Hatchery Summer Steelhead,2008,72
Hatchery Summer Steelhead,2009,112
Hatchery Summer Steelhead,2010,50
Hatchery Summer Steelhead,2011,75
Hatchery Summer Steelhead,2012,125
Hatchery Summer Steelhead,2013,67
Hatchery Summer Steelhead,2014,128
Hatchery Summer Steelhead,2015,176
Hatchery Summer Steelhead,2016,354
Hatchery Summer Steelhead,2017,140
Hatchery Summer Steelhead,2018,502
Hatchery Summer Steelhead,2019,63
Hatchery Summer Steelhead,2020,167
Hatchery Winter Steelhead,1997,134
Hatchery Winter Steelhead,1998,818
Hatchery Winter Steelhead,1999,776
Hatchery Winter Steelhead,2000,640
Hatchery Winter Steelhead,2001,487
Hatchery Winter Steelhead,2002,1327
Hatchery Winter Steelhead,2003,1392
Hatchery Winter Steelhead,2004,1079
Hatchery Winter Steelhead,2005,478
Hatchery Winter Steelhead,2006,1455
Hatchery Winter Steelhead,2007,578
Hatchery Winter Steelhead,2008,94
Hatchery Winter Steelhead,2009,176
Hatchery Winter Steelhead,2010,351
Hatchery Winter Steelhead,2011,488
Hatchery Winter Steelhead,2012,1261
Hatchery Winter Steelhead,2013,695
Hatchery Winter Steelhead,2014,729
Hatchery Winter Steelhead,2015,1464
Hatchery Winter Steelhead,2016,861
Hatchery Winter Steelhead,2017,650
Hatchery Winter Steelhead,2018,1232
Hatchery Winter Steelhead,2019,258
Hatchery Winter Steelhead,2020,628
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,75
Wild Coho,2011,135
Wild Coho,2012,28
Wild Coho,2013,193
Wild Coho,2014,107
Wild Coho,2015,19
Wild Coho,2016,10
Wild Coho,2017,18
Wild Coho,2018,57
Wild Coho,2019,96
Wild Coho,2020,37
Wild Late Coho,1997,0
Wild Late Coho,1998,0
Wild Late Coho,1999,0
Wild Late Coho,2000,0
Wild Late Coho,2001,0
Wild Late Coho,2002,0
Wild Late Coho,2003,0
Wild Late Coho,2004,0
Wild Late Coho,2005,0
Wild Late Coho,2006,0
Wild Late Coho,2007,0
Wild Late Coho,2008,0
Wild Late Coho,2009,0
Wild Late Coho,2010,15
Wild Late Coho,2011,65
Wild Late Coho,2012,52
Wild Late Coho,2013,27
Wild Late Coho,2014,248
Wild Late Coho,2015,118
Wild Late Coho,2016,15
Wild Late Coho,2017,25
Wild Late Coho,2018,55
Wild Late Coho,2019,35
Wild Late Coho,2020,36
Hatchery Coho,1997,6651
Hatchery Coho,1998,0
Hatchery Coho,1999,15005
Hatchery Coho,2000,9892
Hatchery Coho,2001,26356
Hatchery Coho,2002,10361
Hatchery Coho,2003,29185
Hatchery Coho,2004,34845
Hatchery Coho,2005,34329
Hatchery Coho,2006,6000
Hatchery Coho,2007,6000
Hatchery Coho,2008,0
Hatchery Coho,2009,17900
Hatchery Coho,2010,24353
Hatchery Coho,2011,6053
Hatchery Coho,2012,8588
Hatchery Coho,2013,6831
Hatchery Coho,2014,9259
Hatchery Coho,2015,1354
Hatchery Coho,2016,4642
Hatchery Coho,2017,4200
Hatchery Coho,2018,5866
Hatchery Coho,2019,2523
Hatchery Coho,2020,2789
Hatchery Late Coho,1997,285
Hatchery Late Coho,1998,2261
Hatchery Late Coho,1999,571
Hatchery Late Coho,2000,1
Hatchery Late Coho,2001,1878
Hatchery Late Coho,2002,3224
Hatchery Late Coho,2003,80
Hatchery Late Coho,2004,2047
Hatchery Late Coho,2005,1192
Hatchery Late Coho,2006,962
Hatchery Late Coho,2007,758
Hatchery Late Coho,2008,298
Hatchery Late Coho,2009,5080
Hatchery Late Coho,2010,2560
Hatchery Late Coho,2011,3456
Hatchery Late Coho,2012,1699
Hatchery Late Coho,2013,1119
Hatchery Late Coho,2014,1343
Hatchery Late Coho,2015,1026
Hatchery Late Coho,2016,570
Hatchery Late Coho,2017,200
Hatchery Late Coho,2018,358
Hatchery Late Coho,2019,150
Hatchery Late Coho,2020,274
