Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,0
Wild Spring Chinook,2003,0
Wild Spring Chinook,2004,76
Wild Spring Chinook,2005,122
Wild Spring Chinook,2006,0
Wild Spring Chinook,2007,0
Wild Spring Chinook,2008,0
Wild Spring Chinook,2009,0
Wild Spring Chinook,2010,0
Wild Spring Chinook,2011,0
Wild Spring Chinook,2012,0
Wild Spring Chinook,2013,30
Wild Spring Chinook,2014,19
Wild Spring Chinook,2015,47
Wild Spring Chinook,2016,39
Wild Spring Chinook,2017,42
Wild Spring Chinook,2018,32
Wild Spring Chinook,2019,35
Wild Spring Chinook,2020,30
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,0
Hatchery Spring Chinook,2004,0
Hatchery Spring Chinook,2005,0
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,0
Hatchery Spring Chinook,2008,0
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,62
Hatchery Spring Chinook,2014,106
Hatchery Spring Chinook,2015,122
Hatchery Spring Chinook,2016,89
Hatchery Spring Chinook,2017,132
Hatchery Spring Chinook,2018,140
Hatchery Spring Chinook,2019,104
Hatchery Spring Chinook,2020,72
Wild Fall Pink,1997,171
Wild Fall Pink,1998,0
Wild Fall Pink,1999,0
Wild Fall Pink,2000,0
Wild Fall Pink,2001,876
Wild Fall Pink,2002,0
Wild Fall Pink,2003,0
Wild Fall Pink,2004,0
Wild Fall Pink,2005,0
Wild Fall Pink,2006,0
Wild Fall Pink,2007,0
Wild Fall Pink,2008,0
Wild Fall Pink,2009,0
Wild Fall Pink,2010,0
Wild Fall Pink,2011,0
Wild Fall Pink,2012,0
Wild Fall Pink,2013,0
Wild Fall Pink,2014,0
Wild Fall Pink,2015,0
Wild Fall Pink,2016,0
Wild Fall Pink,2017,0
Wild Fall Pink,2018,0
Wild Fall Pink,2019,0
Wild Fall Pink,2020,0
