Run,Year,Count
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,0
Hatchery Summer Steelhead,1999,0
Hatchery Summer Steelhead,2000,0
Hatchery Summer Steelhead,2001,0
Hatchery Summer Steelhead,2002,0
Hatchery Summer Steelhead,2003,0
Hatchery Summer Steelhead,2004,0
Hatchery Summer Steelhead,2005,0
Hatchery Summer Steelhead,2006,0
Hatchery Summer Steelhead,2007,0
Hatchery Summer Steelhead,2008,0
Hatchery Summer Steelhead,2009,0
Hatchery Summer Steelhead,2010,0
Hatchery Summer Steelhead,2011,0
Hatchery Summer Steelhead,2012,21
Hatchery Summer Steelhead,2013,36
Hatchery Summer Steelhead,2014,17
Hatchery Summer Steelhead,2015,0
Hatchery Summer Steelhead,2016,0
Hatchery Summer Steelhead,2017,45
Hatchery Summer Steelhead,2018,0
Hatchery Summer Steelhead,2019,0
Hatchery Summer Steelhead,2020,44
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,0
Hatchery Winter Steelhead,2001,0
Hatchery Winter Steelhead,2002,0
Hatchery Winter Steelhead,2003,0
Hatchery Winter Steelhead,2004,0
Hatchery Winter Steelhead,2005,0
Hatchery Winter Steelhead,2006,0
Hatchery Winter Steelhead,2007,0
Hatchery Winter Steelhead,2008,0
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,4
Hatchery Winter Steelhead,2013,35
Hatchery Winter Steelhead,2014,42
Hatchery Winter Steelhead,2015,14
Hatchery Winter Steelhead,2016,52
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
