Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,116
Wild Fall Chinook,2011,134
Wild Fall Chinook,2012,302
Wild Fall Chinook,2013,134
Wild Fall Chinook,2014,100
Wild Fall Chinook,2015,243
Wild Fall Chinook,2016,154
Wild Fall Chinook,2017,136
Wild Fall Chinook,2018,47
Wild Fall Chinook,2019,30
Wild Fall Chinook,2020,34
Hatchery Fall Chinook,1997,3815
Hatchery Fall Chinook,1998,4867
Hatchery Fall Chinook,1999,2189
Hatchery Fall Chinook,2000,3686
Hatchery Fall Chinook,2001,10451
Hatchery Fall Chinook,2002,5620
Hatchery Fall Chinook,2003,5742
Hatchery Fall Chinook,2004,12771
Hatchery Fall Chinook,2005,6840
Hatchery Fall Chinook,2006,8913
Hatchery Fall Chinook,2007,13432
Hatchery Fall Chinook,2008,3007
Hatchery Fall Chinook,2009,2280
Hatchery Fall Chinook,2010,3040
Hatchery Fall Chinook,2011,2820
Hatchery Fall Chinook,2012,4190
Hatchery Fall Chinook,2013,2536
Hatchery Fall Chinook,2014,1773
Hatchery Fall Chinook,2015,3130
Hatchery Fall Chinook,2016,2442
Hatchery Fall Chinook,2017,3185
Hatchery Fall Chinook,2018,1739
Hatchery Fall Chinook,2019,2046
Hatchery Fall Chinook,2020,2269
Wild Sockeye,1997,113
Wild Sockeye,1998,194
Wild Sockeye,1999,35
Wild Sockeye,2000,8466
Wild Sockeye,2001,853
Wild Sockeye,2002,51
Wild Sockeye,2003,75
Wild Sockeye,2004,648
Wild Sockeye,2005,174
Wild Sockeye,2006,14
Wild Sockeye,2007,4
Wild Sockeye,2008,30
Wild Sockeye,2009,7
Wild Sockeye,2010,10
Wild Sockeye,2011,10
Wild Sockeye,2012,0
Wild Sockeye,2013,193
Wild Sockeye,2014,2
Wild Sockeye,2015,2
Wild Sockeye,2016,0
Wild Sockeye,2017,0
Wild Sockeye,2018,0
Wild Sockeye,2019,0
Wild Sockeye,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,14
Wild Coho,2011,157
Wild Coho,2012,263
Wild Coho,2013,70
Wild Coho,2014,115
Wild Coho,2015,110
Wild Coho,2016,19
Wild Coho,2017,95
Wild Coho,2018,33
Wild Coho,2019,104
Wild Coho,2020,74
Hatchery Coho,1997,7961
Hatchery Coho,1998,3384
Hatchery Coho,1999,2963
Hatchery Coho,2000,27225
Hatchery Coho,2001,35259
Hatchery Coho,2002,1284
Hatchery Coho,2003,5593
Hatchery Coho,2004,20617
Hatchery Coho,2005,8704
Hatchery Coho,2006,8698
Hatchery Coho,2007,3272
Hatchery Coho,2008,4175
Hatchery Coho,2009,13812
Hatchery Coho,2010,346
Hatchery Coho,2011,4606
Hatchery Coho,2012,10202
Hatchery Coho,2013,10267
Hatchery Coho,2014,14799
Hatchery Coho,2015,1883
Hatchery Coho,2016,3905
Hatchery Coho,2017,3465
Hatchery Coho,2018,4005
Hatchery Coho,2019,6254
Hatchery Coho,2020,4085
