Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,132
Wild Spring Chinook,2003,214
Wild Spring Chinook,2004,284
Wild Spring Chinook,2005,405
Wild Spring Chinook,2006,148
Wild Spring Chinook,2007,44
Wild Spring Chinook,2008,78
Wild Spring Chinook,2009,98
Wild Spring Chinook,2010,54
Wild Spring Chinook,2011,172
Wild Spring Chinook,2012,81
Wild Spring Chinook,2013,112
Wild Spring Chinook,2014,56
Wild Spring Chinook,2015,31
Wild Spring Chinook,2016,28
Wild Spring Chinook,2017,56
Wild Spring Chinook,2018,61
Wild Spring Chinook,2019,50
Wild Spring Chinook,2020,91
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,229
Wild Fall Chinook,2011,248
Wild Fall Chinook,2012,78
Wild Fall Chinook,2013,336
Wild Fall Chinook,2014,461
Wild Fall Chinook,2015,424
Wild Fall Chinook,2016,204
Wild Fall Chinook,2017,190
Wild Fall Chinook,2018,537
Wild Fall Chinook,2019,640
Wild Fall Chinook,2020,918
Hatchery Spring Chinook,1997,375
Hatchery Spring Chinook,1998,364
Hatchery Spring Chinook,1999,754
Hatchery Spring Chinook,2000,988
Hatchery Spring Chinook,2001,834
Hatchery Spring Chinook,2002,1341
Hatchery Spring Chinook,2003,3667
Hatchery Spring Chinook,2004,3376
Hatchery Spring Chinook,2005,2735
Hatchery Spring Chinook,2006,4242
Hatchery Spring Chinook,2007,4729
Hatchery Spring Chinook,2008,940
Hatchery Spring Chinook,2009,170
Hatchery Spring Chinook,2010,525
Hatchery Spring Chinook,2011,282
Hatchery Spring Chinook,2012,285
Hatchery Spring Chinook,2013,855
Hatchery Spring Chinook,2014,858
Hatchery Spring Chinook,2015,2648
Hatchery Spring Chinook,2016,2838
Hatchery Spring Chinook,2017,2002
Hatchery Spring Chinook,2018,1195
Hatchery Spring Chinook,2019,672
Hatchery Spring Chinook,2020,840
Hatchery Fall Chinook,1997,8122
Hatchery Fall Chinook,1998,6307
Hatchery Fall Chinook,1999,3195
Hatchery Fall Chinook,2000,2451
Hatchery Fall Chinook,2001,3561
Hatchery Fall Chinook,2002,4541
Hatchery Fall Chinook,2003,6790
Hatchery Fall Chinook,2004,4868
Hatchery Fall Chinook,2005,4870
Hatchery Fall Chinook,2006,5112
Hatchery Fall Chinook,2007,5126
Hatchery Fall Chinook,2008,7233
Hatchery Fall Chinook,2009,4028
Hatchery Fall Chinook,2010,1517
Hatchery Fall Chinook,2011,2286
Hatchery Fall Chinook,2012,1123
Hatchery Fall Chinook,2013,1549
Hatchery Fall Chinook,2014,4791
Hatchery Fall Chinook,2015,233
Hatchery Fall Chinook,2016,316
Hatchery Fall Chinook,2017,83
Hatchery Fall Chinook,2018,93
Hatchery Fall Chinook,2019,308
Hatchery Fall Chinook,2020,33
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,76
Wild Summer Steelhead,1999,168
Wild Summer Steelhead,2000,303
Wild Summer Steelhead,2001,438
Wild Summer Steelhead,2002,966
Wild Summer Steelhead,2003,589
Wild Summer Steelhead,2004,470
Wild Summer Steelhead,2005,485
Wild Summer Steelhead,2006,405
Wild Summer Steelhead,2007,321
Wild Summer Steelhead,2008,331
Wild Summer Steelhead,2009,354
Wild Summer Steelhead,2010,452
Wild Summer Steelhead,2011,578
Wild Summer Steelhead,2012,467
Wild Summer Steelhead,2013,335
Wild Summer Steelhead,2014,597
Wild Summer Steelhead,2015,678
Wild Summer Steelhead,2016,586
Wild Summer Steelhead,2017,259
Wild Summer Steelhead,2018,349
Wild Summer Steelhead,2019,127
Wild Summer Steelhead,2020,212
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,24
Wild Winter Steelhead,1999,46
Wild Winter Steelhead,2000,849
Wild Winter Steelhead,2001,1002
Wild Winter Steelhead,2002,1457
Wild Winter Steelhead,2003,1721
Wild Winter Steelhead,2004,2199
Wild Winter Steelhead,2005,1788
Wild Winter Steelhead,2006,1567
Wild Winter Steelhead,2007,859
Wild Winter Steelhead,2008,670
Wild Winter Steelhead,2009,856
Wild Winter Steelhead,2010,907
Wild Winter Steelhead,2011,501
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,0
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
