Run,Year,Count
Hatchery Spring Chinook,1997,1383
Hatchery Spring Chinook,1998,1208
Hatchery Spring Chinook,1999,2892
Hatchery Spring Chinook,2000,1910
Hatchery Spring Chinook,2001,5345
Hatchery Spring Chinook,2002,5637
Hatchery Spring Chinook,2003,5041
Hatchery Spring Chinook,2004,3501
Hatchery Spring Chinook,2005,1522
Hatchery Spring Chinook,2006,734
Hatchery Spring Chinook,2007,600
Hatchery Spring Chinook,2008,1201
Hatchery Spring Chinook,2009,726
Hatchery Spring Chinook,2010,1227
Hatchery Spring Chinook,2011,1257
Hatchery Spring Chinook,2012,1176
Hatchery Spring Chinook,2013,2236
Hatchery Spring Chinook,2014,1983
Hatchery Spring Chinook,2015,2919
Hatchery Spring Chinook,2016,1690
Hatchery Spring Chinook,2017,2252
Hatchery Spring Chinook,2018,2031
Hatchery Spring Chinook,2019,1918
Hatchery Spring Chinook,2020,1401
Hatchery Winter Steelhead,1997,0
Hatchery Winter Steelhead,1998,0
Hatchery Winter Steelhead,1999,0
Hatchery Winter Steelhead,2000,1
Hatchery Winter Steelhead,2001,84
Hatchery Winter Steelhead,2002,128
Hatchery Winter Steelhead,2003,35
Hatchery Winter Steelhead,2004,163
Hatchery Winter Steelhead,2005,275
Hatchery Winter Steelhead,2006,244
Hatchery Winter Steelhead,2007,103
Hatchery Winter Steelhead,2008,145
Hatchery Winter Steelhead,2009,28
Hatchery Winter Steelhead,2010,177
Hatchery Winter Steelhead,2011,73
Hatchery Winter Steelhead,2012,140
Hatchery Winter Steelhead,2013,56
Hatchery Winter Steelhead,2014,353
Hatchery Winter Steelhead,2015,254
Hatchery Winter Steelhead,2016,12
Hatchery Winter Steelhead,2017,91
Hatchery Winter Steelhead,2018,372
Hatchery Winter Steelhead,2019,34
Hatchery Winter Steelhead,2020,49
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,0
Wild Coho,2010,0
Wild Coho,2011,0
Wild Coho,2012,0
Wild Coho,2013,2004
Wild Coho,2014,1808
Wild Coho,2015,194
Wild Coho,2016,1073
Wild Coho,2017,518
Wild Coho,2018,377
Wild Coho,2019,2028
Wild Coho,2020,742
Hatchery Coho,1997,11761
Hatchery Coho,1998,12860
Hatchery Coho,1999,2836
Hatchery Coho,2000,2800
Hatchery Coho,2001,8301
Hatchery Coho,2002,7476
Hatchery Coho,2003,4567
Hatchery Coho,2004,2318
Hatchery Coho,2005,750
Hatchery Coho,2006,692
Hatchery Coho,2007,1028
Hatchery Coho,2008,385
Hatchery Coho,2009,518
Hatchery Coho,2010,3986
Hatchery Coho,2011,882
Hatchery Coho,2012,520
Hatchery Coho,2013,16
Hatchery Coho,2014,8
Hatchery Coho,2015,0
Hatchery Coho,2016,1
Hatchery Coho,2017,0
Hatchery Coho,2018,9
Hatchery Coho,2019,23
Hatchery Coho,2020,8
Hatchery Chum,1997,289
Hatchery Chum,1998,2243
Hatchery Chum,1999,1439
Hatchery Chum,2000,311
Hatchery Chum,2001,3841
Hatchery Chum,2002,2393
Hatchery Chum,2003,4528
Hatchery Chum,2004,5233
Hatchery Chum,2005,3115
Hatchery Chum,2006,858
Hatchery Chum,2007,950
Hatchery Chum,2008,53
Hatchery Chum,2009,15
Hatchery Chum,2010,0
Hatchery Chum,2011,0
Hatchery Chum,2012,31
Hatchery Chum,2013,12
Hatchery Chum,2014,1036
Hatchery Chum,2015,836
Hatchery Chum,2016,0
Hatchery Chum,2017,0
Hatchery Chum,2018,0
Hatchery Chum,2019,0
Hatchery Chum,2020,0
Unknown Chum,1997,0
Unknown Chum,1998,0
Unknown Chum,1999,0
Unknown Chum,2000,0
Unknown Chum,2001,0
Unknown Chum,2002,0
Unknown Chum,2003,0
Unknown Chum,2004,0
Unknown Chum,2005,0
Unknown Chum,2006,0
Unknown Chum,2007,0
Unknown Chum,2008,0
Unknown Chum,2009,0
Unknown Chum,2010,0
Unknown Chum,2011,0
Unknown Chum,2012,0
Unknown Chum,2013,0
Unknown Chum,2014,0
Unknown Chum,2015,0
Unknown Chum,2016,353
Unknown Chum,2017,990
Unknown Chum,2018,1884
Unknown Chum,2019,1168
Unknown Chum,2020,2591
