Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,90
Wild Spring Chinook,2003,23
Wild Spring Chinook,2004,1
Wild Spring Chinook,2005,0
Wild Spring Chinook,2006,0
Wild Spring Chinook,2007,1
Wild Spring Chinook,2008,1
Wild Spring Chinook,2009,0
Wild Spring Chinook,2010,0
Wild Spring Chinook,2011,0
Wild Spring Chinook,2012,4
Wild Spring Chinook,2013,0
Wild Spring Chinook,2014,0
Wild Spring Chinook,2015,8
Wild Spring Chinook,2016,0
Wild Spring Chinook,2017,2
Wild Spring Chinook,2018,2
Wild Spring Chinook,2019,3
Wild Spring Chinook,2020,5
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,324
Wild Fall Chinook,1999,300
Wild Fall Chinook,2000,336
Wild Fall Chinook,2001,1113
Wild Fall Chinook,2002,130
Wild Fall Chinook,2003,207
Wild Fall Chinook,2004,33
Wild Fall Chinook,2005,81
Wild Fall Chinook,2006,29
Wild Fall Chinook,2007,65
Wild Fall Chinook,2008,9
Wild Fall Chinook,2009,9
Wild Fall Chinook,2010,2
Wild Fall Chinook,2011,17
Wild Fall Chinook,2012,16
Wild Fall Chinook,2013,12
Wild Fall Chinook,2014,6
Wild Fall Chinook,2015,22
Wild Fall Chinook,2016,5
Wild Fall Chinook,2017,9
Wild Fall Chinook,2018,12
Wild Fall Chinook,2019,11
Wild Fall Chinook,2020,7
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,845
Hatchery Spring Chinook,2000,777
Hatchery Spring Chinook,2001,2
Hatchery Spring Chinook,2002,0
Hatchery Spring Chinook,2003,10
Hatchery Spring Chinook,2004,1
Hatchery Spring Chinook,2005,2
Hatchery Spring Chinook,2006,0
Hatchery Spring Chinook,2007,2
Hatchery Spring Chinook,2008,1
Hatchery Spring Chinook,2009,0
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,16
Hatchery Spring Chinook,2012,37
Hatchery Spring Chinook,2013,105
Hatchery Spring Chinook,2014,71
Hatchery Spring Chinook,2015,208
Hatchery Spring Chinook,2016,99
Hatchery Spring Chinook,2017,10
Hatchery Spring Chinook,2018,301
Hatchery Spring Chinook,2019,97
Hatchery Spring Chinook,2020,44
Hatchery Fall Chinook,1997,5
Hatchery Fall Chinook,1998,1
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,1
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,36
Hatchery Fall Chinook,2010,56
Hatchery Fall Chinook,2011,282
Hatchery Fall Chinook,2012,47
Hatchery Fall Chinook,2013,149
Hatchery Fall Chinook,2014,171
Hatchery Fall Chinook,2015,555
Hatchery Fall Chinook,2016,121
Hatchery Fall Chinook,2017,91
Hatchery Fall Chinook,2018,250
Hatchery Fall Chinook,2019,73
Hatchery Fall Chinook,2020,142
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,6
Wild Summer Steelhead,1999,2
Wild Summer Steelhead,2000,8
Wild Summer Steelhead,2001,5
Wild Summer Steelhead,2002,5
Wild Summer Steelhead,2003,23
Wild Summer Steelhead,2004,9
Wild Summer Steelhead,2005,2
Wild Summer Steelhead,2006,3
Wild Summer Steelhead,2007,3
Wild Summer Steelhead,2008,0
Wild Summer Steelhead,2009,0
Wild Summer Steelhead,2010,0
Wild Summer Steelhead,2011,2
Wild Summer Steelhead,2012,3
Wild Summer Steelhead,2013,1
Wild Summer Steelhead,2014,0
Wild Summer Steelhead,2015,0
Wild Summer Steelhead,2016,1
Wild Summer Steelhead,2017,1
Wild Summer Steelhead,2018,0
Wild Summer Steelhead,2019,0
Wild Summer Steelhead,2020,0
Wild Winter Steelhead,1997,1
Wild Winter Steelhead,1998,4
Wild Winter Steelhead,1999,12
Wild Winter Steelhead,2000,83
Wild Winter Steelhead,2001,64
Wild Winter Steelhead,2002,14
Wild Winter Steelhead,2003,4
Wild Winter Steelhead,2004,75
Wild Winter Steelhead,2005,1
Wild Winter Steelhead,2006,9
Wild Winter Steelhead,2007,13
Wild Winter Steelhead,2008,2
Wild Winter Steelhead,2009,2
Wild Winter Steelhead,2010,1
Wild Winter Steelhead,2011,0
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,0
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Hatchery Summer Steelhead,1997,0
Hatchery Summer Steelhead,1998,1438
Hatchery Summer Steelhead,1999,1005
Hatchery Summer Steelhead,2000,2077
Hatchery Summer Steelhead,2001,1279
