Run,Year,Count
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,0
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,49
Wild Fall Chinook,2011,19
Wild Fall Chinook,2012,32
Wild Fall Chinook,2013,36
Wild Fall Chinook,2014,20
Wild Fall Chinook,2015,81
Wild Fall Chinook,2016,72
Wild Fall Chinook,2017,180
Wild Fall Chinook,2018,51
Wild Fall Chinook,2019,32
Wild Fall Chinook,2020,37
Hatchery Fall Chinook,1997,105
Hatchery Fall Chinook,1998,392
Hatchery Fall Chinook,1999,54
Hatchery Fall Chinook,2000,55
Hatchery Fall Chinook,2001,61
Hatchery Fall Chinook,2002,301
Hatchery Fall Chinook,2003,136
Hatchery Fall Chinook,2004,167
Hatchery Fall Chinook,2005,236
Hatchery Fall Chinook,2006,379
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,0
Hatchery Fall Chinook,2010,80
Hatchery Fall Chinook,2011,113
Hatchery Fall Chinook,2012,60
Hatchery Fall Chinook,2013,247
Hatchery Fall Chinook,2014,132
Hatchery Fall Chinook,2015,274
Hatchery Fall Chinook,2016,188
Hatchery Fall Chinook,2017,423
Hatchery Fall Chinook,2018,268
Hatchery Fall Chinook,2019,113
Hatchery Fall Chinook,2020,140
Hatchery Summer Steelhead,1997,204
Hatchery Summer Steelhead,1998,515
Hatchery Summer Steelhead,1999,150
Hatchery Summer Steelhead,2000,1019
Hatchery Summer Steelhead,2001,274
Hatchery Summer Steelhead,2002,610
Hatchery Summer Steelhead,2003,960
Hatchery Summer Steelhead,2004,706
Hatchery Summer Steelhead,2005,408
Hatchery Summer Steelhead,2006,422
Hatchery Summer Steelhead,2007,415
Hatchery Summer Steelhead,2008,433
Hatchery Summer Steelhead,2009,374
Hatchery Summer Steelhead,2010,179
Hatchery Summer Steelhead,2011,235
Hatchery Summer Steelhead,2012,297
Hatchery Summer Steelhead,2013,273
Hatchery Summer Steelhead,2014,190
Hatchery Summer Steelhead,2015,573
Hatchery Summer Steelhead,2016,395
Hatchery Summer Steelhead,2017,186
Hatchery Summer Steelhead,2018,201
Hatchery Summer Steelhead,2019,25
Hatchery Summer Steelhead,2020,78
Hatchery Winter Steelhead,1997,20
Hatchery Winter Steelhead,1998,164
Hatchery Winter Steelhead,1999,40
Hatchery Winter Steelhead,2000,269
Hatchery Winter Steelhead,2001,706
Hatchery Winter Steelhead,2002,1119
Hatchery Winter Steelhead,2003,625
Hatchery Winter Steelhead,2004,363
Hatchery Winter Steelhead,2005,308
Hatchery Winter Steelhead,2006,30
Hatchery Winter Steelhead,2007,12
Hatchery Winter Steelhead,2008,18
Hatchery Winter Steelhead,2009,0
Hatchery Winter Steelhead,2010,0
Hatchery Winter Steelhead,2011,0
Hatchery Winter Steelhead,2012,0
Hatchery Winter Steelhead,2013,0
Hatchery Winter Steelhead,2014,0
Hatchery Winter Steelhead,2015,0
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Hatchery Winter-Late Steelhead,1997,0
Hatchery Winter-Late Steelhead,1998,0
Hatchery Winter-Late Steelhead,1999,0
Hatchery Winter-Late Steelhead,2000,0
Hatchery Winter-Late Steelhead,2001,0
Hatchery Winter-Late Steelhead,2002,0
Hatchery Winter-Late Steelhead,2003,0
Hatchery Winter-Late Steelhead,2004,0
Hatchery Winter-Late Steelhead,2005,0
Hatchery Winter-Late Steelhead,2006,0
Hatchery Winter-Late Steelhead,2007,0
Hatchery Winter-Late Steelhead,2008,0
Hatchery Winter-Late Steelhead,2009,0
Hatchery Winter-Late Steelhead,2010,15
Hatchery Winter-Late Steelhead,2011,155
Hatchery Winter-Late Steelhead,2012,196
Hatchery Winter-Late Steelhead,2013,2
Hatchery Winter-Late Steelhead,2014,7
Hatchery Winter-Late Steelhead,2015,24
Hatchery Winter-Late Steelhead,2016,5
Hatchery Winter-Late Steelhead,2017,40
Hatchery Winter-Late Steelhead,2018,0
Hatchery Winter-Late Steelhead,2019,7
Hatchery Winter-Late Steelhead,2020,3
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,0
Wild Coho,2009,60
Wild Coho,2010,219
Wild Coho,2011,16
Wild Coho,2012,22
Wild Coho,2013,95
Wild Coho,2014,102
Wild Coho,2015,51
Wild Coho,2016,65
Wild Coho,2017,86
Wild Coho,2018,85
Wild Coho,2019,158
Wild Coho,2020,112
Hatchery Coho,1997,110
Hatchery Coho,1998,355
Hatchery Coho,1999,220
Hatchery Coho,2000,0
Hatchery Coho,2001,2830
Hatchery Coho,2002,4071
Hatchery Coho,2003,7801
Hatchery Coho,2004,1076
Hatchery Coho,2005,1121
Hatchery Coho,2006,12
Hatchery Coho,2007,0
Hatchery Coho,2008,0
Hatchery Coho,2009,0
Hatchery Coho,2010,1625
Hatchery Coho,2011,410
Hatchery Coho,2012,133
Hatchery Coho,2013,87
Hatchery Coho,2014,1186
Hatchery Coho,2015,266
Hatchery Coho,2016,377
Hatchery Coho,2017,147
Hatchery Coho,2018,107
Hatchery Coho,2019,90
Hatchery Coho,2020,173
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,0
Wild Chum,2000,0
Wild Chum,2001,0
Wild Chum,2002,109
Wild Chum,2003,51
Wild Chum,2004,205
Wild Chum,2005,0
Wild Chum,2006,20
Wild Chum,2007,22
