Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,50
Wild Spring Chinook,1999,2
Wild Spring Chinook,2000,10
Wild Spring Chinook,2001,44
Wild Spring Chinook,2002,42
Wild Spring Chinook,2003,41
Wild Spring Chinook,2004,51
Wild Spring Chinook,2005,50
Wild Spring Chinook,2006,35
Wild Spring Chinook,2007,51
Wild Spring Chinook,2008,40
Wild Spring Chinook,2009,85
Wild Spring Chinook,2010,0
Wild Spring Chinook,2011,0
Wild Spring Chinook,2012,0
Wild Spring Chinook,2013,0
Wild Spring Chinook,2014,0
Wild Spring Chinook,2015,0
Wild Spring Chinook,2016,0
Wild Spring Chinook,2017,0
Wild Spring Chinook,2018,0
Wild Spring Chinook,2019,0
Wild Spring Chinook,2020,0
Hatchery Spring Chinook,1997,6879
Hatchery Spring Chinook,1998,889
Hatchery Spring Chinook,1999,1031
Hatchery Spring Chinook,2000,667
Hatchery Spring Chinook,2001,36
Hatchery Spring Chinook,2002,357
Hatchery Spring Chinook,2003,30
Hatchery Spring Chinook,2004,422
Hatchery Spring Chinook,2005,316
Hatchery Spring Chinook,2006,153
Hatchery Spring Chinook,2007,30
Hatchery Spring Chinook,2008,76
Hatchery Spring Chinook,2009,86
Hatchery Spring Chinook,2010,0
Hatchery Spring Chinook,2011,0
Hatchery Spring Chinook,2012,0
Hatchery Spring Chinook,2013,0
Hatchery Spring Chinook,2014,0
Hatchery Spring Chinook,2015,0
Hatchery Spring Chinook,2016,0
Hatchery Spring Chinook,2017,0
Hatchery Spring Chinook,2018,0
Hatchery Spring Chinook,2019,0
Hatchery Spring Chinook,2020,0
Hatchery Fall Chinook,1997,1898
Hatchery Fall Chinook,1998,3620
Hatchery Fall Chinook,1999,3416
Hatchery Fall Chinook,2000,3503
Hatchery Fall Chinook,2001,5755
Hatchery Fall Chinook,2002,4847
Hatchery Fall Chinook,2003,2919
Hatchery Fall Chinook,2004,6443
Hatchery Fall Chinook,2005,3078
Hatchery Fall Chinook,2006,2733
Hatchery Fall Chinook,2007,5025
Hatchery Fall Chinook,2008,4685
Hatchery Fall Chinook,2009,2771
Hatchery Fall Chinook,2010,2099
Hatchery Fall Chinook,2011,1387
Hatchery Fall Chinook,2012,2171
Hatchery Fall Chinook,2013,1550
