Run,Year,Count
Wild Summer Chinook,1997,71
Wild Summer Chinook,1998,91
Wild Summer Chinook,1999,77
Wild Summer Chinook,2000,97
Wild Summer Chinook,2001,76
Wild Summer Chinook,2002,81
Wild Summer Chinook,2003,100
Wild Summer Chinook,2004,97
Wild Summer Chinook,2005,102
Wild Summer Chinook,2006,102
Wild Summer Chinook,2007,91
Wild Summer Chinook,2008,86
Wild Summer Chinook,2009,94
Wild Summer Chinook,2010,69
Wild Summer Chinook,2011,67
Wild Summer Chinook,2012,82
Wild Summer Chinook,2013,73
Wild Summer Chinook,2014,94
Wild Summer Chinook,2015,91
Wild Summer Chinook,2016,81
Wild Summer Chinook,2017,91
Wild Summer Chinook,2018,75
Wild Summer Chinook,2019,82
Wild Summer Chinook,2020,56
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,16
Wild Fall Chinook,2000,89
Wild Fall Chinook,2001,76
Wild Fall Chinook,2002,19
Wild Fall Chinook,2003,226
Wild Fall Chinook,2004,131
Wild Fall Chinook,2005,233
Wild Fall Chinook,2006,275
Wild Fall Chinook,2007,279
Wild Fall Chinook,2008,82
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,0
Wild Fall Chinook,2012,0
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,0
Wild Fall Chinook,2015,0
Wild Fall Chinook,2016,0
Wild Fall Chinook,2017,0
Wild Fall Chinook,2018,0
Wild Fall Chinook,2019,0
Wild Fall Chinook,2020,0
Hatchery Spring Chinook,1997,1140
Hatchery Spring Chinook,1998,1088
Hatchery Spring Chinook,1999,3169
Hatchery Spring Chinook,2000,1108
Hatchery Spring Chinook,2001,1567
Hatchery Spring Chinook,2002,1710
Hatchery Spring Chinook,2003,1537
Hatchery Spring Chinook,2004,3211
Hatchery Spring Chinook,2005,2305
Hatchery Spring Chinook,2006,1530
Hatchery Spring Chinook,2007,2010
Hatchery Spring Chinook,2008,1464
Hatchery Spring Chinook,2009,909
Hatchery Spring Chinook,2010,1377
Hatchery Spring Chinook,2011,1299
Hatchery Spring Chinook,2012,1572
Hatchery Spring Chinook,2013,1257
Hatchery Spring Chinook,2014,1075
Hatchery Spring Chinook,2015,1736
Hatchery Spring Chinook,2016,2349
Hatchery Spring Chinook,2017,3168
Hatchery Spring Chinook,2018,2303
Hatchery Spring Chinook,2019,1732
Hatchery Spring Chinook,2020,1827
Hatchery Winter Steelhead,1997,23
Hatchery Winter Steelhead,1998,583
Hatchery Winter Steelhead,1999,361
Hatchery Winter Steelhead,2000,105
Hatchery Winter Steelhead,2001,485
Hatchery Winter Steelhead,2002,525
Hatchery Winter Steelhead,2003,97
Hatchery Winter Steelhead,2004,398
Hatchery Winter Steelhead,2005,288
Hatchery Winter Steelhead,2006,284
Hatchery Winter Steelhead,2007,298
Hatchery Winter Steelhead,2008,98
Hatchery Winter Steelhead,2009,159
Hatchery Winter Steelhead,2010,412
Hatchery Winter Steelhead,2011,117
Hatchery Winter Steelhead,2012,257
Hatchery Winter Steelhead,2013,207
Hatchery Winter Steelhead,2014,43
Hatchery Winter Steelhead,2015,36
Hatchery Winter Steelhead,2016,0
Hatchery Winter Steelhead,2017,0
Hatchery Winter Steelhead,2018,0
Hatchery Winter Steelhead,2019,0
Hatchery Winter Steelhead,2020,0
Wild Coho,1997,0
Wild Coho,1998,0
Wild Coho,1999,0
Wild Coho,2000,0
Wild Coho,2001,0
Wild Coho,2002,0
Wild Coho,2003,0
Wild Coho,2004,0
Wild Coho,2005,0
Wild Coho,2006,0
Wild Coho,2007,0
Wild Coho,2008,99
Wild Coho,2009,589
Wild Coho,2010,285
Wild Coho,2011,453
Wild Coho,2012,165
Wild Coho,2013,256
Wild Coho,2014,130
Wild Coho,2015,28
Wild Coho,2016,214
Wild Coho,2017,51
Wild Coho,2018,386
Wild Coho,2019,301
Wild Coho,2020,422
Hatchery Coho,1997,3146
Hatchery Coho,1998,9461
Hatchery Coho,1999,2708
Hatchery Coho,2000,11261
Hatchery Coho,2001,12354
Hatchery Coho,2002,16045
Hatchery Coho,2003,4372
Hatchery Coho,2004,10038
Hatchery Coho,2005,10161
Hatchery Coho,2006,1525
Hatchery Coho,2007,8887
Hatchery Coho,2008,10324
Hatchery Coho,2009,8955
Hatchery Coho,2010,4132
Hatchery Coho,2011,8778
Hatchery Coho,2012,9458
Hatchery Coho,2013,13114
Hatchery Coho,2014,7244
Hatchery Coho,2015,1203
Hatchery Coho,2016,8693
Hatchery Coho,2017,5443
Hatchery Coho,2018,8952
Hatchery Coho,2019,8080
Hatchery Coho,2020,18736
