Run,Year,Count
Hatchery Chum,1997,12500
Hatchery Chum,1998,38000
Hatchery Chum,1999,9772
Hatchery Chum,2000,2300
Hatchery Chum,2001,44500
Hatchery Chum,2002,39682
Hatchery Chum,2003,61129
Hatchery Chum,2004,18165
Hatchery Chum,2005,15582
Hatchery Chum,2006,27531
Hatchery Chum,2007,34650
Hatchery Chum,2008,12683
Hatchery Chum,2009,17429
Hatchery Chum,2010,12925
Hatchery Chum,2011,33097
Hatchery Chum,2012,26959
Hatchery Chum,2013,72939
Hatchery Chum,2014,19581
Hatchery Chum,2015,44934
Hatchery Chum,2016,0
Hatchery Chum,2017,0
Hatchery Chum,2018,0
Hatchery Chum,2019,0
Hatchery Chum,2020,0
Unknown Chum,1997,0
Unknown Chum,1998,0
Unknown Chum,1999,0
Unknown Chum,2000,0
Unknown Chum,2001,0
Unknown Chum,2002,0
Unknown Chum,2003,0
Unknown Chum,2004,0
Unknown Chum,2005,0
Unknown Chum,2006,0
Unknown Chum,2007,0
Unknown Chum,2008,0
Unknown Chum,2009,0
Unknown Chum,2010,0
Unknown Chum,2011,0
Unknown Chum,2012,0
Unknown Chum,2013,0
Unknown Chum,2014,0
Unknown Chum,2015,0
Unknown Chum,2016,52396
Unknown Chum,2017,71547
Unknown Chum,2018,79086
Unknown Chum,2019,12499
Unknown Chum,2020,14471
