Run,Year,Count
Wild Spring Chinook,1997,0
Wild Spring Chinook,1998,0
Wild Spring Chinook,1999,0
Wild Spring Chinook,2000,0
Wild Spring Chinook,2001,0
Wild Spring Chinook,2002,0
Wild Spring Chinook,2003,205
Wild Spring Chinook,2004,235
Wild Spring Chinook,2005,167
Wild Spring Chinook,2006,244
Wild Spring Chinook,2007,156
Wild Spring Chinook,2008,30
Wild Spring Chinook,2009,23
Wild Spring Chinook,2010,68
Wild Spring Chinook,2011,71
Wild Spring Chinook,2012,40
Wild Spring Chinook,2013,39
Wild Spring Chinook,2014,17
Wild Spring Chinook,2015,25
Wild Spring Chinook,2016,21
Wild Spring Chinook,2017,33
Wild Spring Chinook,2018,27
Wild Spring Chinook,2019,23
Wild Spring Chinook,2020,129
Wild Fall Chinook,1997,0
Wild Fall Chinook,1998,0
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,527
Wild Fall Chinook,2003,705
Wild Fall Chinook,2004,203
Wild Fall Chinook,2005,602
Wild Fall Chinook,2006,227
Wild Fall Chinook,2007,188
Wild Fall Chinook,2008,114
Wild Fall Chinook,2009,294
Wild Fall Chinook,2010,82
Wild Fall Chinook,2011,14
Wild Fall Chinook,2012,29
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,100
Wild Fall Chinook,2015,242
Wild Fall Chinook,2016,86
Wild Fall Chinook,2017,189
Wild Fall Chinook,2018,206
Wild Fall Chinook,2019,117
Wild Fall Chinook,2020,339
Hatchery Spring Chinook,1997,0
Hatchery Spring Chinook,1998,0
Hatchery Spring Chinook,1999,0
Hatchery Spring Chinook,2000,0
Hatchery Spring Chinook,2001,0
Hatchery Spring Chinook,2002,1776
Hatchery Spring Chinook,2003,2794
Hatchery Spring Chinook,2004,3998
Hatchery Spring Chinook,2005,1884
Hatchery Spring Chinook,2006,3886
Hatchery Spring Chinook,2007,3738
Hatchery Spring Chinook,2008,1354
Hatchery Spring Chinook,2009,1045
Hatchery Spring Chinook,2010,1828
Hatchery Spring Chinook,2011,950
Hatchery Spring Chinook,2012,1255
Hatchery Spring Chinook,2013,1617
Hatchery Spring Chinook,2014,920
Hatchery Spring Chinook,2015,644
Hatchery Spring Chinook,2016,326
Hatchery Spring Chinook,2017,2373
Hatchery Spring Chinook,2018,2013
Hatchery Spring Chinook,2019,759
Hatchery Spring Chinook,2020,1293
Hatchery Fall Chinook,1997,0
Hatchery Fall Chinook,1998,0
Hatchery Fall Chinook,1999,0
Hatchery Fall Chinook,2000,0
Hatchery Fall Chinook,2001,0
Hatchery Fall Chinook,2002,0
Hatchery Fall Chinook,2003,0
Hatchery Fall Chinook,2004,0
Hatchery Fall Chinook,2005,0
Hatchery Fall Chinook,2006,0
Hatchery Fall Chinook,2007,0
Hatchery Fall Chinook,2008,0
Hatchery Fall Chinook,2009,171
Hatchery Fall Chinook,2010,84
Hatchery Fall Chinook,2011,4
Hatchery Fall Chinook,2012,35
Hatchery Fall Chinook,2013,0
Hatchery Fall Chinook,2014,219
Hatchery Fall Chinook,2015,524
Hatchery Fall Chinook,2016,156
Hatchery Fall Chinook,2017,324
Hatchery Fall Chinook,2018,272
Hatchery Fall Chinook,2019,155
Hatchery Fall Chinook,2020,246
Wild Summer Steelhead,1997,0
Wild Summer Steelhead,1998,0
Wild Summer Steelhead,1999,0
Wild Summer Steelhead,2000,0
Wild Summer Steelhead,2001,0
Wild Summer Steelhead,2002,51
Wild Summer Steelhead,2003,86
Wild Summer Steelhead,2004,73
Wild Summer Steelhead,2005,49
Wild Summer Steelhead,2006,39
Wild Summer Steelhead,2007,18
Wild Summer Steelhead,2008,17
Wild Summer Steelhead,2009,13
Wild Summer Steelhead,2010,33
Wild Summer Steelhead,2011,15
Wild Summer Steelhead,2012,14
Wild Summer Steelhead,2013,3
Wild Summer Steelhead,2014,14
Wild Summer Steelhead,2015,23
Wild Summer Steelhead,2016,12
Wild Summer Steelhead,2017,16
Wild Summer Steelhead,2018,19
Wild Summer Steelhead,2019,7
Wild Summer Steelhead,2020,5
Wild Winter Steelhead,1997,0
Wild Winter Steelhead,1998,0
Wild Winter Steelhead,1999,0
Wild Winter Steelhead,2000,0
Wild Winter Steelhead,2001,0
Wild Winter Steelhead,2002,6
Wild Winter Steelhead,2003,92
Wild Winter Steelhead,2004,96
Wild Winter Steelhead,2005,78
Wild Winter Steelhead,2006,85
Wild Winter Steelhead,2007,73
Wild Winter Steelhead,2008,37
Wild Winter Steelhead,2009,38
Wild Winter Steelhead,2010,62
Wild Winter Steelhead,2011,20
Wild Winter Steelhead,2012,0
Wild Winter Steelhead,2013,0
Wild Winter Steelhead,2014,0
Wild Winter Steelhead,2015,0
Wild Winter Steelhead,2016,0
Wild Winter Steelhead,2017,0
Wild Winter Steelhead,2018,0
Wild Winter Steelhead,2019,0
Wild Winter Steelhead,2020,0
Wild Winter-Late Steelhead,1997,0
Wild Winter-Late Steelhead,1998,0
Wild Winter-Late Steelhead,1999,0
Wild Winter-Late Steelhead,2000,0
